plot_id,size,time,mass_mgha,treatment_type
springs19,mass_10hr,consumption,-0.031012839,control
springs19,mass_100hr,consumption,0.370222478,control
springs19,mass_cwd_sound,consumption,0.04206376,control
springs19,mass_cwd_rotten,consumption,0.061581345,control
springs19,total_fuel,consumption,0.43313238,control
springs2,mass_1hr,consumption,0.034028275,control
springs2,mass_10hr,consumption,0.124051358,control
springs2,mass_100hr,consumption,0.246814986,control
springs2,mass_cwd_sound,consumption,0.031662234,control
springs2,mass_cwd_rotten,consumption,0.417440756,control
springs2,total_fuel,consumption,0.853997608,control
springs20,mass_1hr,consumption,0.00810197,control
springs20,mass_10hr,consumption,0.372154074,control
springs20,mass_100hr,consumption,0.493629972,control
springs20,mass_cwd_sound,consumption,0.287864184,control
springs20,mass_cwd_rotten,consumption,0.201504761,control
springs20,total_fuel,consumption,1.363254961,control
springs21,mass_1hr,consumption,0.011342759,control
springs21,mass_10hr,consumption,0.248102716,control
springs21,mass_100hr,consumption,0.493629972,control
springs21,mass_cwd_sound,consumption,0.519908076,control
springs21,mass_cwd_rotten,consumption,0.364945183,control
springs21,total_fuel,consumption,1.637928706,control
springs22,mass_1hr,consumption,0.029167093,control
springs22,mass_10hr,consumption,0.124051358,control
springs22,mass_100hr,consumption,0.370222479,control
springs22,mass_cwd_sound,consumption,-0.363094377,control
springs22,mass_cwd_rotten,consumption,0.025238256,control
springs22,total_fuel,consumption,0.185584808,control
springs23,mass_1hr,consumption,-0.017824335,control
springs23,mass_10hr,consumption,-0.124051358,control
springs23,mass_100hr,consumption,0,control
springs23,mass_cwd_sound,consumption,0,control
springs23,mass_cwd_rotten,consumption,0,control
springs23,total_fuel,consumption,-0.141875693,control
springs24,mass_1hr,consumption,-0.006481576,control
springs24,mass_10hr,consumption,-0.093038519,control
springs24,mass_100hr,consumption,0.123407493,control
springs24,mass_cwd_sound,consumption,0.087492621,control
springs24,mass_cwd_rotten,consumption,0,control
springs24,total_fuel,consumption,0.111380019,control
springs25,mass_1hr,consumption,0.045371033,control
springs25,mass_10hr,consumption,0.434179753,control
springs25,mass_100hr,consumption,-0.246814986,control
springs25,mass_cwd_sound,consumption,0,control
springs25,mass_cwd_rotten,consumption,0.612027711,control
springs25,total_fuel,consumption,0.844763511,control
springs26,mass_1hr,consumption,0.011342758,2010rx
springs26,mass_10hr,consumption,0.62025679,2010rx
springs26,mass_100hr,consumption,0.370222479,2010rx
springs26,mass_cwd_sound,consumption,0.069605989,2010rx
springs26,mass_cwd_rotten,consumption,0,2010rx
springs26,total_fuel,consumption,1.071428016,2010rx
springs27,mass_1hr,consumption,0.045371033,2010rx
springs27,mass_10hr,consumption,0.372154074,2010rx
springs27,mass_100hr,consumption,0,2010rx
springs27,mass_cwd_sound,consumption,0,2010rx
springs27,mass_cwd_rotten,consumption,0,2010rx
springs27,total_fuel,consumption,0.417525107,2010rx
springs28,mass_1hr,consumption,0.009722364,2010rx
springs28,mass_10hr,consumption,0,2010rx
springs28,mass_100hr,consumption,0.86385245,2010rx
springs28,mass_cwd_sound,consumption,0,2010rx
springs28,mass_cwd_rotten,consumption,0,2010rx
springs28,total_fuel,consumption,0.873574815,2010rx
springs29,mass_1hr,consumption,0.001620394,2010rx
springs29,mass_10hr,consumption,0.062025679,2010rx
springs29,mass_100hr,consumption,0.740444958,2010rx
springs29,mass_cwd_sound,consumption,0.074368728,2010rx
springs29,mass_cwd_rotten,consumption,0,2010rx
springs29,total_fuel,consumption,0.878459758,2010rx
springs3,mass_1hr,consumption,0.004861182,control
springs3,mass_10hr,consumption,0.217089876,control
springs3,mass_100hr,consumption,0.617037465,control
