site,year,plot_id,species_id,status,recruitment,lifeform,tse_count,tse_ht,tse_age,growth_lastyr,tsa_dbh,tsa_age,tsa_ht,tre_count,tre_ht,tre_dbh,tre_age,notes
,,,,,,,count,cm_of_tallest,year_of_tallest,cm,cm,year,m,count,m_of_tallest,cm_of_tallest,year_of_tallest,
lakesdistrict,2019,burton 1,pila,live,natural ,TSE,17,6,1,1,,,,,,,,
lakesdistrict,2019,burton 1,pila,live,natural ,TSE,7,4,0,-,,,,,,,,
lakesdistrict,2019,burton 1,pila,dead,natural ,TSE,2,x,x,,,,,,,,,
lakesdistrict,2019,burton 1,pije,live,natural ,TSE,20,6,1,1,,,,,,,,
lakesdistrict,2019,burton 1,pije,live,natural ,TSE,52,4,0,-,,,,,,,,
lakesdistrict,2019,burton 1,abco,live,natural ,TSE,30,3.5,0,-,,,,,,,,
lakesdistrict,2019,burton 1,abco,live,natural ,TSE,18,5,1,1,,,,,,,,
lakesdistrict,2019,burton 1,abco,live,natural ,TSE,3,8,2,1.5,,,,,,,,
lakesdistrict,2019,burton 1,abco,live,natural ,TSE,3,9,3,3.5,,,,,,,,
lakesdistrict,2019,burton 1,abco,live,natural ,TSE,1,16,5,4,,,,,,,,
lakesdistrict,2019,burton 1,abma,live,natural ,TSE,10,4,0,-,,,,,,,,
lakesdistrict,2019,burton 1,abma,live,natural ,TSE,3,5,1,0.5,,,,,,,,
lakesdistrict,2019,burton 1,abma,live,natural ,TSE,1,9,3,1,,,,,,,,
lakesdistrict,2019,burton 1,abma,live,natural ,TSE,2,14,4,2,,,,,,,,
lakesdistrict,2019,burton2 ,abco,live,natural ,TSE,46,4,0,0,,,,,,,,
lakesdistrict,2019,burton2 ,abco,live,natural ,TSE,6,6,2,2,,,,,,,,
lakesdistrict,2019,burton2 ,abco,live,natural ,TSE,6,9,3,2,,,,,,,,
lakesdistrict,2019,burton2 ,abco,live,natural ,TSE,2,11,4,2,,,,,,,,
lakesdistrict,2019,burton2 ,abco,live,natural ,TSE,3,26,5,6,,,,,,,,
lakesdistrict,2019,burton2 ,abma,live,natural ,TSE,26,4,0,0,,,,,,,,
lakesdistrict,2019,burton3,abco,live,natural ,TSE,114,0.03,0,-,,,,,,,,
lakesdistrict,2019,burton3,abco,live,natural ,TSE,34,0.13,1,3,,,,,,,,
