Site,Date,plot_id,Azimuth,Slope %,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,1hr_count,10hr_count,100hr_count,duff1_cm,litter1_cm,duff2_cm,litter2_cm,notes
lakesdistrict,2019,burton15,W,0,2,2,4,11.3,23,25,1,2,3,5,7,
lakesdistrict,2019,burton16,N,0,2,2,4,11.3,10,3,3,3,5,1,0.5,
lakesdistrict,2019,burton16,S,0,2,2,4,11.3,42,4,3,6,5,2,3,
lakesdistrict,2019,burton16,E,0,2,2,4,11.3,6,4,4,2,3,3,2,
lakesdistrict,2019,burton16,W,0,2,2,4,11.3,31,9,1,6,4,7,3,
lakesdistrict,2019,burton17,N,0,2,2,4,11.3,34,4,3,6,0.5,5,2,
lakesdistrict,2019,burton17,S,0,2,2,4,11.3,16,1,1,2.5,1.5,4,1,
lakesdistrict,2019,burton17,E,0,2,2,4,11.3,28,20,2,2,2.5,6,2,
lakesdistrict,2019,burton17,W,0,2,2,4,11.3,6,1,0,0,0.05,3,,
lakesdistrict,2019,burton18,N,0,2,2,4,11.3,2,3,2,10,5,4,1,
lakesdistrict,2019,burton18,S,0,2,2,4,11.3,24,23,1,5,5,4,1,
lakesdistrict,2019,burton18,E,0,2,2,4,11.3,27,25,1,11,3,4,4,
lakesdistrict,2019,burton18,W,0,2,2,4,11.3,12,4,0,2,2,20,5,
lakesdistrict,2019,burton19,N,0,2,2,4,11.3,35,8,0,7,4,0.05,1,
lakesdistrict,2019,burton19,S,0,2,2,4,11.3,11,3,3,4,1,4,0.05,
lakesdistrict,2019,burton19,E,0,2,2,4,11.3,24,1,3,2.5,0,3,4,
lakesdistrict,2019,burton19,W,0,2,2,4,11.3,49,4,0,5,1,4,1,
lakesdistrict,2019,burton20,N,0,2,2,4,11.3,13,8,0,2.5,1,3,4,
lakesdistrict,2019,burton20,S,0,2,2,4,11.3,46,3,1,1.5,0,0.5,0.5,
lakesdistrict,2019,burton20,E,0,2,2,4,11.3,48,22,2,5,1,0.05,1,
lakesdistrict,2019,burton20,W,0,2,2,4,11.3,35,29,0,0.05,1,5,2,
lakesdistrict,2019,burton21,N,0,,,,,9,0,0,2.5,2,2,0,
lakesdistrict,2019,burton21,S,0,,,,,5,0,2,1.5,1,3,1,
lakesdistrict,2019,burton21,E,0,,,,,31,2,0,5,2,4,3,
lakesdistrict,2019,burton21,W,0,,,,,17,8,2,3,2,4,2,
lakesdistrict,2019,burton22,N,0,,,,,21,3,1,8,4,3,2,
lakesdistrict,2019,burton22,S,0,,,,,7,3,4,4,2,3,2,
lakesdistrict,2019,burton22,E,0,,,,,44,10,1,7,1,3,2,
lakesdistrict,2019,burton22,W,0,,,,,23,11,12,2,2,3,2,
lakesdistrict,2019,burton23,N,0,,,,,35,19,0,4,3,4.5,2,
lakesdistrict,2019,burton23,S,0,,,,,22,6,0,0,1,0,1,
lakesdistrict,2019,burton23,E,0,,,,,23,1,1,3,0,4,0,
lakesdistrict,2019,burton23,W,0,,,,,11,2,1,2.5,0,1.5,0,
lakesdistrict,2019,burton24,N,0,,,,,1,2,3,2,3,2,2,
lakesdistrict,2019,burton24,S,0,,,,,5,0,0,2,3,1,2,
lakesdistrict,2019,burton24,E,0,,,,,7,7,4,3,5,2,6,
lakesdistrict,2019,burton24,W,0,,,,,9,1,0,1,3,1,1,
lakesdistrict,2019,bliss 1,N,0,,,,,44,4,0,0.05,15,0.05,2,
lakesdistrict,2019,bliss 1,S,25,,,,,17,14,1,1,4,3,0.05,
lakesdistrict,2019,bliss 1,E,0,,,,,20,3,1,3,2,4,2,
lakesdistrict,2019,bliss 1,W,0,,,,,5,0,1,3,2,7,5,
lakesdistrict,2019,bliss 2,N,0,,,,,45,3,2,5,1,0,0.05,
lakesdistrict,2019,bliss 2,S,0,,,,,10,8,2,6,0.05,2,4,
lakesdistrict,2019,bliss 2,E,0,,,,,12,2,2,6,4,0.05,2,
lakesdistrict,2019,bliss 2,W,0,,,,,9,12,1,11,4,1,3,
lakesdistrict,2019,bliss 3,N,24,,,,,7,2,3,0.05,1,2,2,
lakesdistrict,2019,bliss 3,S,27,,,,,9,8,2,0,2,2,2,
lakesdistrict,2019,bliss 3,E,0,,,,,14,6,2,0.5,1.5,0.05,2.5,
lakesdistrict,2019,bliss 3,W,0,,,,,38,9,1,2,2,0.05,0.05,
lakesdistrict,2019,bliss 4,N,40,,,,,13,2,1,13,2,7,4,
