site,year,plot_id,azimuth,intersect,large,small,length,decay,notes
,,,,cm,cm,cm,m,,
lakesdistrict,2019,burton18,E,17,24,10,5.9,3,
lakesdistrict,2019,burton18,E,14,12,10,2.4,4,
lakesdistrict,2019,burton18,E,12,18,12,3.2,4,
lakesdistrict,2019,burton18,E,16,16,11,4.7,4,
lakesdistrict,2019,burton18,E,26,26,18,1.1,5-rotten,
lakesdistrict,2019,burton18,N,70,70,40,3,5-rotten,
lakesdistrict,2019,burton18,N,18,55,10,17,4,
lakesdistrict,2019,burton18,N,20,35,20,4,4,
lakesdistrict,2019,burton18,N,46,44,40,1.5,5-rotten,
lakesdistrict,2019,burton18,N,32,35,20,5,3,
lakesdistrict,2019,burton18,N,35,56,48,4,4,
lakesdistrict,2019,burton18,N,11,30,6,9,3,
lakesdistrict,2019,burton19,N,42,45,42,12,4,
lakesdistrict,2019,burton19,W,35,35,24,0.5,4,
lakesdistrict,2019,burton19,E,44,45,42,12,4,
lakesdistrict,2019,burton20,N,23,27,3,1.3,2,
lakesdistrict,2019,burton20,N,15,20,5,0.34,3,
lakesdistrict,2019,burton20,N,70,60,30,1.5,5-rotten,
lakesdistrict,2019,burton20,N,27,13,11,1,5-rotten,
lakesdistrict,2019,burton20,W,27,52,30,7,4,
lakesdistrict,2019,burton20,W,43,43,25,4.2,3,
lakesdistrict,2019,burton21,E,60,63,23,4.4,5-rotten,
lakesdistrict,2019,burton21,W,41,120,18,5.9,4,
lakesdistrict,2019,burton21,W,60,60,52,2.5,4,
lakesdistrict,2019,burton21,N,51,50,35,3.15,4,
lakesdistrict,2019,burton21,N,40,80,30,3.5,5-rotten,
lakesdistrict,2019,burton22,N,11.5,30,1,15.8,1-intact,
lakesdistrict,2019,burton22,S,65,90,38,10.1,5-rotten,
lakesdistrict,2019,burton22,S,28,29,25,2.6,3,
lakesdistrict,2019,burton22,S,10,18,10,0.3,3,
lakesdistrict,2019,burton22,S,19,23,18,1.7,3,
lakesdistrict,2019,burton22,S,28,32,20,5,3,
lakesdistrict,2019,burton22,S,10,22,10,5.3,3,
lakesdistrict,2019,burton22,E,12,15,5,4.5,2,
lakesdistrict,2019,burton22,W,15,22,10,5.3,3,
lakesdistrict,2019,burton24,N,8,7,6,0.8,5-rotten,
lakesdistrict,2019,burton24,N,17,17,11,1.3,3,
lakesdistrict,2019,bliss 1,S,27,40,28,3.45,2,
lakesdistrict,2019,bliss 1,E,35,35,23,2.45,3,
lakesdistrict,2019,bliss 1,W,125,40,36,5.3,5-rotten,
lakesdistrict,2019,bliss 2,W,21.5,22,21.5,0.2,4,
lakesdistrict,2019,bliss 2,N,150,160,80,19,5-rotten,
lakesdistrict,2019,bliss 2,S,38,40,35,3,5-rotten,
lakesdistrict,2019,bliss 2,S,34,38,33,2.3,4,
lakesdistrict,2019,bliss 2,s,10,13,7,1.5,4,
lakesdistrict,2019,bliss 2,s,15,17,15,1.3,5-rotten,
lakesdistrict,2019,bliss 3,E,27,90,16,19.7,3,
lakesdistrict,2019,bliss 3,W,30,40,20,41,4,
lakesdistrict,2019,bliss 3,W,16,80,25,15.1,4,
lakesdistrict,2019,bliss 3,W,33,50,30,6.8,3,
lakesdistrict,2019,bliss 3,N,11,11,10,1.3,3,
lakesdistrict,2019,bliss 3,N,27,27,16,4,3,
lakesdistrict,2019,bliss 3,S,25,25,3,5.3,3,
lakesdistrict,2019,bliss 3,S,12,13,12,2,3,
lakesdistrict,2019,bliss 3,S,70,200,70,7.1,3,
lakesdistrict,2019,bliss 3,S,90,78,65,3.5,4,
lakesdistrict,2019,bliss 3,S,11,15,15,2.3,3,
lakesdistrict,2019,bliss 4,S,40,51,13,7.1,3,
lakesdistrict,2019,bliss 4,S,80,82,79,3.9,3,
lakesdistrict,2019,bliss 4,S,44,70,28,8.3,3,
lakesdistrict,2019,bliss 4,E,8,10,1,1.9,4,
lakesdistrict,2019,bliss 4,E,35,70,28,18.3,3,
lakesdistrict,2019,bliss 4,E,10,11,10,0.9,4,
lakesdistrict,2019,bliss 4,W,30,40,34,3.2,3,
