Site,year,plot_id,tag,status,species_id,dbh,height,ht_to_crown,crown_class,crown_width,stump_diam,stump_ht,decay,scorch_ht,scorch,torch_ht,torch,bolechar_ht,resprout,note
,,,,,,cm,m,m,,m,cm,m,,m,%,m,%,m,,
slypark,2019,hcp11,71,live,psme,44.4,26,5,DO,4.5,,,,,,,,,,
slypark,2019,hcp11,72,live,psme,53.2,31,11,DO,5,,,,,,,,,,
slypark,2019,hcp11,73,live,psme,38.3,26,5,CO,4.5,,,,,,,,,,
slypark,2019,hcp11,74,live,psme,35,22,6,CO,3,,,,,,,,,,
slypark,2019,hcp11,75,live,psme,21.8,12,3,IN,4,,,,,,,,,,
slypark,2019,hcp2,17,live,cade,78.8,34,11,CO,5,,,,,,,,,,
slypark,2019,hcp2,,dead,quke,47.4,9,,,,,,3,,,,,,,scorch mark
slypark,2019,hcp2,18,live,cade,75.6,20,9,IN,7,,,,,,,,,,top broken off
slypark,2019,hcp2,19,live,abco,37.3,25,15.5,CO,4.45,,,,,,,,,,epicormic growth
slypark,2019,hcp2,20,live,abco,28.8,23,16,IN,5,,,,,,,,,,
slypark,2019,hcp2,21,live,abco,23.9,21.3,13,IN,4.5,,,,,,,,,,
slypark,2019,hcp2,22,live,abco,56.3,33,13,DO,6.5,,,,,,,,,,epicormic growth
slypark,2019,hcp3,23,live,psme,19.3,15,4,IN,4,,,,,,,,,,
slypark,2019,hcp3,24,live,psme,54.1,29,7.7,CO,5.5,,,,,,,,,,
slypark,2019,hcp3,25,live,psme,92.9,41,14,DO,7,,,,,,,,,,
slypark,2019,hcp3,26,live,psme,31.2,21,12,IN,3,,,,,,,,,,
slypark,2019,hcp3,27,live,pipo,85,47,23,DO,5,,,,,,,,,,
slypark,2019,hcp3,28,live,psme,35.7,22,15,IN,5,,,,,,,,,,
slypark,2019,hcp3,29,live,pipo,65.8,41,28,CO,4,,,,,,,,,,
slypark,2019,hcp3,30,live,pipo,77.6,44,23,CO,5.5,,,,,,,,,,
slypark,2019,hcp3,31,live,pipo,102,50,26,DO,6.5,,,,,,,,,,
slypark,2019,hcp3,32,live,pipo,80.9,41,22,CO,5,,,,,,,,,,
slypark,2019,hcp4,33,live,pila,35.3,26,14,CO,3,,,,,,,,,,
slypark,2019,hcp4,34,live,psme,28.7,24,9,IN,4,,,,,,,,,,
slypark,2019,hcp4,35,live,psme,27,20,14,IN,4,,,,,,,,,,
slypark,2019,hcp4,36,live,cade,46.9,21,9,IN,4,,,,,,,,,,
slypark,2019,hcp4,37,live,abco,38,22,10,CO,4,,,,,,,,,,
slypark,2019,hcp4,38,live,pipo,77.3,43,19,DO,6,,,,,,,,,,
slypark,2019,hcp4,39,live,abco,27.7,23,8,IN,4.5,,,,,,,,,,
slypark,2019,hcp4,40,live,pipo,44.5,35,23,CO,3.5,,,,,,,,,,
slypark,2019,hcp4,41,live,psme,33.1,10,4,IN,3,,,,,,,,,,
slypark,2019,hcp4,42,live,pipo,69.9,42.6,29,CO,4,,,,,,,,,,
slypark,2019,hcp4,43,live,psme,49.5,25,8,IN,5,,,,,,,,,,
slypark,2019,hcp4,44,live,cade,68.3,23,8,IN,5,,,,,,,,,,
slypark,2019,hcp4,45,live,psme,26.6,14,7,OV,3,,,,,,,,,,other=overtopped
slypark,2019,hcp4,46,live,psme,53,32,8,CO,5,,,,,,,,,,
slypark,2019,hcp5,SPI-no tag,live,pipo,64.5,22,11,DO,3.5,,,,,,,,,,spi land no tags
slypark,2019,hcp5,SPI-no tag,live,pipo,31,15,8,CO,3.5,,,,,,,,,,spi land no tags
slypark,2019,hcp5,SPI-no tag,live,pipo,43.9,18,9,CO,3.5,,,,,,,,,,spi land no tags
slypark,2019,hcp5,SPI-no tag,live,pipo,20.8,12,3,CO,2.5,,,,,,,,,,spi land no tags
slypark,2019,hcp5,SPI-no tag,stump,pipo,,,,,,22,0.07,4,,,,,,,
slypark,2019,hcp5,SPI-no tag,live,pipo,32.9,13,4,CO,2.5,,,,,,,,,,spi land no tags
slypark,2019,hcp5,SPI-no tag,live,pipo,32.3,15,4,CO,3,,,,,,,,,,spi land no tags
slypark,2019,hcp6,SPI-no tag,live,psme,72.4,23,5,CO,8,,,,,,,,,,
slypark,2019,hcp6,SPI-no tag,stump,pipo,,,,,,66,0.42,2,,,,,,,
slypark,2019,hcp6,SPI-no tag,live,pipo,66.3,28,8,DO,4.5,,,,,,,,,,
slypark,2019,hcp6,SPI-no tag,live,psme,41.6,20,4,CO,6,,,,,,,,,,
slypark,2019,hcp6,SPI-no tag,stump,pipo,,,,,,40,0.25,5,,,,,,,
slypark,2019,hcp7 ,spi-no tag,live,pipo,37.9,21,6,CO,4,,,,,,,,,,
slypark,2019,hcp7 ,spi-no tag,live,pipo,37,21,7,CO,4,,,,,,,,,,
slypark,2019,hcp7 ,spi-no tag,live,pipo,37.3,18,5,DO,4,,,,,,,,,,
slypark,2019,hcp7 ,spi-no tag,live,pipo,42.2,21,6,CO,4,,,,,,,,,,
slypark,2019,hcp7 ,spi-no tag,live,pipo,38.2,17,4,CO,5,,,,,,,,,,
slypark,2019,hcp7 ,spi-no tag,live,pipo,27.6,15,4,CO,3,,,,,,,,,,
slypark,2019,hcp7 ,spi-no tag,live,pipo,35,16,5,CO,4,,,,,,,,,,
slypark,2019,hcp7 ,spi-no tag,live,pipo,33.2,18,5,CO,4.5,,,,,,,,,,
slypark,2019,hcp7 ,spi-no tag,live,pipo,27.2,15,4,CO,4,,,,,,,,,,
slypark,2019,hcp7 ,spi-no tag,live,pipo,30.8,18,6,CO,4.5,,,,,,,,,,
slypark,2019,hcp8,spi-no tag,live,pipo,37,19,6.5,CO,2.5,,,,,,,,,,
slypark,2019,hcp8,spi-no tag,live,pipo,37.5,18,6.9,CO,3,,,,,,,,,,
slypark,2019,hcp8,spi-no tag,live,pipo,22.7,12,4,IN,2.5,,,,,,,,,,
slypark,2019,hcp8,spi-no tag,live,pipo,42,20,5,IN,4,,,,,,,,,,
slypark,2019,hcp8,spi-no tag,stump,pipo,,,,,,53,0.22,5,,,,,,,
slypark,2019,hcp8,spi-no tag,stump,pipo,,,,,,19,0.14,4,,,,,,,
slypark,2019,hcp8,spi-no tag,live,pipo,29.7,19,7,CO,2,,,,,,,,,,
slypark,2019,hcp8,spi-no tag,live,pipo,34.3,20,7,CO,2,,,,,,,,,,
slypark,2019,hcp8,spi-no tag,live,pipo,36.3,18,5,CO,3.5,,,,,,,,,,
slypark,2019,hcp9,47,live,cade,74.8,24,9,CO,3.1,,,,,,,,,,
slypark,2019,hcp9,48,live,pipo,37.5,22,9,DO,2,,,,,,,,,,
slypark,2019,hcp9,49,live,quec,51,14,12,IN,2.5,,,,,,,,,,
slypark,2019,hcp9,50,live,pisme,59.8,22,5,CO,4,,,,,,,,,,
slypark,2019,hcp9,51,live,quke,83.2,17,6,CO,6,,,,,,,,,yes,
slypark,2019,hcp9,52,live,quke,31.1,9,5,OV,1.5,,,,,,,,,,
slypark,2019,hcp9,53,live,pipo,76.2,35,12,DO,3.5,,,,,,,,,,
slypark,2019,hcp9,54,live,quke,50,24,13,IN,2,,,,,,,,,,
slypark,2019,hcp9,55,live,quke,39.8,20,16,CO,3,,,,,,,,,,
slypark,2019,hcp9,56,live,cade,34,17,7,CO,2.5,,,,,,,,,,
slypark,2019,hcp9,57,live,quke,40.3,12.9,9,OV,1.5,,,,,,,,,,
slypark,2019,hcp9,58,live,cade,32.1,16,9,CO,1,,,,,,,,,,
slypark,2019,spi1,spi-no tag,live,pipo,39.6,20,8,CO,4.5,,,,,,,,,,all trees have scorching but could be just from radial heat during pile burning
slypark,2019,spi1,spi-no tag,live,cade,14.25,8,3,OV,3,,,,,,,,,,
slypark,2019,spi1,spi-no tag,stump,unk,,,,,,17,0.27,1,,,,,,,
slypark,2019,spi1,spi-no tag,live,pipo,38.8,19,13,CO,4.2,,,,,,,,,,
slypark,2019,spi1,spi-no tag,stump,pipo,,,,,,14,0.19,1,,,,,,,
slypark,2019,spi1,spi-no tag,stump,cade,,,,,,14.6,0.22,1,,,,,,,
slypark,2019,spi1,spi-no tag,stump,cade,,,,,,11.8,0.3,1,,,,,,,
slypark,2019,spi1,spi-no tag,live,pipo,39.6,20,7,CO,6,,,,16,45,,,,,
slypark,2019,spi1,spi-no tag,live,pipo,35.7,19,8,CO,4.5,,,,9,1,,,0.4,,
slypark,2019,spi1,spi-no tag,live,pipo,45.3,25,12,DO,5.5,,,,13,10,,,,,
slypark,2019,spi1,spi-no tag,stump,pipo,,,,,,17,0.36,4,,,,,,,
slypark,2019,spi1,spi-no tag,stump,cade,,,,,,8.5,0.12,1,,,,,,,
slypark,2019,spi1,spi-no tag,live,pipo,44.35,23,11,DO,4.8,,,,12,3,,,,,
slypark,2019,spi1,spi-no tag,live,cade,8.2,7,2,OV,1.8,,,,,,,,,,
slypark,2019,spi1,spi-no tag,stump,pipo,,,,,,35,0.2,1,,,,,,,
slypark,2019,spi1,spi-no tag,stump,cade,,,,,,8.7,0.13,1,,,,,,,
slypark,2019,spi1,spi-no tag,stump, ade,,,,,,8.5,0.9,1,,,,,,,
slypark,2019,spi1,spi-no tag,live,cade,14.5,11,2.5,OV,2.3,,,,11,65,,,,,
slypark,2019,spi1,spi-no tag,live,pipo,41.7,19,8,CO,5.2,,,,15,20,,,,,
slypark,2019,spi1,spi-no tag,live,pipo,34.2,15,5,CO,4.8,,,,8,10,,,,,
slypark,2019,spi1,spi-no tag,live,pipo,33.7,11,9,CO,4.2,,,,8,tr,,,,,
slypark,2019,spi1,spi-no tag,live,cade,13.7,7,2,OV,3,,,,2.5,1,,,,,
slypark,2019,spi1,spi-no tag,live,cade,9.75,5.7,2.5,OV,2.3,,,,2,80,,,,,
slypark,2019,spi1,spi-no tag,live,pipo,31.2,14,6,CO,5.75,,,,10,40,,,,,
slypark,2019,spi1,spi-no tag,live,pipo,38.9,22,9,CO,5.5,,,,9,2,,,,,
slypark,2019,spi10,spi-no tag,live,pipo,40.1,20,8,CO,2.5,,,,,,,,,,
slypark,2019,spi10,spi-no tag,live,pipo,43.6,20,8,CO,3,,,,,,,,,,
slypark,2019,spi10,spi-no tag,live,pipo,46,19.6,6,CO,3.5,,,,,,,,,,
slypark,2019,spi10,spi-no tag,live,pipo,34.7,16,6,CO,3.5,,,,,,,,,,
slypark,2019,spi10,spi-no tag,live,pipo,42.3,20,8,CO,2,,,,,,,,,,
slypark,2019,spi10,spi-no tag,live,pipo,43.3,22,8,CO,3.5,,,,,,,,,,
slypark,2019,spi10,spi-no tag,live,pipo,41.9,24,10,CO,4,,,,,,,,,,
