Site,plot_id,year,Azimuth,intersect,large,small,length,decay,notes
,,,,cm,cm,cm,m,,
Frenchmeadows ,fm10-8,2019,E,9,14,9,2.6,3,
Frenchmeadows ,fm10-8,2019,W,17,18,12,2.3,4,
Frenchmeadows ,fm10-8,2019,S,35,50,32,3.1,4,
Frenchmeadows ,fm10-8,2019,S,7,9,4,2.6,4,
Frenchmeadows ,fm10-9,2019,S,12,14,9,1,5,
Frenchmeadows ,fm10-9,2019,S,14,17,11,0.57,4,
Frenchmeadows ,fm10-9,2019,N,39,39,3.8,11,5,
Frenchmeadows ,fm10-9,2019,N,38,38,11,23.3,4,
Frenchmeadows ,fm10-9,2019,N,44,35,16,3.1,5,
Frenchmeadows ,fm10-9,2019,E,80,80,40,14,3,
Frenchmeadows ,fm10-9,2019,E,45,50,45,4.2,4,
Frenchmeadows ,fm10-9,2019,W,30,32,18,17.7,4,
Frenchmeadows ,fm10-9,2019,W,30,38,11,23.3,4,
Frenchmeadows ,fm19-1,2019,N,22,22,19,3.2,4,
Frenchmeadows ,fm19-1,2019,N,19,15,15,1.1,4,d-lg larger than d-int due to rotting at ends
Frenchmeadows ,fm19-1,2019,S,40,55,25,11.9,5-rotten,
Frenchmeadows ,fm19-1,2019,S,45,48,35,4.1,4,
Frenchmeadows ,fm19-1,2019,E,32,52,7.5,25,3,
Frenchmeadows ,fm19-1,2019,W,9,10,4,0.28,4,
Frenchmeadows ,fm19-1,2019,W,9.5,9.5,3,0.36,4,
Frenchmeadows ,fm19-1,2019,W,9,10,4,1.97,2,
Frenchmeadows ,fm19-1,2019,W,37,43,9,5.9,3,
Frenchmeadows ,FM19-2,2019,S,18,18,1,4.2,2,
Frenchmeadows ,FM19-2,2019,S,13.9,25,4.4,9.9,2,
Frenchmeadows ,FM19-2,2019,S,33,33,30,4,5-rotten,
Frenchmeadows ,FM19-2,2019,S,36,36,18,0.71,5-rotten,
Frenchmeadows ,FM19-2,2019,S,15,31,1.1,10,3,
Frenchmeadows ,FM19-2,2019,S,33,42,16,20,5-rotten,
Frenchmeadows ,FM19-2,2019,S,42,48,44,5.4,4,
Frenchmeadows ,FM19-2,2019,N,60,70,50,5.8,5-rotten,
Frenchmeadows ,FM19-2,2019,E,17,19.4,4,11.85,4,
Frenchmeadows ,FM19-2,2019,E,41,60,0.12,5,4,
Frenchmeadows ,FM19-2,2019,E,56,48,44,5.4,4,
Frenchmeadows ,fm19-3,2019,E,24,31,4,7.43,2,
Frenchmeadows ,fm19-3,2019,E,18,29,5,3.6,3,
Frenchmeadows ,fm19-3,2019,E,15,13,9,0.85,3,
Frenchmeadows ,fm19-3,2019,E,12,18,9,4.56,2,
Frenchmeadows ,fm19-3,2019,E,14,23,9.5,5.75,2,
Frenchmeadows ,fm19-3,2019,E,24,42,10,13.65,2,
Frenchmeadows ,fm19-3,2019,W,15.5,17.5,8,0.75,3,
Frenchmeadows ,fm19-3,2019,W,93,270,80,11.4,4,
Frenchmeadows ,fm19-3,2019,W,16.5,32,14,1.72,4,
Frenchmeadows ,fm19-3,2019,W,17.5,17.5,9,6.3,3,
Frenchmeadows ,fm19-3,2019,N,104,104,42,40,2,
Frenchmeadows ,fm19-3,2019,N,17,17,16,1.6,2,
Frenchmeadows ,fm19-3,2019,N,8,16,3,6,3,
Frenchmeadows ,fm19-3,2019,N,14.5,15,14.5,2.4,4,
Frenchmeadows ,fm19-3,2019,S,16,27,6,13.6,4,
Frenchmeadows ,fm19-3,2019,S,11,15,11,2.2,4,
Frenchmeadows ,fm19-3,2019,S,100,270,80,11.4,5-rotten,
Frenchmeadows ,fm19-3,2019,S,16,16,12,2.1,4,
Frenchmeadows ,fm19-3,2019,S,35,45,35,1.8,3,
Frenchmeadows ,fm19-4,2019,N,99,100,50,31,3,
Frenchmeadows ,fm19-4,2019,N,18,21,4,6.8,2,
Frenchmeadows ,fm19-4,2019,W,14,14,0.5,4.2,1-intact,
Frenchmeadows ,fm19-4,2019,W,15,16,11,1.3,2,
Frenchmeadows ,fm19-4,2019,S,22,22,4,2,1-intact,
Frenchmeadows ,fm19-5,2019,W,31,31,25,14,3,
Frenchmeadows ,fm19-5,2019,E,14,14,6.5,7.5,1-intact,
Frenchmeadows ,fm19-5,2019,E,10,20,0.5,15,2,
Frenchmeadows ,fm19-5,2019,E,17,19,15,1.7,2,
Frenchmeadows ,FM19-7,2019,N,44,90,44,3.7,4,
Frenchmeadows ,FM19-7,2019,S,16,25,16,9.5,4,
Frenchmeadows ,FM19-7,2019,S,11,10,9.5,4.6,4,
Frenchmeadows ,FM19-7,2019,S,28,31,28,4.2,4,
Frenchmeadows ,FM19-7,2019,S,15,30,14,5.3,4,
Frenchmeadows ,FM19-7,2019,S,13,13,8,1.2,5-rotten,
Frenchmeadows ,FM19-7,2019,S,21,25,13,6.7,2,
Frenchmeadows ,FM19-7,2019,W,33,34,24,4.9,2,
Frenchmeadows ,FM19-7,2019,W,9,9.5,8,0.7,2,
Frenchmeadows ,FM19-7,2019,W,8,9,4,2,2,
Frenchmeadows ,FM19-7,2019,W,15,27,15,7.6,4,
Frenchmeadows ,FM19-7,2019,W,44,90,44,3.7,4,
Frenchmeadows ,FM19-7,2019,E,47,47,45,1.3,2,
Frenchmeadows ,FM19-7,2019,E,20,20,10,0.6,3,
Frenchmeadows ,FM19-7,2019,E,29,30,18,6.7,3,
Frenchmeadows ,fm19-8,2019,W,39,40,3.1,22.6,3,
Frenchmeadows ,fm19-8,2019,N,130,130,35,6.8,4,
Frenchmeadows ,fm19-8,2019,S,30,40,3.1,22.6,3,
Frenchmeadows ,fm19-9,2019,E,30,33,12,3.77,4,
Frenchmeadows ,fm19-10,2019,N,85,90,85,1.1,2,
Frenchmeadows ,fm19-10,2019,S,75,80,75,18.8,4,
Frenchmeadows ,fm19-11,2019,W,12.3,19,6,2.9,3,
Frenchmeadows ,fm19-11,2019,E,23.9,35.3,19.4,8.5,3,
Frenchmeadows ,fm19-11,2019,S,15,15,12,0.9,3,
Frenchmeadows ,fm19-11,2019,S,15,20,9,11.1,2,
Frenchmeadows ,fm19-12,2019,N,35,35,22,10.35,4,
Frenchmeadows ,fm19-12,2019,W,20,25,13.3,7.97,3,
Frenchmeadows ,fm19-13,2019,N,55,55,18,13.2,5-rotten,
Frenchmeadows ,fm19-13,2019,S,8,9,5,3.6,4,
Frenchmeadows ,fm19-13,2019,W,14,17,8,1.23,3,
Frenchmeadows ,fm19-13,2019,W,19,65,14,13.2,5-rotten,
Frenchmeadows ,fm19-13,2019,E,15,22,6,1.22,3,
Frenchmeadows ,fm19-13,2019,E,13,13,5,0.5,3,
Frenchmeadows ,fm19-13,2019,E,87,110,17,1.76,4,
frenchmeadows ,FM19-14,2019,E,17,29,1.5,12.6,3,
frenchmeadows ,FM19-15,2019,N,33,33,28,5.9,5-rotten,
frenchmeadows ,FM19-15,2019,N,9.8,11.3,9.8,0.73,4,
frenchmeadows ,FM19-15,2019,N,44,44,28,8.6,4,
frenchmeadows ,FM19-15,2019,N,28,29,26,3,3,
frenchmeadows ,FM19-15,2019,N,8.5,12.5,1,6,3,
frenchmeadows ,FM19-15,2019,N,19,19,4,5.6,4,
frenchmeadows ,FM19-15,2019,N,26,30,15,6,5-rotten,
frenchmeadows ,FM19-15,2019,S,20,25,20,4.25,4,
frenchmeadows ,FM19-15,2019,S,11,11,1,2.95,2,
frenchmeadows ,FM19-15,2019,S,13.9,17,1,7.1,2,
frenchmeadows ,FM19-15,2019,S,12.5,12.5,11,1.1,4,
frenchmeadows ,FM19-15,2019,E,30,30,25,4,4,
frenchmeadows ,FM19-15,2019,E,15,23,7,6.35,3,
frenchmeadows ,FM19-15,2019,E,15,30,15,6,5-rotten,
frenchmeadows ,FM19-15,2019,W,10,40,10,1.75,5-rotten,
frenchmeadows ,FM19-15,2019,W,15,20,15,1.56,5-rotten,
frenchmeadows ,FM19-15,2019,W,20,25,20,1.1,3,
frenchmeadows ,FM19-15,2019,W,32,40,32,10.85,3,
