site,year,plot_id,tag,status,species_id,dbh_cm,height_m,ht_to_crown_m,crown_class,crown_width_m,stump_diam_cm,stump_ht_m,decay,scorch_ht_m,scorch%,torch_ht_m,torch%,bolechar_ht_m,resprout,notes,
frenchmeadows,2019,fm19-11,,live,cade,17.4,6,0.5,IN,3,,,,,,,,,,,
frenchmeadows,2019,fm19-11,,dead,abco,41.3,15,,,,,,1,,,,,,,,
frenchmeadows,2019,fm19-11,,dead,abco,40.1,8,,,,,,1,,,,,,,,
frenchmeadows,2019,fm19-11,,live,abco,16.3,5,3,IN,0.75,,,,,,,,,,,
frenchmeadows,2019,fm19-11,,live,abco,24.6,11,2,OP,4,,,,,,,,,,,
frenchmeadows,2019,fm19-11,,dead,abco,50.4,9,,,,,,2,,,,,,,,
frenchmeadows,2019,fm19-12,3,live,abco,9.3,5.5,3,OV,1,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,pije,55.7,25,15,CO,3,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,cade,18.5,7,3.5,OV,1,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,abco,12.2,7,5,OV,1.25,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,abco,16.7,13,12,OV,1,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,dead,abco,7.8,2,,,,,,3,,,,,,,,
frenchmeadows,2019,fm19-12,,live,pije,27.8,17,10,OV,1,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,cade,130,31,11,CO,4,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,stump,abco,,,,,,8.1,0.5,4,,,,,,,,
frenchmeadows,2019,fm19-12,,dead,cade,31.5,6.5,,,,,,1,,,,,,,,
frenchmeadows,2019,fm19-12,,live,abco,19.2,10.5,4,OV,1.5,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,abco,64.2,28,16,CO,3,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,dead,abco,10.8,2,,,,,,2,,,,,,,,
frenchmeadows,2019,fm19-12,,live,abco,24.2,17,14,OV,1.5,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,abco,39.7,22,17,IN,2,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,cade,15.9,7,3,OV,1,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,cade,44.8,17,6,IN,1.5,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,pije,82.3,30,15,CO,5,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,pije,8.2,5.5,4,OV,0.5,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,abco,9.2,5,2.5,OV,0.5,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,cade,10.2,4.25,2,OV,0.5,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,abco,49.4,28.5,5,CO,3,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,abco,34.1,20,11,OV,3,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,dead,abco,15.3,11,,,,,,2,,,,,,,,
frenchmeadows,2019,fm19-12,,live,abco,56.3,31,24,CO,3.5,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,abco,13.2,4.2,1.7,OV,1,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,dead,abco,43,22,,,,,,2,,,,,,,,
frenchmeadows,2019,fm19-12,,live,pije,9.1,3.5,2.5,OV,1,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,cade,46.3,19,5,IN,,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,cade,20.1,9,2.5,OV,1.5,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,abco,8.3,7.2,6.5,OV,0.5,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,abco,50.6,29,14,CO,2.5,,,,,,,,,,,
frenchmeadows,2019,fm19-12,,live,abco,9.4,4.5,2.1,OV,0.75,,,,,,,,,,,
frenchmeadows,2019,fm19-13,4,live,abco,41.6,18,3.5,IN,5.5,,,,,,,,,,,
frenchmeadows,2019,fm19-13,,stump,abma,,,,,,17,0.95,3,,,,,,,,
frenchmeadows,2019,fm19-13,,live,abma,78.1,37,10,DO,4.5,,,,,,,,,,,
frenchmeadows,2019,fm19-13,,live,abco,28.9,17,4,IN,3,,,,,,,,,,,
frenchmeadows,2019,fm19-13,,dead,abco,,33,,,,,,2,,,,,,,,
frenchmeadows,2019,fm19-13,,dead,abco,,5,,,,,,1,,,,,,,,
frenchmeadows,2019,fm19-13,,live,abco,53.1,25,8,CO,6.5,,,,,,,,,,,
frenchmeadows,2019,fm19-13,,live,abco,8.3,4.5,1.5,OV,1.5,,,,,,,,,,,
frenchmeadows,2019,fm19-13,,live,abco,14.2,7,3.5,OV,2,,,,,,,,,,,
frenchmeadows,2019,fm19-13,,live,abco,47.6,23,10,IN,4,,,,,,,,,,,
frenchmeadows,2019,fm19-13,,live,abco,10.9,7,3,OV,1.5,,,,,,,,,,,
frenchmeadows,2019,fm19-13,,live,abco,15.6,9.5,2,OV,1.5,,,,,,,,,,,
frenchmeadows,2019,fm19-13,,live,abco,26,15,6,IN,4,,,,,,,,,,,
frenchmeadows,2019,fm19-13,,live,abco,17.45,8,4,OV,1.5,,,,,,,,,,,
frenchmeadows,2019,fm19-13,,live,abma,73.1,30,25,CO,7.5,,,,,,,,,,,
frenchmeadows,2019,fm19-13,,live,abma,108.8,40,30,DO,6,,,,,,,,,,dying,
frenchmeadows,2019,fm19-13,,dead,abma,54.9,2,,,,,,4,,,,,,,,
frenchmeadows ,2019,fm19-14,2182,live,abco,9.2,4,0.1,0.7,IN,1.25,,,2,,,,,,,
frenchmeadows ,2019,fm19-14,,dead,abco,15.8,1.4,0.4,,,,,,3,,,,,,,
frenchmeadows ,2019,fm19-14,2183,live,cade,28.3,6.9,0.1,0.5,IN,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-14,2184,live,pipo,11,4,0.2,1,OV,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco,33,5,,,,,,,3,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco,31,1.8,,,,,,,4,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco,37,6,,,,,,,3,,,,,,,
frenchmeadows ,2019,fm19-15,2185,live,pila,70.8,24.9,12,13,CO,5,,,1,,,,,,,
frenchmeadows ,2019,fm19-15,2186,live,abco,32.3,16.6,1,6,IN,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco,53.1,2.5,,,,,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,,stump,abco,,,,,,,19.4,0.45,2,,,,,,,
frenchmeadows ,2019,fm19-15,2187,live,abco,12.3,6.5,3,4.5,OV,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco ,47.6,7,,,,,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco,22.2,2.2,,,,,,,3,,,,,,,
frenchmeadows ,2019,fm19-15,2188,live,abco,50.7,24.9,,13.2,CO,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco,24.7,22.5,2,,,,,,1,,,,,,,
frenchmeadows ,2019,fm19-15,2189,live,abco ,40.7,18,0.3,7.1,IN,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2190,live,abco,51.7,26,1.9,13,CO,2,,,1,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco,60,9.6,1.5,,,,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2191,live,abco ,16.2,6.5,0.2,2,OV,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2192,live,abco,29.4,11,2,8,IN,1,,,1,,,,,,,
frenchmeadows ,2019,fm19-15,,stump,abco,,,,,,,37,1.35,2,,,,,,,
frenchmeadows ,2019,fm19-15,,stump,abco,,,,,,,20,0.85,2,,,,,,,
frenchmeadows ,2019,fm19-15,,stump,abco,,,,,,,15,1.15,2,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco,21.8,3,1.6,,,,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2193,live,abco ,27.9,13.9,1.7,5.1,IN,2.5,,,1,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco ,29.2,12.5,1.3,,,,,,1,,,,,,,
frenchmeadows ,2019,fm19-15,2194,live,abco,30.5,13.7,6,,IN,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2195,live,abco,17.2,7,0.4,1.7,IN,3,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2196,live,abco ,10.1,5,,1,OV,1,,,1,,,,,,,
frenchmeadows ,2019,fm19-15,2197,live,abco ,25.4,10,0.25,2,IN,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2198,live,abco ,21.5,10.5,1.5,2.5,IN,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2201,live,abco,9.1,4.2,,1.75,IN,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2202,live,abco ,11.1,6,0.5,1.7,OV,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2203,live,abco,18.1,6.8,0.6,1.4,OV,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco,39.5,14,2.5,,,,,,1,,,,,,,
frenchmeadows ,2019,fm19-15,2204,live,abco,11.5,4.1,1.6,2,OV,0.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2205,live,abco ,8.3,3.8,,0.75,OV,0.75,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco ,32,13,3,,,,,,1,,,,,,,
frenchmeadows ,2019,fm19-15,2206,live,abco ,18.2,8,4,6,OV,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2207,live,abco ,22,7,2,4.5,OV,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2208,live,abco ,19.4,7.3,2,5,OV,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco ,27.2,8.6,1.6,,,,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco,35.7,6,1.7,,,,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2209,live,abco,45.1,16,2,6,CO,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2210,live,abco,37.2,17,3,5.5,CO,1.6,,,3,,,,,,,
frenchmeadows ,2019,fm19-15,2211,live,abco,22.5,9,1.5,5,OV,2,,,1,,,,,,,
frenchmeadows ,2019,fm19-15,2200,live,abco,35,17,2,10,CO,3,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2212,live,pipo,50.2,23.5,8,11.5,CO,1.3,,,1,,,,,,,
frenchmeadows ,2019,fm19-15,2213,live,abco ,56.6,21.5,2,12,CO,3.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco ,62.3,23.3,,,,,,,1,,,,,,,
frenchmeadows ,2019,fm19-15,2214,live,abco ,27.8,10,1.1,2.2,IN,2,,,1,,,,,,,
frenchmeadows ,2019,fm19-15,2215,live,abco,40.5,16.4,1.5,9,IN,2.5,,,1,,,,,,,
frenchmeadows ,2019,fm19-15,2216,live,abco,33.5,15,1.5,9,IN,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,,dead,abco ,30.8,3,,,,,,,2,,,,,,,
frenchmeadows ,2019,fm19-15,2217,live,abco,46.8,22.3,,14,CO,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2218,live,abco,47.6,18,7,14,IN,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2219,live,abma,20.5,8,0.15,3,OV,2.5,,,1,,,,,,,
frenchmeadows ,2019,fm19-16,2220,live,abma,49.9,29,3,8,CO,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2221,live,abco,20.3,11,0.7,3,OV,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2222,live,abma,41,23,1,12,IN,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2223,live,abco,47.4,14,0.6,12,IN,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2224,live,abco,30.8,13,1,3,IN,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2225,live,abco,7.6,2.5,0.75,1,OV,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2226,live,abco,34.6,17,1.6,10,IN,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2227,live,abco,28.4,14,0.02,2.5,OV,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2228,live,abco,48.7,35,0.5,13,IN,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2229,live,abco,43.2,21,2,19,IN,2,,,1,,,,,,,
frenchmeadows ,2019,fm19-16,2230,live,abco,13.7,5,0.1,1,OV,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2231,live,abco,145.2,35,14,15,DO,2.5,,,1,,,,,,,
frenchmeadows ,2019,fm19-16,2232,live,abco ,31.8,17,0.1,2,IN,2,,,1,,,,,,,
frenchmeadows ,2019,fm19-16,2233,live,abco ,32.7,19,0.01,1.4,IN,2.5,,,1,,,,,,,
frenchmeadows ,2019,fm19-16,2234,live,abco,20.2,13,1,11,OV,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,,dead,abco ,116,20,,,,,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2235,live,abco,14.4,12.5,10,11,OV,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2236,live,abco,34.5,17,0.02,2.6,IN,3,,,1,,,,,,,
frenchmeadows ,2019,fm19-16,2237,live,abma,47.3,22,0.5,4,IN,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2238,live,abma,16.1,12,2.2,7,OV,1.25,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2239,live,abco ,9.7,3.5,0.5,0.5,OV,1,,,1,,,,,,,
frenchmeadows ,2019,fm19-16,2240,live,abco,162.2,44,5,12,DO,4,,,1,,,,,,,
frenchmeadows ,2019,fm19-16,2241,live,abco,31.3,20,3,15,OV,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2242,live,abco ,12.9,6,,4,OV,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2243,live,abco,19.6,5.5,2,3.5,OV,1.5,,,1,,,,,,,
frenchmeadows ,2019,fm19-16,,dead,abco,23.9,7.5,,,,,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2244,live,abco,14.4,5.5,,4,IN,2,,,1,,,,,,,
frenchmeadows ,2019,fm19-16,2245,live,abco,11.3,4,1,2.8,IN,1,,,1,,,,,,,
frenchmeadows ,2019,fm19-16,2246,live,abco,16.9,9,0.2,3.2,IN,1.75,,,1,,,,,,,
frenchmeadows ,2019,fm19-16,2247,live,abco,19,7,2.6,4,OV,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2248,live,abma,65.1,28,5,15,IN,3,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2249,live,abco,18,12,2.1,10,OV,3,,,2,,,,,,,
frenchmeadows ,2019,fm19-16,2250,live,abco ,12.5,3,0.1,1.5,OV,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2251,live,pipo,38.4,15.7,0.01,6.5,CO,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2252,live,pipo,34.6,16.5,0.15,5.7,CO,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2253,live,pipo,37,20.8,0.04,10,DO,0.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2254,live,pipo,37.6,15.2,0.04,5,CO,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2255,live,pipo,37.2,18.2,1.1,5.9,CO,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,,stump,pipo,,,,,,,1.45,0.48,4,,,,,,,
frenchmeadows ,2019,fm19-17,2256,live,pipo,39.5,17.6,1.2,7.3,CO,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2257,live,pipo,38.9,15.9,0.01,5.4,CO,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2258,live,pipo,42.7,15.8,1.6,6.6,DO,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2259,live,pipo,32.7,16,0.05,5.5,CO,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2260,live,pipo,35,11.4,0.01,4.5,IN,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2261,live,pipo,42,17,0.04,5.5,CO,1.7,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2262,live,pipo,44.9,18,0.02,6,CO,3,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2263,live,pipo,42.5,18.6,0.03,5.4,CO,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,,stump,cade,,,,,,,35,0.18,3,,,,,,,
frenchmeadows ,2019,fm19-17,2264,live,cade,9.6,5.5,1,1,OV,2,,,1,,,,,,,
frenchmeadows ,2019,fm19-17,2265,live,pipo,65.4,19.1,0.07,5.4,CO,3,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2266,live,pipo,33.7,18.9,1.4,5.6,CO,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2267,live,pipo,38.9,20.9,0.08,6.7,CO,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2268,live,pipo,37.6,19.3,0.03,5,CO,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2269,live,pipo,31.8,17.9,0.02,7.8,CO,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2270,live,pipo,40.5,18.3,0.03,5.4,CO,3.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2271,live,pila,13.6,8.5,0.04,2.5,IN,3,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2272,live,pipo,40.5,17.9,0.01,4.9,CO,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2273,live,pipo,34.6,19,0.02,7.3,CO,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-17,2274,live,cade,8.1,5,0.05,1,OV,1.2,,,1,,,,,,,
frenchmeadows ,2019,fm19-17,2275,live,pipo,39.2,19,0.05,7.3,CO,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,2276,live,pipo,164,29,,13.8,CO,7,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,,dead,abco,14.9,7,0.08,,,,,,1,,,,,,,
frenchmeadows ,2019,fm19-18,2277,live,abco,34.2,18,1.9,9,OV,1.7,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,2278,live,pipo,18.3,8,1.6,5,OV,0.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,2279,live,cade,24.9,9,0.05,1.8,OV,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,2280,live,cade,17.4,7,0.04,0.07,OV,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,2281,live,cade,11,2.3,0.2,2.2,OV,0.75,,,3,,,,,,,
frenchmeadows ,2019,fm19-18,2282,live,cade,14.2,6,0.2,2.5,OV,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,2283,live,cade,27,13,1,3,IN,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,2284,live,cade,17.1,7,0.1,3.5,OV,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,2285,live,cade,14.8,6,0.1,1.8,IN,1.5,,,3,,,,,,,
frenchmeadows ,2019,fm19-18,2286,live,cade,10.8,4,0.1,2,IN,1.25,,,3,,,,,,,
frenchmeadows ,2019,fm19-18,2287,live,abco ,40.7,17,0.5,7,IN,3,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,2288,live,cade,16.5,8,0.6,6,OV,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,stump,,,,,,,,,37.9,1,4,,,,,,,
frenchmeadows ,2019,fm19-18,2289,dead,abco,31,18,0.5,,,,,,1,,,,,,,
frenchmeadows ,2019,fm19-18,2290,live,abco,20.1,8,0.3,3,IN,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,,dead,abco ,12.4,5,0.2,,,,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,2291,live,abco,24.3,11,0.8,3,IN,3,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,2292,live,abco ,35.6,19,,10,IN,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,,dead,abco,24.2,7,,,,,,,4,,,,,,,
frenchmeadows ,2019,fm19-18,,dead,abco,55.9,23,4,,,,,,1,,,,,,,
frenchmeadows ,2019,fm19-18,2293,live,abco,25,9,1,2.3,IN,1.75,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,stump,,abco,,,,,,,31.6,1.1,4,,,,,,,
frenchmeadows ,2019,fm19-18,,dead,abco ,17.7,3.5,,,,,,,3,,,,,,,
frenchmeadows ,2019,fm19-18,,dead,abco,22.1,10,,,,,,,1,,,,,,,
frenchmeadows ,2019,fm19-18,2294,live,cade,36.4,17,2.5,4,IN,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,2295,live,cade,11.3,3.6,0.1,1,OV,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,,dead,abco,34.9,14,1,,,,,,1,,,,,,,
frenchmeadows ,2019,fm19-18,,dead,abco,8.9,2.3,,,,,,,3,,,,,,,
frenchmeadows ,2019,fm19-18,2296,live,abco,26.4,11,0.5,,IN,2,,,1,,,,,,,
frenchmeadows ,2019,fm19-18,2297,live,abco,44,18,3,11,IN,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,stump,,abco,,,,,,,12,0.85,3,,,,,,,
frenchmeadows ,2019,fm19-18,2298,live,cade,16.5,5.6,0.8,4,OV,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-18,2299,live,abco,39.4,19,1.5,10,OV,1.2,,,2,,,,,,,
frenchmeadows ,2019,fm19-19,2300,live,cade,20.5,7,0.1,3,OV,1.25,,,2,,,,,,,
frenchmeadows ,2019,fm19-19,2301,live,cade,18.5,5,2,2.7,IN,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-19,2302,live,abco,39.2,28,1.5,4,IN,1.75,,,2,,,,,,,
frenchmeadows ,2019,fm19-19,,dead,cade,12.2,5,1.5,1.5,,,,,2,,,,,,,
frenchmeadows ,2019,fm19-19,,dead,cade,11.8,4,1.3,1.3,,,,,3,,,,,,,
frenchmeadows ,2019,fm19-19,2303,live,pila,52.6,16,3.5,3,CO,3,,,1,,,,,,,
frenchmeadows ,2019,fm19-19,2304,live,abco ,13.7,6,1,5,OV,1.6,,,1,,,,,,,
frenchmeadows ,2019,fm19-19,2305,live,abco,27.6,16,3,1,CO,2.5,,,1,,,,,,,
frenchmeadows ,2019,fm19-19,,dead,abco ,29,8,,3,,,,,3,,,,,,,
frenchmeadows ,2019,fm19-19,2306,live,pila,11,6.5,2,,IN,0.75,,,2,,,,,,,
frenchmeadows ,2019,fm19-19,2307,live,cade,20.8,7,4,2,IN,1.2,,,1,,,,,,,
frenchmeadows ,2019,fm19-19,2308,live,cade,13.3,4,0.09,2,IN,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-19,2309,live,cade,9.5,3.8,0.01,1.7,IN,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-19,2310,live,cade,97.5,34,,8,DO,3,,,1,,,,,,,
frenchmeadows ,2019,fm19-19,stump,,abco,,,,,,,34,0.7,3,,,,,,,
frenchmeadows ,2019,fm19-19,stump,,abco,,,,,,,42.7,1.2,3,,,,,,,
frenchmeadows ,2019,fm19-19,2311,live,abco,16.1,5,0.8,2.5,IN,,,,2,,,,,,,
frenchmeadows ,2019,fm19-19,,dead,abco,11.7,4.5,0.5,,,,,,2,,,,,,,
frenchmeadows ,2019,fm19-19,2312,live,pipo,71,27,,10,CO,3,,,2,,,,,,,
frenchmeadows ,2019,fm19-19,2313,live,cade,61.8,13,,7,CO,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-20,898,live,abco ,20.7,9.1,0.15,2,OV,1.1,,,1,,,,,,,
frenchmeadows ,2019,fm19-20,,dead,abco,39.1,22.9,1,,,,,,1,,,,,,,
frenchmeadows ,2019,fm19-20,,live,pipo,56.2,23.2,11,17.6,CO,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco,13.9,6.3,1,3,OV,0.75,,,2,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco ,42.7,26.3,1.5,18,CO,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco ,40.3,25.3,0.5,14,CO,2.5,,,1,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco,51.8,26.7,1,18,CO,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco,41.1,26,0.5,17,CO,1.75,,,1,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco,31.9,23,1,16,IN,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-20,,dead,abco ,27.7,9,0.06,,,,,,3,,,,,,,
frenchmeadows ,2019,fm19-20,,dead,abco ,26.1,4,,,,,,,2,,,,,,,
frenchmeadows ,2019,fm19-20,,dead,abco ,50.1,25.6,1.5,,,,,,1,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco,45.4,23,0.07,17.6,IN,1.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco,41.7,26.2,1,15,CO,1.5,,,1,,,,,,,
frenchmeadows ,2019,fm19-20,stump,,abco,,,,,,,10,0.95,3,,,,,,,
frenchmeadows ,2019,fm19-20,,dead,abco ,48.3,3,,,,,,,3,,,,,,,
frenchmeadows ,2019,fm19-20,,dead,abco,22.1,3.5,1.6,,,,,,3,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco,50.5,28,,20,CO,2.5,,,2,,,,,,,
frenchmeadows ,2019,fm19-20,stump,,abco,,,,,,,26,0.75,3,,,,,,,
frenchmeadows ,2019,fm19-20,,dead,abco,24,1.8,,,,,,,2,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco,40.8,23,1,16,IN,2.2,,,2,,,,,,,
frenchmeadows ,2019,fm19-20,,dead,abco,45.4,2.5,,,,,,,3,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco ,12.9,4.7,,0.15,OV,0.5,,,3,,,,,,,dead top
frenchmeadows ,2019,fm19-20,,live,abco ,10.1,5,0.4,1.7,OV,0.5,,,3,,,,,,,dead top
frenchmeadows ,2019,fm19-20,,live,abco,19.8,7.7,0.4,5,OV,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco,59.9,31.2,12,22,CO,2.3,,,1,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco,21,12,2,4,OV,1.2,,,2,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco,8.7,12,0.05,2.2,OV,1,,,3,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco ,56.7,29,0.5,17.3,CO,1.8,,,2,,,,,,,
frenchmeadows ,2019,fm19-20,stump,,abco,,,,,,,14,0.55,2,,,,,,,
frenchmeadows ,2019,fm19-20,,dead,abco,40,5.5,,,,,,,,,,,,,,
frenchmeadows ,2019,fm19-20,stump,,abco,,,,,,,24,1.3,2,,,,,,,
frenchmeadows ,2019,fm19-20,,live,abco,40.2,25.7,2.1,17,CO,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-21,744,live,abco,18.2,9.3,0.01,5,OV,2,,,2,,,,,,,
frenchmeadows ,2019,fm19-21,,live,abco,25,15.2,0.01,7.2,IN,1,,,2,,,,,,,
frenchmeadows ,2019,fm19-21,,live,abco ,31.2,14.4,1.3,4,IN,4,,,1,,,,,,,
