site,plotid,year,pre_post_fire,azimuth,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,fuel1_cm,duff2_cm,litter2_cm,fuel2_cm,fuel3_cm,notes,postTime,slope_percent,litter3_cm,duff3_cm,duff_depth_cm,litter_depth_cm,fuel_depth_cm,site_plotid_time_azimuth,sum_d2_1000r_cm2,sum_d2_1000s_cm2,plot_id_time
Antelope,Antelope07,2020,prefire,270,2,2,4,11.3,2,0,0,0,0.3,0.3,0.5,0.3,2,,,,0,,,0.25,0.3,1.15,Antelope_Antelope07_2020_prefire_NA_270,0,0,Antelope07 prefire NA
Antelope,Antelope07,2020,prefire,90,2,2,4,11.3,0,0,0,0,0.8,0.8,1,2.3,2,,,,0,,,0.5,1.55,1.4,Antelope_Antelope07_2020_prefire_NA_90,0,0,Antelope07 prefire NA
Antelope,Antelope08,2020,prefire,0,2,2,4,11.3,1,2,1,0,1.5,1,44.8,0,6.5,,,,0,,,22.4,0.75,3.75,Antelope_Antelope08_2020_prefire_NA_0,0,0,Antelope08 prefire NA
Antelope,Antelope08,2020,prefire,180,2,2,4,11.3,1,3,1,4,1,1,21.8,0,19.3,,,,0,,,12.9,0.5,10.15,Antelope_Antelope08_2020_prefire_NA_180,0,0,Antelope08 prefire NA
Antelope,Antelope08,2020,prefire,270,2,2,4,11.3,0,5,1,5.5,7,4,9,0,6.5,,,,0,,,7.25,3.5,5.25,Antelope_Antelope08_2020_prefire_NA_270,0,0,Antelope08 prefire NA
Antelope,Antelope08,2020,prefire,90,2,2,4,11.3,0,1,0,0,1.5,0.25,3,0,7.6,,,,0,,,1.5,0.75,3.925,Antelope_Antelope08_2020_prefire_NA_90,0,0,Antelope08 prefire NA
Antelope,Antelope09,2020,prefire,0,2,2,4,11.3,8,1,0,2.4,6.3,4.8,7,0,5,,,,0,,,4.7,3.15,4.9,Antelope_Antelope09_2020_prefire_NA_0,0,0,Antelope09 prefire NA
Antelope,Antelope09,2020,prefire,180,2,2,4,11.3,4,4,1,3.2,1.8,1.2,8.2,0,0.8,,,,0,,,5.7,0.9,1,Antelope_Antelope09_2020_prefire_NA_180,0,0,Antelope09 prefire NA
Antelope,Antelope09,2020,prefire,270,2,2,4,11.3,5,1,0,0,1.5,0.3,1,0,0.5,,,,0,,,0.5,0.75,0.4,Antelope_Antelope09_2020_prefire_NA_270,0,0,Antelope09 prefire NA
Antelope,Antelope09,2020,prefire,90,2,2,4,11.3,2,0,0,2.7,6.4,1.5,7.3,0,1.2,,,,0,,,5,3.2,1.35,Antelope_Antelope09_2020_prefire_NA_90,0,0,Antelope09 prefire NA
Antelope,Antelope10,2020,prefire,0,2,2,4,11.3,1,2,1,0,9.5,0,27.5,0,0.3,,,,0,,,13.75,4.75,0.15,Antelope_Antelope10_2020_prefire_NA_0,2401,0,Antelope10 prefire NA
Antelope,Antelope10,2020,prefire,180,2,2,4,11.3,0,0,0,1,27,8.5,33.3,13.5,20.3,,,,0,,,17.15,20.25,14.4,Antelope_Antelope10_2020_prefire_NA_180,1225,0,Antelope10 prefire NA
Antelope,Antelope10,2020,prefire,270,2,2,4,11.3,0,0,0,0,0,0,0.2,0,11.7,,,,0,,,0.1,0,5.85,Antelope_Antelope10_2020_prefire_NA_270,0,0,Antelope10 prefire NA
Antelope,Antelope10,2020,prefire,90,2,2,4,11.3,0,0,0,0,1,8,3.8,0,9.8,,,,0,,,1.9,0.5,8.9,Antelope_Antelope10_2020_prefire_NA_90,0,0,Antelope10 prefire NA
Antelope,Antelope11,2020,prefire,0,2,2,4,11.3,0,1,0,0.5,0.3,1,0.5,3.4,4,,,,0,,,0.5,1.85,2.5,Antelope_Antelope11_2020_prefire_NA_0,0,0,Antelope11 prefire NA
Antelope,Antelope11,2020,prefire,180,2,2,4,11.3,1,0,0,0,6.9,4,7,0,4.2,,,,0,,,3.5,3.45,4.1,Antelope_Antelope11_2020_prefire_NA_180,0,0,Antelope11 prefire NA
Antelope,Antelope11,2020,prefire,270,2,2,4,11.3,0,1,0,0.5,2.2,0,2.7,0,0.3,,,,0,,,1.6,1.1,0.15,Antelope_Antelope11_2020_prefire_NA_270,0,0,Antelope11 prefire NA
Antelope,Antelope11,2020,prefire,90,2,2,4,11.3,0,0,0,0,1.5,5.4,1.8,0,6.3,,,,0,,,0.9,0.75,5.85,Antelope_Antelope11_2020_prefire_NA_90,0,0,Antelope11 prefire NA
Antelope,Antelope12,2020,prefire,0,2,2,4,11.3,1,0,1,0,4,4.5,15.3,0.5,16.3,,,,0,,,7.65,2.25,10.4,Antelope_Antelope12_2020_prefire_NA_0,0,0,Antelope12 prefire NA
Antelope,Antelope12,2020,prefire,180,2,2,4,11.3,5,11,2,0,1.5,4.5,6.9,0,8.7,,,,0,,,3.45,0.75,6.6,Antelope_Antelope12_2020_prefire_NA_180,0,0,Antelope12 prefire NA
Antelope,Antelope12,2020,prefire,270,2,2,4,11.3,0,0,0,2,3.5,5,18.2,0,28,,,,0,,,10.1,1.75,16.5,Antelope_Antelope12_2020_prefire_NA_270,0,361,Antelope12 prefire NA
Antelope,Antelope12,2020,prefire,90,2,2,4,11.3,0,0,0,0,4.5,6,29.3,0,11.3,,,,0,,,14.65,2.25,8.65,Antelope_Antelope12_2020_prefire_NA_90,0,0,Antelope12 prefire NA
Antelope,Antelope13,2020,prefire,0,2,2,4,11.3,0,0,3,0,2.7,0.3,2.3,0,0.5,,,,0,,,1.15,1.35,0.4,Antelope_Antelope13_2020_prefire_NA_0,0,0,Antelope13 prefire NA
Antelope,Antelope13,2020,prefire,180,2,2,4,11.3,1,1,0,0,4.2,3.7,4,0,4,,,,0,,,2,2.1,3.85,Antelope_Antelope13_2020_prefire_NA_180,0,342.25,Antelope13 prefire NA
Antelope,Antelope13,2020,prefire,270,2,2,4,11.3,1,0,0,0,0,4.8,0.3,0,5,,,,0,,,0.15,0,4.9,Antelope_Antelope13_2020_prefire_NA_270,0,0,Antelope13 prefire NA
Antelope,Antelope13,2020,prefire,90,2,2,4,11.3,2,3,3,0,5,3,5.5,5.5,7,,,,0,,,2.75,5.25,5,Antelope_Antelope13_2020_prefire_NA_90,0,0,Antelope13 prefire NA
Antelope,Antelope14,2020,prefire,0,2,2,4,11.3,0,1,0,1.5,3.5,6.5,22.5,0,63.2,,,,0,,,12,1.75,34.85,Antelope_Antelope14_2020_prefire_NA_0,0,0,Antelope14 prefire NA
Antelope,Antelope14,2020,prefire,180,2,2,4,11.3,4,2,2,0,2,0,4.2,0,4.8,,,,0,,,2.1,1,2.4,Antelope_Antelope14_2020_prefire_NA_180,0,0,Antelope14 prefire NA
Antelope,Antelope14,2020,prefire,270,2,2,4,11.3,7,3,0,0,1.5,2.5,4.3,1,22.5,,,,0,,,2.15,1.25,12.5,Antelope_Antelope14_2020_prefire_NA_270,0,462.25,Antelope14 prefire NA
Antelope,Antelope14,2020,prefire,90,2,2,4,11.3,2,1,2,1,4.5,20,36.8,1,33,,,,0,,,18.9,2.75,26.5,Antelope_Antelope14_2020_prefire_NA_90,1640.25,0,Antelope14 prefire NA
Antelope,Antelope15,2020,prefire,0,2,2,4,11.3,1,1,0,0,2.7,2,1.2,0.3,1.5,,,,0,,,0.6,1.5,1.75,Antelope_Antelope15_2020_prefire_NA_0,0,0,Antelope15 prefire NA
Antelope,Antelope15,2020,prefire,180,2,2,4,11.3,0,1,0,0.3,2.7,2.6,3,0,2.8,,,,0,,,1.65,1.35,2.7,Antelope_Antelope15_2020_prefire_NA_180,0,0,Antelope15 prefire NA
Antelope,Antelope15,2020,prefire,270,2,2,4,11.3,0,1,1,0,0,2,0.3,0,3.4,,,,0,,,0.15,0,2.7,Antelope_Antelope15_2020_prefire_NA_270,0,0,Antelope15 prefire NA
Antelope,Antelope15,2020,prefire,90,2,2,4,11.3,1,1,0,3.7,4.8,7.3,5.2,4.5,8,,,,0,,,4.45,4.65,7.65,Antelope_Antelope15_2020_prefire_NA_90,0,0,Antelope15 prefire NA
Antelope,Antelope16,2020,prefire,0,2,2,4,11.3,1,2,0,0,3.5,0.5,70.2,0,23.8,,,,0,,,35.1,1.75,12.15,Antelope_Antelope16_2020_prefire_NA_0,0,0,Antelope16 prefire NA
Antelope,Antelope16,2020,prefire,180,2,2,4,11.3,1,0,0,0,0.5,0,23.2,0,5.8,,,,0,,,11.6,0.25,2.9,Antelope_Antelope16_2020_prefire_NA_180,0,0,Antelope16 prefire NA
Antelope,Antelope16,2020,prefire,270,2,2,4,11.3,4,2,0,6,2,0.25,3.7,0,12.8,,,,0,,,4.85,1,6.525,Antelope_Antelope16_2020_prefire_NA_270,0,0,Antelope16 prefire NA
Antelope,Antelope16,2020,prefire,90,2,2,4,11.3,0,0,0,0,1.5,2,24.8,0,65.3,,,,0,,,12.4,0.75,33.65,Antelope_Antelope16_2020_prefire_NA_90,0,1056.25,Antelope16 prefire NA
Antelope,Antelope17,2020,prefire,0,2,2,4,11.3,1,1,0,0,0.1,0.1,0.3,0,0.5,,,,0,,,0.15,0.05,0.3,Antelope_Antelope17_2020_prefire_NA_0,0,0,Antelope17 prefire NA
Antelope,Antelope17,2020,prefire,180,2,2,4,11.3,22,0,0,0,1.1,0,3.7,0,4,,,,0,,,1.85,0.55,2,Antelope_Antelope17_2020_prefire_NA_180,0,0,Antelope17 prefire NA
Antelope,Antelope17,2020,prefire,270,2,2,4,11.3,2,0,2,4.2,3.4,0.3,7.3,0,15,,,,0,,,5.75,1.7,7.65,Antelope_Antelope17_2020_prefire_NA_270,0,0,Antelope17 prefire NA
Antelope,Antelope17,2020,prefire,90,2,2,4,11.3,3,0,0,0,0,1.2,0.2,0,2.2,,,,0,,,0.1,0,1.7,Antelope_Antelope17_2020_prefire_NA_90,0,0,Antelope17 prefire NA
