site,plotid,pre_post_fire,year,diamclass,n_trees_diamclass,n_trees_diamclass_acre
Antelope,Antelope01,prefire,2020,[<20],4,40
Antelope,Antelope01,prefire,2020,[20-40],18,180
Antelope,Antelope01,prefire,2020,[40-60],0,0
Antelope,Antelope01,prefire,2020,[>100],0,0
Antelope,Antelope01,prefire,2020,[60-80],0,0
Antelope,Antelope01,prefire,2020,[80-100],0,0
Antelope,Antelope02,prefire,2020,[<20],1,10
Antelope,Antelope02,prefire,2020,[20-40],8,80
Antelope,Antelope02,prefire,2020,[40-60],3,30
Antelope,Antelope02,prefire,2020,[>100],0,0
Antelope,Antelope02,prefire,2020,[60-80],0,0
Antelope,Antelope02,prefire,2020,[80-100],0,0
Antelope,Antelope03,prefire,2020,[<20],0,0
Antelope,Antelope03,prefire,2020,[20-40],2,20
Antelope,Antelope03,prefire,2020,[40-60],1,10
Antelope,Antelope03,prefire,2020,[>100],0,0
Antelope,Antelope03,prefire,2020,[60-80],0,0
Antelope,Antelope03,prefire,2020,[80-100],0,0
Antelope,Antelope04,prefire,2020,[<20],9,90
Antelope,Antelope04,prefire,2020,[20-40],3,30
Antelope,Antelope04,prefire,2020,[40-60],0,0
Antelope,Antelope04,prefire,2020,[>100],0,0
Antelope,Antelope04,prefire,2020,[60-80],0,0
Antelope,Antelope04,prefire,2020,[80-100],0,0
Antelope,Antelope05,prefire,2020,[<20],1,10
Antelope,Antelope05,prefire,2020,[20-40],0,0
Antelope,Antelope05,prefire,2020,[40-60],2,20
Antelope,Antelope05,prefire,2020,[>100],0,0
Antelope,Antelope05,prefire,2020,[60-80],0,0
Antelope,Antelope05,prefire,2020,[80-100],0,0
Antelope,Antelope06,prefire,2020,[<20],0,0
Antelope,Antelope06,prefire,2020,[20-40],1,10
Antelope,Antelope06,prefire,2020,[40-60],0,0
Antelope,Antelope06,prefire,2020,[>100],0,0
Antelope,Antelope06,prefire,2020,[60-80],0,0
Antelope,Antelope06,prefire,2020,[80-100],0,0
Antelope,Antelope07,prefire,2020,[<20],10,100
Antelope,Antelope07,prefire,2020,[20-40],4,40
Antelope,Antelope07,prefire,2020,[40-60],0,0
Antelope,Antelope07,prefire,2020,[>100],0,0
Antelope,Antelope07,prefire,2020,[60-80],0,0
Antelope,Antelope07,prefire,2020,[80-100],0,0
Antelope,Antelope08,prefire,2020,[<20],0,0
Antelope,Antelope08,prefire,2020,[20-40],1,10
Antelope,Antelope08,prefire,2020,[40-60],5,50
Antelope,Antelope08,prefire,2020,[>100],0,0
Antelope,Antelope08,prefire,2020,[60-80],0,0
Antelope,Antelope08,prefire,2020,[80-100],0,0
Antelope,Antelope09,prefire,2020,[<20],8,80
Antelope,Antelope09,prefire,2020,[20-40],7,70
Antelope,Antelope09,prefire,2020,[40-60],2,20
Antelope,Antelope09,prefire,2020,[>100],0,0
Antelope,Antelope09,prefire,2020,[60-80],0,0
Antelope,Antelope09,prefire,2020,[80-100],0,0
Antelope,Antelope10,prefire,2020,[<20],1,10
Antelope,Antelope10,prefire,2020,[20-40],0,0
Antelope,Antelope10,prefire,2020,[40-60],0,0
Antelope,Antelope10,prefire,2020,[>100],1,10
Antelope,Antelope10,prefire,2020,[60-80],0,0
Antelope,Antelope10,prefire,2020,[80-100],0,0
Antelope,Antelope11,prefire,2020,[<20],0,0
Antelope,Antelope11,prefire,2020,[20-40],5,50
Antelope,Antelope11,prefire,2020,[40-60],3,30
Antelope,Antelope11,prefire,2020,[>100],0,0
Antelope,Antelope11,prefire,2020,[60-80],1,10
Antelope,Antelope11,prefire,2020,[80-100],0,0
Antelope,Antelope12 ,prefire,2020,[<20],0,0
Antelope,Antelope12 ,prefire,2020,[20-40],23,230
Antelope,Antelope12 ,prefire,2020,[40-60],0,0
Antelope,Antelope12 ,prefire,2020,[>100],0,0
Antelope,Antelope12 ,prefire,2020,[60-80],0,0
Antelope,Antelope12 ,prefire,2020,[80-100],0,0
Antelope,Antelope13,prefire,2020,[<20],0,0
Antelope,Antelope13,prefire,2020,[20-40],1,10
Antelope,Antelope13,prefire,2020,[40-60],4,40
Antelope,Antelope13,prefire,2020,[>100],0,0
Antelope,Antelope13,prefire,2020,[60-80],0,0
Antelope,Antelope13,prefire,2020,[80-100],0,0
Antelope,Antelope14,prefire,2020,[<20],0,0
Antelope,Antelope14,prefire,2020,[20-40],1,10
Antelope,Antelope14,prefire,2020,[40-60],1,10
Antelope,Antelope14,prefire,2020,[>100],0,0
Antelope,Antelope14,prefire,2020,[60-80],1,10
Antelope,Antelope14,prefire,2020,[80-100],0,0
Antelope,Antelope15,prefire,2020,[<20],0,0
Antelope,Antelope15,prefire,2020,[20-40],1,10
Antelope,Antelope15,prefire,2020,[40-60],0,0
Antelope,Antelope15,prefire,2020,[>100],0,0
Antelope,Antelope15,prefire,2020,[60-80],1,10
Antelope,Antelope15,prefire,2020,[80-100],1,10
Antelope,Antelope16,prefire,2020,[<20],0,0
Antelope,Antelope16,prefire,2020,[20-40],3,30
Antelope,Antelope16,prefire,2020,[40-60],0,0
Antelope,Antelope16,prefire,2020,[>100],0,0
Antelope,Antelope16,prefire,2020,[60-80],0,0
Antelope,Antelope16,prefire,2020,[80-100],0,0
Antelope,Antelope17,prefire,2020,[<20],0,0
Antelope,Antelope17,prefire,2020,[20-40],0,0
Antelope,Antelope17,prefire,2020,[40-60],1,10
Antelope,Antelope17,prefire,2020,[>100],0,0
Antelope,Antelope17,prefire,2020,[60-80],0,0
Antelope,Antelope17,prefire,2020,[80-100],0,0
Antelope,Antelope18,prefire,2020,[<20],0,0
Antelope,Antelope18,prefire,2020,[20-40],1,10
Antelope,Antelope18,prefire,2020,[40-60],1,10
Antelope,Antelope18,prefire,2020,[>100],0,0
Antelope,Antelope18,prefire,2020,[60-80],0,0
Antelope,Antelope18,prefire,2020,[80-100],0,0
Antelope,Antelope19,prefire,2020,[<20],0,0
Antelope,Antelope19,prefire,2020,[20-40],3,30
Antelope,Antelope19,prefire,2020,[40-60],0,0
Antelope,Antelope19,prefire,2020,[>100],0,0
Antelope,Antelope19,prefire,2020,[60-80],1,10
Antelope,Antelope19,prefire,2020,[80-100],0,0
bearmountain,BM 1,prefire,2019,[<20],0,0
bearmountain,BM 1,prefire,2019,[20-40],4,40
bearmountain,BM 1,prefire,2019,[40-60],2,20
bearmountain,BM 1,prefire,2019,[>100],0,0
bearmountain,BM 1,prefire,2019,[60-80],0,0
bearmountain,BM 1,prefire,2019,[80-100],0,0
bearmountain,BM10,prefire,2019,[<20],0,0
bearmountain,BM10,prefire,2019,[20-40],3,30
bearmountain,BM10,prefire,2019,[40-60],3,30
bearmountain,BM10,prefire,2019,[>100],0,0
bearmountain,BM10,prefire,2019,[60-80],1,10
bearmountain,BM10,prefire,2019,[80-100],0,0
bearmountain,BM11,prefire,2019,[<20],2,20
bearmountain,BM11,prefire,2019,[20-40],1,10
bearmountain,BM11,prefire,2019,[40-60],0,0
bearmountain,BM11,prefire,2019,[>100],0,0
bearmountain,BM11,prefire,2019,[60-80],0,0
bearmountain,BM11,prefire,2019,[80-100],0,0
bearmountain,BM12,prefire,2019,[<20],0,0
bearmountain,BM12,prefire,2019,[20-40],0,0
bearmountain,BM12,prefire,2019,[40-60],0,0
bearmountain,BM12,prefire,2019,[>100],1,10
bearmountain,BM12,prefire,2019,[60-80],0,0
bearmountain,BM12,prefire,2019,[80-100],1,10
bearmountain,BM13,prefire,2019,[<20],0,0
bearmountain,BM13,prefire,2019,[20-40],3,30
bearmountain,BM13,prefire,2019,[40-60],1,10
bearmountain,BM13,prefire,2019,[>100],0,0
bearmountain,BM13,prefire,2019,[60-80],0,0
bearmountain,BM13,prefire,2019,[80-100],0,0
bearmountain,BM14,prefire,2019,[<20],0,0
bearmountain,BM14,prefire,2019,[20-40],3,30
bearmountain,BM14,prefire,2019,[40-60],0,0
bearmountain,BM14,prefire,2019,[>100],0,0
bearmountain,BM14,prefire,2019,[60-80],0,0
bearmountain,BM14,prefire,2019,[80-100],0,0
bearmountain,BM15,prefire,2019,[<20],1,10
bearmountain,BM15,prefire,2019,[20-40],3,30
bearmountain,BM15,prefire,2019,[40-60],1,10
bearmountain,BM15,prefire,2019,[>100],0,0
bearmountain,BM15,prefire,2019,[60-80],0,0
bearmountain,BM15,prefire,2019,[80-100],0,0
bearmountain,BM16,prefire,2019,[<20],0,0
bearmountain,BM16,prefire,2019,[20-40],2,20
bearmountain,BM16,prefire,2019,[40-60],4,40
bearmountain,BM16,prefire,2019,[>100],0,0
bearmountain,BM16,prefire,2019,[60-80],1,10
bearmountain,BM16,prefire,2019,[80-100],0,0
bearmountain,BM18,prefire,2019,[<20],4,40
bearmountain,BM18,prefire,2019,[20-40],3,30
bearmountain,BM18,prefire,2019,[40-60],2,20
bearmountain,BM18,prefire,2019,[>100],0,0
bearmountain,BM18,prefire,2019,[60-80],2,20
bearmountain,BM18,prefire,2019,[80-100],0,0
bearmountain,BM19,prefire,2019,[<20],0,0
bearmountain,BM19,prefire,2019,[20-40],0,0
bearmountain,BM19,prefire,2019,[40-60],1,10
bearmountain,BM19,prefire,2019,[>100],1,10
bearmountain,BM19,prefire,2019,[60-80],0,0
bearmountain,BM19,prefire,2019,[80-100],0,0
bearmountain,BM2,prefire,2019,[<20],1,10
bearmountain,BM2,prefire,2019,[20-40],1,10
bearmountain,BM2,prefire,2019,[40-60],2,20
bearmountain,BM2,prefire,2019,[>100],0,0
bearmountain,BM2,prefire,2019,[60-80],1,10
bearmountain,BM2,prefire,2019,[80-100],0,0
bearmountain,BM20,prefire,2019,[<20],0,0
bearmountain,BM20,prefire,2019,[20-40],1,10
bearmountain,BM20,prefire,2019,[40-60],1,10
bearmountain,BM20,prefire,2019,[>100],1,10
bearmountain,BM20,prefire,2019,[60-80],0,0
bearmountain,BM20,prefire,2019,[80-100],0,0
bearmountain,BM21,prefire,2019,[<20],0,0
bearmountain,BM21,prefire,2019,[20-40],4,40
bearmountain,BM21,prefire,2019,[40-60],0,0
bearmountain,BM21,prefire,2019,[>100],0,0
bearmountain,BM21,prefire,2019,[60-80],0,0
bearmountain,BM21,prefire,2019,[80-100],0,0
bearmountain,BM22,prefire,2019,[<20],0,0
bearmountain,BM22,prefire,2019,[20-40],0,0
bearmountain,BM22,prefire,2019,[40-60],3,30
bearmountain,BM22,prefire,2019,[>100],0,0
bearmountain,BM22,prefire,2019,[60-80],1,10
bearmountain,BM22,prefire,2019,[80-100],0,0
bearmountain,BM24,prefire,2019,[<20],0,0
bearmountain,BM24,prefire,2019,[20-40],2,20
bearmountain,BM24,prefire,2019,[40-60],2,20
bearmountain,BM24,prefire,2019,[>100],0,0
bearmountain,BM24,prefire,2019,[60-80],1,10
bearmountain,BM24,prefire,2019,[80-100],0,0
bearmountain,BM25,prefire,2019,[<20],0,0
bearmountain,BM25,prefire,2019,[20-40],0,0
bearmountain,BM25,prefire,2019,[40-60],1,10
bearmountain,BM25,prefire,2019,[>100],0,0
bearmountain,BM25,prefire,2019,[60-80],0,0
bearmountain,BM25,prefire,2019,[80-100],0,0
bearmountain,BM3,prefire,2019,[<20],1,10
bearmountain,BM3,prefire,2019,[20-40],1,10
bearmountain,BM3,prefire,2019,[40-60],1,10
bearmountain,BM3,prefire,2019,[>100],0,0
bearmountain,BM3,prefire,2019,[60-80],0,0
bearmountain,BM3,prefire,2019,[80-100],0,0
bearmountain,BM4,prefire,2019,[<20],3,30
bearmountain,BM4,prefire,2019,[20-40],9,90
bearmountain,BM4,prefire,2019,[40-60],1,10
bearmountain,BM4,prefire,2019,[>100],0,0
bearmountain,BM4,prefire,2019,[60-80],1,10
bearmountain,BM4,prefire,2019,[80-100],0,0
bearmountain,BM5,prefire,2019,[<20],1,10
bearmountain,BM5,prefire,2019,[20-40],1,10
bearmountain,BM5,prefire,2019,[40-60],0,0
bearmountain,BM5,prefire,2019,[>100],0,0
bearmountain,BM5,prefire,2019,[60-80],0,0
bearmountain,BM5,prefire,2019,[80-100],0,0
bearmountain,BM6,prefire,2019,[<20],0,0
bearmountain,BM6,prefire,2019,[20-40],0,0
bearmountain,BM6,prefire,2019,[40-60],1,10
bearmountain,BM6,prefire,2019,[>100],0,0
bearmountain,BM6,prefire,2019,[60-80],0,0
bearmountain,BM6,prefire,2019,[80-100],1,10
bearmountain,BM7,prefire,2019,[<20],0,0
bearmountain,BM7,prefire,2019,[20-40],1,10
bearmountain,BM7,prefire,2019,[40-60],2,20
bearmountain,BM7,prefire,2019,[>100],1,10
bearmountain,BM7,prefire,2019,[60-80],0,0
bearmountain,BM7,prefire,2019,[80-100],0,0
bearmountain,BM8,prefire,2019,[<20],1,10
bearmountain,BM8,prefire,2019,[20-40],8,80
bearmountain,BM8,prefire,2019,[40-60],0,0
bearmountain,BM8,prefire,2019,[>100],0,0
bearmountain,BM8,prefire,2019,[60-80],0,0
bearmountain,BM8,prefire,2019,[80-100],0,0
BlissSP,bliss1,prefire,2019,[<20],3,30
BlissSP,bliss1,prefire,2019,[20-40],17,170
BlissSP,bliss1,prefire,2019,[40-60],2,20
BlissSP,bliss1,prefire,2019,[>100],0,0
BlissSP,bliss1,prefire,2019,[60-80],0,0
BlissSP,bliss1,prefire,2019,[80-100],0,0
BlissSP,bliss10,prefire,2019,[<20],1,10
BlissSP,bliss10,prefire,2019,[20-40],11,110
BlissSP,bliss10,prefire,2019,[40-60],4,40
BlissSP,bliss10,prefire,2019,[>100],1,10
BlissSP,bliss10,prefire,2019,[60-80],2,20
BlissSP,bliss10,prefire,2019,[80-100],0,0
BlissSP,bliss11,prefire,2019,[<20],1,10
BlissSP,bliss11,prefire,2019,[20-40],9,90
