site,plotid,pre_post_fire,year,status,BA_m2_acre_plot,n_trees_totalPlot
BurtonSP,Burton45,prefire,2020,LIVE,12.3901527919331,12
BurtonSP,Burton46,prefire,2020,DEAD,3.07010571275736,2
BurtonSP,Burton46,prefire,2020,LIVE,14.6087749763293,19
BurtonSP,Burton47,prefire,2020,LIVE,5.46476115101128,4
BurtonSP,burton5,prefire,2019,LIVE,22.7679073587286,29
BurtonSP,burton6,prefire,2019,DEAD,9.81937770602353,8
BurtonSP,burton6,prefire,2019,LIVE,32.2022593231098,43
BurtonSP,burton7,prefire,2019,DEAD,6.56519822571071,7
BurtonSP,burton7,prefire,2019,LIVE,26.4033112535729,14
BurtonSP,burton8,prefire,2019,DEAD,4.76786950664709,3
BurtonSP,burton8,prefire,2019,LIVE,21.8766610848501,6
BurtonSP,burton9,prefire,2019,DEAD,8.36176510855584,5
BurtonSP,burton9,prefire,2019,LIVE,10.5786692344696,8
calaveras,BigTrees01,prefire,2020,DEAD,8.39081698661991,2
calaveras,BigTrees01,prefire,2020,LIVE,21.8728636847301,6
calaveras,BigTrees02,prefire,2020,DEAD,8.88952911241402,2
calaveras,BigTrees02,prefire,2020,LIVE,15.4517742410304,2
calaveras,BigTrees03,prefire,2020,DEAD,12.9623919302891,7
calaveras,BigTrees03,prefire,2020,LIVE,21.307632261487,8
calaveras,BigTrees04,prefire,2020,DEAD,10.9952758362622,7
calaveras,BigTrees04,prefire,2020,LIVE,8.83111905100215,8
calaveras,BigTrees05,prefire,2020,DEAD,13.7513715093116,5
calaveras,BigTrees05,prefire,2020,LIVE,12.0871677789439,7
calaveras,BigTrees06,prefire,2020,DEAD,7.74765443061374,9
calaveras,BigTrees06,prefire,2020,LIVE,26.146486054142,18
calaveras,BigTrees07,prefire,2020,DEAD,0.269305176247351,2
calaveras,BigTrees07,prefire,2020,LIVE,24.5454047741665,6
calaveras,BigTrees08,prefire,2020,DEAD,1.08241218684946,2
calaveras,BigTrees08,prefire,2020,LIVE,57.8867898855047,16
calaveras,BigTrees09,prefire,2020,DEAD,4.19139510869499,3
calaveras,BigTrees09,prefire,2020,LIVE,18.5830860326613,10
calaveras,BigTrees10,prefire,2020,DEAD,15.1512416338063,4
calaveras,BigTrees10,prefire,2020,LIVE,30.6397803628653,8
calaveras,BigTrees11,prefire,2020,DEAD,1.05501749891016,2
calaveras,BigTrees11,prefire,2020,LIVE,7.47812934288063,21
calaveras,BigTrees12,prefire,2020,DEAD,12.160955936395,9
calaveras,BigTrees12,prefire,2020,LIVE,20.9203367191525,21
calaveras,BigTrees13,prefire,2020,DEAD,5.18681659496655,3
calaveras,BigTrees13,prefire,2020,LIVE,24.1151636602573,8
calaveras,BigTrees14,prefire,2020,DEAD,14.4996910254151,6
calaveras,BigTrees14,prefire,2020,LIVE,17.3108509637003,8
calaveras,BigTrees15,prefire,2020,DEAD,5.5417694409324,1
calaveras,BigTrees15,prefire,2020,LIVE,23.5595337295618,14
calaveras,BigTrees17,prefire,2020,LIVE,32.1245952257223,9
calaveras,BigTrees18 ,prefire,2020,LIVE,2.91735362395819,2
calaveras,BigTrees18,prefire,2020,DEAD,10.272764503808,2
calaveras,BigTrees18,prefire,2020,LIVE,17.537234130318,5
calaveras,BigTrees19,prefire,2020,DEAD,32.3344418340096,3
calaveras,BigTrees19,prefire,2020,LIVE,3.23489010141978,4
calaveras,BigTrees20,prefire,2020,LIVE,41.7543424721843,7
calaveras,BigTrees21,prefire,2020,DEAD,10.3013844128822,3
calaveras,BigTrees21,prefire,2020,LIVE,15.8107561795744,5
calaveras,BigTrees22,prefire,2020,DEAD,3.50463510063863,1
calaveras,BigTrees22,prefire,2020,LIVE,54.8306721140374,4
calaveras,BigTrees23,prefire,2020,DEAD,6.48815066588142,2
calaveras,BigTrees23,prefire,2020,LIVE,24.3744157400132,8
calaveras,BigTrees24,prefire,2020,DEAD,1.67638525588205,1
calaveras,BigTrees24,prefire,2020,LIVE,20.9415130171331,12
calaveras,BigTrees25,prefire,2020,DEAD,4.83133753223123,2
calaveras,BigTrees25,prefire,2020,LIVE,14.3695112798319,6
calaveras,BigTrees27,prefire,2020,DEAD,21.6440261488518,14
calaveras,BigTrees27,prefire,2020,LIVE,21.8146696078131,4
calaveras,BigTrees28,prefire,2020,DEAD,21.1240690027378,1
calaveras,BigTrees28,prefire,2020,LIVE,22.1054397158661,6
calaveras,BigTrees29,prefire,2020,DEAD,1.04062115057508,1
calaveras,BigTrees29,prefire,2020,LIVE,22.0147281914892,2
calaveras,BigTrees30,prefire,2020,DEAD,9.82182029431169,6
calaveras,BigTrees30,prefire,2020,LIVE,109.000675147007,7
calaveras,BigTrees31,prefire,2020,DEAD,0.314159265358979,1
calaveras,BigTrees32,prefire,2020,DEAD,4.92849913902513,4
calaveras,BigTrees32,prefire,2020,LIVE,15.884214469797,10
calaveras,BigTrees33,prefire,2020,DEAD,38.4876044752388,6
calaveras,BigTrees33,prefire,2020,LIVE,1.59525362560309,2
calaveras,BigTrees34,prefire,2020,DEAD,18.4013606056144,3
calaveras,BigTrees34,prefire,2020,LIVE,28.8223159983876,14
calaveras,BigTrees35,prefire,2020,DEAD,0.794226038754036,1
calaveras,BigTrees35,prefire,2020,LIVE,57.9644971797912,9
calaveras,BigTrees36,prefire,2020,DEAD,3.0044385723157,4
calaveras,BigTrees36,prefire,2020,LIVE,28.7012547254815,11
caples,1,postfire,2020,DEAD,12.8410400600625,16
caples,1,postfire,2020,LIVE,12.1366164473114,2
caples,1,postfire,2020,M,7.44573166864049,6
caples,1,prefire,2013-2018,DEAD,4.11774832291321,2
caples,1,prefire,2013-2018,LIVE,31.0269188255672,22
caples,1,prefire,2019,DEAD,14.7376195450347,16
caples,1,prefire,2019,LIVE,18.9184981723218,6
caples,10,postfire,2020,DEAD,5.66248513864658,4
caples,10,prefire,2013-2018,LIVE,3.42433599241287,4
caples,100,postfire,2020,DEAD,8.86386230043419,48
caples,100,postfire,2020,LIVE,3.97146006099881,12
caples,100,postfire,2020,M,6.01542736531413,14
caples,100,prefire,2013-2018,DEAD,0.464704385319002,2
caples,100,prefire,2013-2018,LIVE,12.4571060218673,42
caples,101,postfire,2020,DEAD,12.6727135256832,12
caples,101,prefire,2013-2018,LIVE,12.0548250825751,12
caples,102,postfire,2020,DEAD,7.39108366443129,30
caples,102,postfire,2020,M,3.45130656534394,4
caples,102,prefire,2013-2018,DEAD,1.89540138772706,6
caples,102,prefire,2013-2018,LIVE,10.3629831908374,28
caples,103,postfire,2020,DEAD,6.34345676223871,16
caples,103,postfire,2020,I,2.36186506493207,4
caples,103,postfire,2020,LIVE,57.9221720727657,30
caples,103,postfire,2020,M,8.55232626494096,14
caples,103,prefire,2013-2018,DEAD,156.683603509578,14
caples,103,prefire,2013-2018,LIVE,64.95699913028,52
caples,103,prefire,2013-2018,M,4.76230888765023,4
caples,103,prefire,2019,DEAD,0.358157270472504,2
caples,104,prefire,2013-2018,DEAD,22.7201080265043,10
caples,104,prefire,2013-2018,LIVE,50.9097759867982,42
caples,105,postfire,2020,DEAD,13.3484229815805,32
caples,105,postfire,2020,LIVE,50.9694348312898,34
caples,105,postfire,2020,M,4.12533526917163,32
caples,105,prefire,2013-2018,DEAD,15.7813351643736,10
caples,105,prefire,2013-2018,LIVE,66.8439653417321,86
caples,105,prefire,2013-2018,M,0.0931325142156694,2
caples,106,prefire,2013-2018,DEAD,26.3750683356172,6
caples,106,prefire,2013-2018,LIVE,84.9001434545333,44
caples,106,prefire,2013-2018,M,0.344067227421154,2
caples,107,prefire,2013-2018,DEAD,0.64646122829244,6
caples,107,prefire,2013-2018,LIVE,76.7067127343385,96
caples,107,prefire,2013-2018,M,5.88332339423068,2
caples,108,prefire,2013-2018,DEAD,20.9531820703458,12
caples,108,prefire,2013-2018,LIVE,51.2169137925764,50
caples,109,prefire,2013-2018,DEAD,21.1803820510534,6
caples,109,prefire,2013-2018,LIVE,29.207308360608,26
caples,109,prefire,2013-2018,M,21.879323584624,6
caples,11,postfire,2020,DEAD,18.5394021868131,64
caples,11,postfire,2020,LIVE,27.0409288985455,38
caples,11,postfire,2020,M,10.0335400772187,28
caples,11,prefire,2013-2018,DEAD,5.49524245373273,8
caples,11,prefire,2013-2018,LIVE,33.4107122072213,92
caples,110,prefire,2013-2018,DEAD,1.77977507011169,6
caples,110,prefire,2013-2018,LIVE,81.0267639161796,64
caples,110,prefire,2013-2018,M,1.45166713337077,2
caples,111,postfire,2020,DEAD,1.75315007237252,6
caples,111,postfire,2020,I,6.23449062104895,2
caples,111,postfire,2020,LIVE,32.889474862101,2
caples,111,postfire,2020,M,27.222921360968,4
caples,111,prefire,2013-2018,DEAD,44.2237285456855,4
caples,111,prefire,2013-2018,LIVE,78.5698813814397,18
caples,112,prefire,2013-2018,LIVE,22.8013653204894,18
caples,113,prefire,2013-2018,DEAD,3.48975965942388,4
caples,113,prefire,2013-2018,LIVE,61.5556595960914,40
caples,114,prefire,2013-2018,DEAD,1.35680674319563,4
caples,114,prefire,2013-2018,LIVE,76.2473961804204,102
caples,115,postfire,2020,DEAD,4.01321182736501,6
caples,115,postfire,2020,LIVE,13.8756293527427,8
caples,115,postfire,2020,M,4.11210916410002,6
caples,115,prefire,2013-2018,DEAD,8.47823180220604,6
caples,115,prefire,2013-2018,LIVE,19.1780722653246,16
caples,116,prefire,2013-2018,DEAD,35.4902894642651,20
caples,116,prefire,2013-2018,LIVE,121.40714654928,66
caples,116,prefire,2013-2018,M,10.2805635075705,2
caples,117,postfire,2020,DEAD,2.74611326239264,34
caples,117,postfire,2020,LIVE,30.2550923424332,48
caples,117,postfire,2020,M,8.5573528131867,32
caples,117,prefire,2013-2018,DEAD,6.07142625436437,10
caples,117,prefire,2013-2018,LIVE,38.1900956509438,96
caples,117,prefire,2013-2018,M,0.631051716326582,6
caples,118,postfire,2020,DEAD,49.1434783491704,34
caples,118,postfire,2020,LIVE,29.3226676428478,12
caples,118,postfire,2020,M,47.6786636505443,20
caples,118,prefire,2013-2018,DEAD,1.75706135522624,14
caples,118,prefire,2013-2018,LIVE,117.769402167908,48
caples,118,prefire,2013-2018,M,0.490481153041707,4
caples,119,postfire,2020,DEAD,7.96016746566582,22
caples,119,postfire,2020,LIVE,31.6449015164548,6
caples,119,postfire,2020,M,8.45033445944216,6
caples,119,prefire,2013-2018,DEAD,7.63347324561901,4
caples,119,prefire,2013-2018,LIVE,54.0702181963095,34
caples,12,postfire,2020,DEAD,31.6097313866979,58
caples,12,postfire,2020,M,44.6159406805229,14
caples,12,prefire,2013-2018,DEAD,51.3546726304363,30
caples,12,prefire,2013-2018,LIVE,58.2073972697852,66
caples,120,prefire,2013-2018,DEAD,6.77060340738404,48
caples,120,prefire,2013-2018,LIVE,90.1466974338079,104
caples,121,postfire,2020,DEAD,1.22710609049217,16
caples,121,postfire,2020,LIVE,0.838428247390044,10
caples,121,postfire,2020,M,3.46973200625725,16
caples,121,prefire,2013-2018,DEAD,0.402123859659493,2
caples,121,prefire,2013-2018,LIVE,4.77222061247231,28
caples,121,prefire,2013-2018,M,0.654236670110074,10
caples,121,prefire,2019,LIVE,0.241525643207983,2
caples,122,postfire,2020,DEAD,4.04264855052915,30
caples,122,postfire,2020,LIVE,47.2502014634753,62
caples,122,prefire,2013-2018,DEAD,2.23770932326221,6
caples,122,prefire,2013-2018,LIVE,44.2624800910675,82
caples,122,prefire,2013-2018,M,0.397113019377018,2
caples,123,prefire,2013-2018,DEAD,2.86577652656788,6
caples,123,prefire,2013-2018,LIVE,51.7932546728407,32
caples,124,prefire,2013-2018,LIVE,19.2831899555138,14
caples,125,postfire,2020,LIVE,43.1979828363251,74
caples,125,prefire,2013-2018,LIVE,40.2685105187057,72
caples,126,postfire,2020,DEAD,16.7568310992397,32
caples,126,postfire,2020,LIVE,19.216258324029,16
caples,126,prefire,2013-2018,DEAD,1.45926978759246,4
caples,126,prefire,2013-2018,LIVE,25.149721537011,38
caples,126,prefire,2013-2018,M,5.37031702186273,4
caples,127,postfire,2020,DEAD,7.14783407225465,6
caples,127,postfire,2020,LIVE,23.5349507670475,32
caples,127,prefire,2013-2018,DEAD,6.22533287846373,4
caples,127,prefire,2013-2018,LIVE,25.5385564597458,34
caples,128,postfire,2020,DEAD,12.8671781109404,8
caples,128,postfire,2020,LIVE,15.0127759375994,16
caples,128,prefire,2013-2018,DEAD,15.3594821028495,8
caples,128,prefire,2013-2018,LIVE,38.6607376463781,22
caples,129,postfire,2020,DEAD,8.09519311791711,12
caples,129,postfire,2020,LIVE,52.6231849121028,38
caples,129,postfire,2020,M,3.10034354204816,12
caples,129,prefire,2013-2018,DEAD,8.43904043385251,8
caples,129,prefire,2013-2018,LIVE,54.2338794655983,54
caples,129,prefire,2013-2018,M,0.312290017730093,2
caples,13,postfire,2020,DEAD,12.4351934131085,40
caples,13,postfire,2020,LIVE,19.2872583180002,12
caples,13,prefire,2013-2018,DEAD,3.01460947853169,10
caples,13,prefire,2013-2018,LIVE,31.3849975562233,52
caples,130,prefire,2013-2018,DEAD,27.9113071432226,2
caples,130,prefire,2013-2018,LIVE,58.4383357457505,38
caples,131,prefire,2013-2018,DEAD,8.27088668706912,12
caples,131,prefire,2013-2018,LIVE,91.2226929176624,66
caples,131,prefire,2013-2018,M,0.387185586591674,2
caples,132,prefire,2013-2018,DEAD,1.62866446347402,2
caples,132,prefire,2013-2018,LIVE,28.9887320517345,14
caples,133,prefire,2013-2018,DEAD,7.4743987016045,22
caples,133,prefire,2013-2018,LIVE,64.6138743806549,36
caples,133,prefire,2013-2018,M,9.52474343900661,14
caples,14,postfire,2020,DEAD,4.51311775836749,4
caples,14,postfire,2020,LIVE,6.53919369252062,8
caples,14,prefire,2013-2018,DEAD,4.72220645742716,4
caples,14,prefire,2013-2018,LIVE,13.9867631928635,16
caples,16,postfire,2020,DEAD,0.353429173528852,2
caples,16,postfire,2020,LIVE,49.9574885676604,44
caples,16,postfire,2020,M,0.241525643207983,2
caples,16,prefire,2013-2018,LIVE,44.5574442253131,46
caples,17,postfire,2020,DEAD,7.7039548768023,6
caples,17,postfire,2020,LIVE,43.3890073776267,44
caples,17,prefire,2013-2018,DEAD,2.60431747797287,4
caples,17,prefire,2013-2018,LIVE,44.3668909229096,48
caples,19,postfire,2020,DEAD,0.682809455294474,4
caples,19,postfire,2020,LIVE,15.0282168654917,38
caples,19,prefire,2013-2018,DEAD,0.412239788004053,2
caples,19,prefire,2013-2018,LIVE,15.627475664164,38
caples,2,postfire,2020,DEAD,2.61119756588423,6
caples,2,postfire,2020,LIVE,10.6505488743838,6
caples,2,postfire,2020,M,0.207737814218625,2
caples,2,prefire,2013-2018,DEAD,0.233797325280152,2
caples,2,prefire,2013-2018,LIVE,15.9827583773585,14
caples,2,prefire,2019,DEAD,3.08275062318806,8
caples,2,prefire,2019,LIVE,13.6675616712955,6
caples,20,postfire,2020,DEAD,2.70613649587571,8
caples,20,postfire,2020,LIVE,5.30239578869212,2
caples,20,prefire,2013-2018,DEAD,4.10200894371873,10
caples,20,prefire,2013-2018,LIVE,7.54814758914752,8
caples,21,postfire,2020,DEAD,4.37912883169188,2
caples,21,postfire,2020,LIVE,32.1863078864112,22
caples,21,prefire,2013-2018,LIVE,31.8364130046177,22
caples,22,postfire,2020,DEAD,1.24916007092037,2
caples,22,prefire,2013-2018,LIVE,0.985988854329156,4
caples,23,postfire,2020,DEAD,12.3045188666825,18
caples,23,postfire,2020,LIVE,40.2335760083978,24
caples,23,postfire,2020,M,8.09101479968783,6
caples,23,prefire,2013-2018,DEAD,5.53382121151881,8
caples,23,prefire,2013-2018,LIVE,53.9568852413312,48
caples,23,prefire,2019,DEAD,4.51259939557965,8
caples,23,prefire,2019,LIVE,54.1384692967087,38
caples,24,postfire,2020,DEAD,17.4631239596198,44
caples,24,postfire,2020,LIVE,14.9937064701921,2
caples,24,postfire,2020,M,16.9298228987096,10
caples,24,prefire,2013-2018,DEAD,0.130077643821885,2
caples,24,prefire,2013-2018,LIVE,47.7250806820011,58
caples,24,prefire,2019,DEAD,19.8644631362442,44
caples,24,prefire,2019,LIVE,27.0587103129648,10
caples,25,postfire,2020,LIVE,6.01932294020458,4
caples,25,prefire,2013-2018,LIVE,6.07122205084188,4
