site,plotid,pre_post_fire,year,diamclass,status,BA_m2_sum,n_trees_diamclass,mean_dbh_cm,mean_ht,n_trees_ha,BA_m2_ha
Antelope,Antelope10,prefire,2020,[<20],LIVE,0.219039693789914,1,16.7,6.7,4.04686,0.886422975210653
Antelope,Antelope10,prefire,2020,[>100],LIVE,9.65946278597417,1,110.9,22.3,4.04686,39.0904935700474
Antelope,Antelope11,prefire,2020,[20-40],LIVE,3.20262594486741,5,28.3,7.98,20.2343,12.9605788312461
Antelope,Antelope11,prefire,2020,[40-60],LIVE,6.20543874298487,3,51.1,13.4333333333333,12.14058,25.1125418314358
Antelope,Antelope11,prefire,2020,[60-80],DEAD,3.03857983047858,1,62.2,13.7,4.04686,12.2967071727706
Antelope,Antelope11,prefire,2020,[60-80],LIVE,3.8484510006475,1,70,23,4.04686,15.5741424164803
Antelope,Antelope12 ,prefire,2020,[20-40],LIVE,13.080559010963,23,26.6304347826087,9.54782608695652,93.07778,52.9351910391059
Antelope,Antelope13,prefire,2020,[20-40],LIVE,0.897270277791781,1,33.8,11.5,4.04686,3.63112719638445
Antelope,Antelope13,prefire,2020,[40-60],LIVE,7.15861366204728,4,47.725,14.625,16.18744,28.9699072843927
Antelope,Antelope14,prefire,2020,[20-40],LIVE,0.437435361085843,1,23.6,6.6,4.04686,1.77023966536385
Antelope,Antelope14,prefire,2020,[40-60],LIVE,1.88574099031727,1,49,14.2,4.04686,7.63132978407536
Antelope,Antelope14,prefire,2020,[60-80],LIVE,3.08762794578275,1,62.7,16.9,4.04686,12.4951980286704
Antelope,Antelope15,prefire,2020,[20-40],LIVE,0.444880935674851,1,23.8,7,4.04686,1.80037086334513
Antelope,Antelope15,prefire,2020,[60-80],LIVE,4.19686147991224,1,73.1,18.9,4.04686,16.9841108485976
Antelope,Antelope15,prefire,2020,[80-100],LIVE,6.10980080862797,1,88.2,21.2,4.04686,24.7255085004042
Antelope,Antelope16,prefire,2020,[20-40],DEAD,0.448627284914256,1,23.9,5,4.04686,1.81553181422811
Antelope,Antelope16,prefire,2020,[20-40],LIVE,2.53992268255591,3,32.7,8,12.14058,10.2787115071282
Antelope,Antelope17,prefire,2020,[40-60],LIVE,1.3854423602331,1,42,14.5,4.04686,5.60669126993292
Antelope,Antelope18,prefire,2020,[20-40],LIVE,0.96761839128729,1,35.1,12,4.04686,3.91581616296488
Antelope,Antelope18,prefire,2020,[40-60],LIVE,1.42530917100715,1,42.6,13,4.04686,5.76802667178201
Antelope,Antelope19,prefire,2020,[20-40],LIVE,2.67944081230183,3,33.5666666666667,10.6,12.14058,10.8433218456718
Antelope,Antelope19,prefire,2020,[60-80],LIVE,4.39433414013526,1,74.8,17.7,4.04686,17.7832550583478
bearmountain,BM 1,prefire,2019,[<20],DEAD,0.183508280877814,2,10.55,4.05,8.09372,0.74263232155319
bearmountain,BM 1,prefire,2019,[20-40],LIVE,4.465428381886,4,37.65,14.125,16.18744,18.0709635015192
bearmountain,BM 1,prefire,2019,[40-60],DEAD,2.65119789434606,1,58.1,6.7,4.04686,10.7290267107133
bearmountain,BM 1,prefire,2019,[40-60],LIVE,2.61487322928893,2,40.8,17.25,8.09372,10.5820258766802
bearmountain,BM10,prefire,2019,[<20],DEAD,0.0580880481648753,1,8.6,1.7,4.04686,0.235074198596507
