site,plotid,year,postFire,species,status,avg_scorch_ht_m,avg_scorch_percent,avg_torch_ht_m,avg_torch_percent,avg_bolechar_m
BurtonSP,Burton07,2020,1yr,ABCO,LIVE,,,,,
BurtonSP,Burton07,2020,1yr,ABMA,LIVE,,,,,
BurtonSP,Burton07,2020,1yr,PIJE,LIVE,,,,,
BurtonSP,Burton08,2020,1yr,ABCO,LIVE,,,,,0.26
BurtonSP,Burton08,2020,1yr,ABMA,LIVE,,,,,0.1
BurtonSP,Burton09,2020,1yr,ABCO,LIVE,,,,,0.342857142857143
BurtonSP,Burton09,2020,1yr,ABMA,LIVE,,,,,0.1
BurtonSP,Burton14,2020,1yr,ABCO,LIVE,,,,,
BurtonSP,Burton14,2020,1yr,ABMA,LIVE,,,,,
BurtonSP,Burton14,2020,1yr,PIJE,LIVE,0.1,,,,
BurtonSP,Burton14,2020,1yr,PILA,LIVE,,,,,
BurtonSP,Burton38,2020,1yr,ABCO,LIVE,,,,,
BurtonSP,Burton38,2020,1yr,PIJE,LIVE,,,,,
BurtonSP,Burton39,2020,1yr,ABCO,LIVE,1.04285714285714,,,,
BurtonSP,Burton39,2020,1yr,ABMA,LIVE,0.7,,,,
BurtonSP,Burton39,2020,1yr,PIJE,LIVE,,,,,
BurtonSP,Burton40,2020,1yr,ABCO,LIVE,,,,,
BurtonSP,Burton40,2020,1yr,ABMA,LIVE,5.8,65,,,0.1
BurtonSP,Burton41,2020,1yr,ABCO,LIVE,,,,,
BurtonSP,Burton41,2020,1yr,ABMA,LIVE,,,,,
BurtonSP,Burton41,2020,1yr,PIJE,LIVE,,,,,
caples,1,2020,1yr,PIJE,LIVE,,,,,0
caples,100,2020,1yr,ABCO,LIVE,,,,,0
caples,100,2020,1yr,CADE27,LIVE,,,,,0
caples,103,2020,1yr,ABCO,LIVE,,,,,0
caples,103,2020,1yr,CADE27,LIVE,,,,,0
caples,103,2020,1yr,PIJE,LIVE,,,,,0
caples,103,2020,1yr,PILA,LIVE,,,,,0
caples,105,2020,1yr,ABCO,LIVE,,,,,0
caples,105,2020,1yr,CADE27,LIVE,,,,,0
caples,11,2020,1yr,ABCO,LIVE,,,,,0
caples,11,2020,1yr,CADE27,LIVE,,,,,0
caples,11,2020,1yr,PIJE,LIVE,,,,,0
caples,111,2020,1yr,PILA,LIVE,,,,,0
caples,115,2020,1yr,PIJE,LIVE,,,,,0
caples,117,2020,1yr,ABCO,LIVE,,,,,0
caples,117,2020,1yr,CADE27,LIVE,,,,,0
caples,117,2020,1yr,PIJE,LIVE,,,,,0
caples,118,2020,1yr,ABCO,LIVE,,,,,0
caples,118,2020,1yr,CADE27,LIVE,,,,,0
caples,119,2020,1yr,ABCO,LIVE,,,,,0
caples,119,2020,1yr,CADE27,LIVE,,,,,0
caples,121,2020,1yr,CADE27,LIVE,,,,,0
caples,122,2020,1yr,ABCO,LIVE,,,,,0
caples,122,2020,1yr,CADE27,LIVE,,,,,0
caples,122,2020,1yr,PIJE,LIVE,,,,,0
caples,125,2020,1yr,ABCO,LIVE,,,,,0
caples,125,2020,1yr,ABMA,LIVE,,,,,0
caples,125,2020,1yr,PICO,LIVE,,,,,0
caples,125,2020,1yr,PIJE,LIVE,,,,,0
caples,125,2020,1yr,PILA,LIVE,,,,,0
caples,126,2020,1yr,ABCO,LIVE,,,,,0
caples,126,2020,1yr,PIJE,LIVE,,,,,0
caples,127,2020,1yr,ABCO,LIVE,,,,,0
caples,127,2020,1yr,ABMA,LIVE,,,,,0
caples,127,2020,1yr,CADE27,LIVE,,,,,0
caples,127,2020,1yr,PIJE,LIVE,,,,,0
caples,128,2020,1yr,ABCO,LIVE,,,,,0
caples,128,2020,1yr,ABMA,LIVE,,,,,0
caples,129,2020,1yr,ABCO,LIVE,,,,,0
caples,129,2020,1yr,CADE27,LIVE,,,,,0
caples,129,2020,1yr,PIJE,LIVE,,,,,0
caples,13,2020,1yr,CADE27,LIVE,,,,,0
caples,14,2020,1yr,ABCO,LIVE,,,,,0
caples,16,2020,1yr,ABCO,LIVE,,,,,0
caples,16,2020,1yr,ABMA,LIVE,,,,,0
caples,16,2020,1yr,CADE27,LIVE,,,,,0
caples,17,2020,1yr,ABCO,LIVE,,,,,0
