plotid_time,status,species,BA_m2_sum,n_trees,mean_dbh_cm,max_dbh_cm,min_dbh_cm,mean_ht2c,mean_ht,mean_ht2d,n_trees_ha,BA_m2_ha
Antelope19 prefire ,live,PIJE,0.707377495243709,4,43.875,74.8,29.8,3.55,12.375,2,16.18744,2.86265769040196
BigTrees01 prefire ,dead,ABCO,0.839081698661991,2,72.4,82.4,62.4,,29.75,10.8,8.09372,3.39564616304726
BigTrees01 prefire ,live,ABCO,2.16383104137177,4,78.1125,117.6,38.3,8.975,32.625,,16.18744,8.75672128808574
BigTrees01 prefire ,live,CADE,0.0152840446092552,1,13.95,13.95,13.95,4.5,7,2,4.04686,0.0618523887674105
BigTrees01 prefire ,live,CONU,0.00817128249198705,1,10.2,10.2,10.2,1,6.5,0.4,4.04686,0.0330680362655227
BigTrees02 prefire ,dead,ABCO,0.888952911241402,2,74.6,84.3,64.9,,24.3,12.6,8.09372,3.59746797838638
BigTrees02 prefire ,live,ABCO,0.490166993776348,1,79,79,79,15,33,12,4.04686,1.98363720043375
BigTrees02 prefire ,live,CADE,1.05501043032669,1,115.9,115.9,115.9,20,31,6,4.04686,4.26947951007186
BigTrees03 prefire ,dead,ABCO,0.704359995499936,3,52.5666666666667,70.5,33.7,,10.4,,12.14058,2.85044629138887
BigTrees03 prefire ,dead,CADE,0.309135858705889,3,34.0666666666667,44.6,16.8,,,,12.14058,1.25102954116251
BigTrees03 prefire ,dead,PIPO,0.282743338823081,1,60,60,60,,2.2,,4.04686,1.14422270814958
BigTrees03 prefire ,live,ABCO,1.14745179415857,3,69.6333333333334,75.9,65,,,,12.14058,4.64357676770854
BigTrees03 prefire ,live,CADE,0.761859780440427,4,45.95,71.3,25.9,13.575,19.275,,16.18744,3.08313987107315
BigTrees03 prefire ,live,QUKE,0.221451651549708,1,53.1,53.1,53.1,7.3,11,9,4.04686,0.896183830590451
BigTrees04 prefire ,dead,ABCO,0.574898889236318,5,37,47.8,24.1,,3.1,,20.2343,2.32653531889489
BigTrees04 prefire ,dead,CADE,0.524628694389901,2,57.5,63.3,51.7,,6.2,,8.09372,2.12309887817871
BigTrees04 prefire ,live,ABCO,0.46944976102225,2,53.1,66.1,40.1,8.6,24.75,3.65,8.09372,1.8997974598905
BigTrees04 prefire ,live,CADE,0.413662144077965,6,26.55,42.2,7.9,8.21666666666667,13.1833333333333,2.23333333333333,24.28116,1.67403278438336
BigTrees05 prefire ,dead,ABCO,0.226587370140164,2,36.5,47,26,,16.55,1.2,8.09372,0.916967364725423
BigTrees05 prefire ,dead,CADE,0.0240528187540469,1,17.5,17.5,17.5,,8.1,1.2,4.04686,0.097338390103002
BigTrees05 prefire ,dead,PILA,1.0659620223171,1,116.5,116.5,116.5,,4,,4.04686,4.31379906963419
BigTrees05 prefire ,dead,PIPO,0.0585349397198484,1,27.3,27.3,27.3,,12.4,,4.04686,0.236882706154666
BigTrees05 prefire ,live,CADE,0.734351209767431,4,48.025,55.5,41.2,10.3,17.325,1.675,16.18744,2.97181653675943
BigTrees05 prefire ,live,PILA,0.115811671581934,1,38.4,38.4,38.4,9.8,21.7,7.6,4.04686,0.468673621258066
BigTrees05 prefire ,live,PIPO,0.35855389654502,2,47.55,52.2,42.9,14.55,25.25,12.3,8.09372,1.45101742177218
BigTrees06 prefire ,dead,ABCO,0.352324903711115,2,42.4,63.5,21.3,,8.6,,8.09372,1.42580955983236
BigTrees06 prefire ,dead,CADE,0.259226947014635,5,21.64,49,11.1,,3.9,,20.2343,1.04905516279565
BigTrees06 prefire ,dead,PIPO,0.163213592335624,2,31.2,39.3,23.1,,11.3,,8.09372,0.660502558279342
BigTrees06 prefire ,live,CADE,0.943117110181943,10,31.18,56.8,10.6,6.86,12.64,4.23,40.4686,3.8166629085109
BigTrees06 prefire ,live,PILA,0.479062249144071,1,78.1,78.1,78.1,18.8,33,18.5,4.04686,1.93869785357117
BigTrees06 prefire ,live,PIPO,0.895412025737182,6,36.4,70.1,11.5,9.4,20.6,,24.28116,3.62360711047477
BigTrees06 prefire ,live,QUKE,0.297057220351,1,61.5,61.5,61.5,9.5,16.5,,4.04686,1.20214898274965
BigTrees07 prefire ,dead,ABCO,0.0269305176247351,2,12.35,16.7,8,,2,,8.09372,0.108984034554836
BigTrees07 prefire ,live,ABCO,2.44817875229313,5,78.12,94.8,62,8.88,35.58,,20.2343,9.90743666550496
BigTrees07 prefire ,live,CADE,0.00636172512351933,1,9,9,9,4.2,4.8,0.4,4.04686,0.0257450109333654
BigTrees08 prefire ,dead,ABCO,0.108241218684946,2,26.25,26.4,26.1,,10.9,1.25,8.09372,0.438037058247361
BigTrees08 prefire ,live,ABCO,1.17832736675805,5,48.94,83.2,25.8,17.64,30.1,,20.2343,4.76852588743847
BigTrees08 prefire ,live,CADE,0.387529590987242,3,36.6,61.1,21.6,8.26666666666667,16.0666666666667,,12.14058,1.56827800058263
BigTrees08 prefire ,live,PILA,4.22282203080518,8,77.675,115.9,47.5,23.975,38.8,14.5625,32.37488,17.0891695635842
BigTrees09 prefire ,dead,ABCO,0.419139510869499,3,39.0333333333333,55.5,17.4,,,,12.14058,1.69619892095734
BigTrees09 prefire ,live,ABCO,1.38750167421753,6,50.9666666666667,77.2,24.1,7.05,26.5,,24.28116,5.61502502532394
BigTrees09 prefire ,live,CADE,0.386825088834675,3,39.7666666666667,48.1,29.4,12,17.3333333333333,2.66666666666667,12.14058,1.56542697900149
BigTrees09 prefire ,live,PILA,0.0839818402139258,1,32.7,32.7,32.7,17,24,15,4.04686,0.339862749888128
BigTrees10 prefire ,dead,ABCO,0.0430052618349907,1,23.4,23.4,23.4,,3.5,1,4.04686,0.17403627390955
BigTrees10 prefire ,dead,CADE,1.47211890154564,3,67.6,124.2,28.6,,16,,12.14058,5.95745909790899
BigTrees10 prefire ,live,ABCO,0.992999318335642,4,52.3,85.6,31.9,11.25,28.8,2.15,16.18744,4.01852922139978
BigTrees10 prefire ,live,PILA,1.96919111597458,3,78.3333333333333,144,35.6,16,31.4,12.3666666666667,12.14058,7.96904075959288
BigTrees10 prefire ,live,QUKE,0.101787601976309,1,36,36,36,4.5,22,1.8,4.04686,0.411920174933847
BigTrees11 prefire ,dead,CADE,0.105501749891016,2,25.85,27.7,24,,4.5,,8.09372,0.426950811563956
BigTrees11 prefire ,live,CADE,0.452792251374753,3,41.3,59.4,23.4,8,10.3666666666667,1.5,12.14058,1.83238685039843
BigTrees11 prefire ,live,PIPO,0.29502068291331,18,13.8222222222222,24.5,8.7,2.08333333333333,5.33333333333333,0.0166666666666667,72.84348,1.19390740085456
BigTrees12 prefire ,dead,ABCO,1.06133288554204,4,55.125,82.7,31.9,,18.9,,16.18744,4.29506560118465
BigTrees12 prefire ,dead,CADE,0.138476691781258,4,20.2,25.9,12,,7.125,1.6,16.18744,0.560395784901901
BigTrees12 prefire ,dead,PIPO,0.0162860163162095,1,14.4,14.4,14.4,,2,,4.04686,0.0659072279894155
BigTrees12 prefire ,live,ABCO,1.37632467295422,11,35.6454545454545,65.1,15.3,5.55454545454546,16.9545454545455,2.94545454545455,44.51546,5.56979326599151
BigTrees12 prefire ,live,CADE,0.396468992883032,7,23.6285714285714,46.5,13.5,5.72857142857143,9.34285714285714,1.34285714285714,28.32802,1.60445450853863
BigTrees12 prefire ,live,PIPO,0.21237166338267,1,52,52,52,15,36,12,4.04686,0.859438389676792
BigTrees12 prefire ,live,QUKE,0.106868342695327,2,24.35,33.7,15,2,6.5,0.3,8.09372,0.432481221320013
BigTrees13 prefire ,dead,ABCO,0.373928065593525,1,69,69,69,,41,,4.04686,1.51323453152781
BigTrees13 prefire ,dead,PIPO,0.14475359390313,2,29.2,37.5,20.9,,7.25,,8.09372,0.585797529022821
BigTrees13 prefire ,live,ABCO,0.677134168165764,2,59.1,87.7,30.5,10.9,35,,8.09372,2.7402671797833
BigTrees13 prefire ,live,CADE,0.0583032472616462,2,18.1,24.7,11.5,5.75,7.5,2.5,8.09372,0.235945079213265
BigTrees13 prefire ,live,PIPO,1.67607895059832,4,71.65,83.2,47.6,22.25,34.55,19.25,16.18744,6.78285686201834
BigTrees14 prefire ,dead,ABCO,0.149301049269201,1,43.6,43.6,43.6,,7.6,1.8,4.04686,0.60420044424556
BigTrees14 prefire ,dead,CADE,0.221746961259145,3,29.1666666666667,42.6,21.9,,9.16666666666667,,12.14058,0.897378907641185
BigTrees14 prefire ,dead,PILA,1.07892109201316,2,79.25,103.5,55,,23.45,,8.09372,4.36624261042438
