Lifeform,CODE,Genus,Species,epithet,Var/Ssp,Rare?,Alt Code,Family,Klamath,Concow,Henry Coe,Sly Park,Burton,Wilder Ranch,Valentine,Shaver Lake,Healsburg,Bear Mnt2021,Stanislaus,SpringsFire,FrenchMeadows,SlyPark,Burton/Bliss SP,Notes
SH,ARCMIW,Arctostaphylos ,miwa,,,,,,,,,,,,,,,,,,,x,,
SH,ARCNEV,Arctostaphylos ,nevadensis,,,,ARCNEV,,,,,,x,,x,x,,,,,x,,,
SH,ARCPAT,Arctostaphylos ,patula,,,,ARPA,,,,,x,x,,x,x,,,,,,,x,greenleaf manzanita
SH,arctostaphylos,Arctostaphylos ,species,,,,,,,,,,,,,,,,,,x,,,small seedling 19-8 fm
SH,ARTO2,Arctostaphylos ,tomentosa,,,,,,,,,,,,,,,,,,,,,
SH,ARCVIS,Arctostaphylos ,viscida,,,,,,,,,,,,,x,,x,,,,,,
SH,ARCVISVIS,Arctostaphylos ,viscida,,ssp viscida,,,,,x,,,,,,,,,,,,,,
FB,ARNCHA,Arnica,chamissonis,Less.,,,,,,,,,,,,,,,,,,,,
FB,ARNDEA,Arnica,dealbata,,,,,,,,,,,,,,,,,,x,,,
FB,ARNLON,Arnica,longifolia,,,,,,,,,,,,,,,,,,,,,
SH,ARTCAN,Artemesia,cana,,,,,,,,,,,,,,,,,,,,,
FB,ARTDOU,Artemesia,douglasiana,,,,,,x,x,,,,x,x,,,,,,,,,
SH,ARTR,Artemesia,tridentata,,,,ARTTRI,,,,,,,,,,,,,x,,,,
SH,ARTTRIVAS,Artemesia,tridentata,,ssp vaseyana,,,,,,,,,,x,,,,,,,,,
FB,ASACAU,Asarum,caudatum,,,,,,,,,,,x,,,x,,,,,,,
FB,ASALEM,Asarum,lemmonii,,,,,,,,,,,,,,,,,,,,,
FB,ASAHAR,Asarum ,hartwegii,,,,ASAHAR,,x,,,x,,,,,,,,,,x,,
FB,ASCCOR,Asclepias,cordifolia,,,,ASCCOR,,,,,,,,,,,x,,,,x,,milkweed
FERN,ASPDEN,Aspidotis,densa,,,,,,x,,,,,,,,,,,,,,,
FB,ASTINT,Aster,integerrimus,Medik.,,,,,,,,,,,,,,,,,,,,
FB,ASTRAGALUS,Astragalus,spp,,,,,,,,,,,,,,,,,,,,,
FB,ASYPRE,Asyneuma,prenanthoides,,,,,,,,,,,,,,,,,,,,,
FB,ASPR,Asyneuma,prenathoides,,,,ASYPRE,,,x,,,,x,,,,,,,x,,,fm10-12
FERN,ATHFEM,Athyrium,filix-femina,,,,,,,,,,,,,,,,,,,,,
GR,AVEBAR,Avena,barbata,,,,,,,x,x,,,,,,,,,,,,,
GR,AVEFAT,Avena,fatua,,,,,,,,x,,,,,,,,,,,,,
GR,AVENA,Avena,sp.,,,,,,,,,,,,,,,,,,,,,
SH,BACPIL,Baccharis,pilularis,,,,,,z,x,,,,x,,,x,,,,,,,
SH,BACPILCON,Baccharis,pilularis,,ssp consanguinea,,,,,,x,,,,,,,,,,,,,
FB,BALSAG,Balsamorhiza,sagittata,,,,,,,,,,,,,,,,,,,,,
SH,BERAQU,Berberis,aquifolium,,,,,,x,,,,,,,,,,,,,,,
FB,BOEDIV,Boechera,divaricarpa,,,,,,,,,,,,,,,,,,,,,
FB,BOELEM,Boechera,lemmonii,,,,,,,,,,,,x,,,,,,,,,
FB,BOEPLA,Boechera,platysperma,,,,,,,,,,,,,,,,,,,,,
FB,BOEREP,Boechera,repanda,,,,,,,,,,,,x,x,,,,,,,,
FB,BOESTR,Boechera,stricta,,,,,,,,,,,,,,,,,,,,,
FB,BOECHERA,Boechera,unk species,,,,,,,,,,,,,,,,,,,,,
FB,BOEDRU,Boechera,,,,,,,,,,,,,,,,,,,,,,
FB,borage,Boraginaceae,,,,,,,,,,,,,,,,,,,,,,
