Lifeform,CODE,Genus,Species,epithet,Var/Ssp,Rare?,Alt Code,Family,Klamath,Concow,Henry Coe,Sly Park,Burton,Wilder Ranch,Valentine,Shaver Lake,Healsburg,Bear Mnt2021,Stanislaus,SpringsFire,FrenchMeadows,SlyPark,Burton/Bliss SP,Notes
SH,ERINAU,Ericameria,nauseosa,,,,CHRNAU,,,,,,,,,,,x,,,,,,
SH,ERISUF,Ericameria,suffruticosa,,,,,polygonacea,,,,,,,,,,,,x,,,,
SH,ERICAMERIA,Ericameria,,,,,,,,,,,,,,,,,,,,,,
FB,ERIBRE,Erigeron,breweri,,,,,,,,,,,,,,,,,,,,,
FB,ERIBREBRE,Erigeron,breweri,,var breweri,,,,,,,,,,x,,,,,,,,,
FB,ERICOM,Erigeron,compositus,,,,,,,,,,,,,,,,,,,,,
FB,ERICOU,Erigeron,coulteri,,,,,,,,,,,,,,,,,,,,,
FB,ERIPER,Erigeron,peregrinus,,,,,,,,,,,,x,,,,,,,,,
FB,ERIGERON,Erigeron,,,,,,,,,,,,,,,,,,,,,,
FB,ERIUMB,Erigonum,umbellatum,,,,,polygonacea,,,,,,,,,,,,x,,,,
FB,ERICAL,Eriodictyon,californicum,,,,,,,x,,,,,,,,,,,,,,
FB,ERIBAL,Eriogonum,baileyi,,,,,polygonacea,,,,,,,,,,,,,,,,
FB,ERIDAV,Eriogonum,davidsonii,,,,,polygonacea,,,,,,,,,,,,x,,,,called eriogonumspp before
FB,ERIINC,Eriogonum,incanum,,,,,,,,,,,,,,,,,,,,,
FB,ERILOB,Eriogonum,lobbii,Torr. & A. Gray,,,,,,,,,,,,,,,,,,,,
SH,ERIMAR,Eriogonum,marifolium,Torr. & A. Gray,,,,,,,,,,,,,,,,,,,,
FB,ERINUD,Eriogonum,nudum,,,,,polygonacea,,,,,x,,,x,,,,x,x,,,
FB,ERISPE,Eriogonum,spergulinum,,,,,,,,,,,,,,,,,,,,,
FB,ERISPERED,Eriogonum,spergulinum,,var reddingianum,,,,,,,,,,x,,,,,,,,,
FB,ERIURS,Eriogonum,ursinum,,,,,polygonacea,,,,,x,,,,,,,,x,,,
FB,ERIWRI,Eriogonum,wrightii,,,,,polygonacea,,,,,,,,,,,,,x,,,
FB,ERIOGONUM,Eriogonum,,,,,,,,,,,,,,,,,,,,,,
FB,ERILAN,Eriophyllum,lanatum,(Pursh) Forbes,,,ERILAN,,,,,x,,,,,,x,,x,x,x,,called softaster2 early on.
FB,ERILANINT,Eriophyllum,lanatum,(Pursh) Forbes,var. integrifolium (Hook.) Smiley,,,,,,,,,,,,,,,,,,,
FB,EROBOT,Erodium,botrys,,,,,,,,,,,,,,x,,,,,,,
FB,ERYSPI,Eryngium,spinosepalum,,,,,,,,,,,,,,,,,,,,,
FB,ERYCAPCAP,Erysimum,capitatum,,var. capitatum,,,,,,,,,,,,,,,,,,,
FB,ERYCAPPER,Erysimum,capitatum,,ssp perenne,,,,,,,,,,x,,,,,,,,,
FB,ERYPER,Erysimum,perenne,,,,,,,,,,,,,,,,,x,,,,
FB,ERYCAP,Erysium,capitatum,(Douglas ex Hook.) Greene,,,,,,,,,,,,x,,,,,x,,,"thought to be cheiranthoides, but ID came to capitatum only"
FB,ERYBRE,Erythranthe,brewerii,,,,,,,,,,,,,,,,,,,,,
FB,ERYPRI,Erythranthe,primuloides,,,,,,,,,,,,,,,,,,,,,
FB,ERYTIL,Erythranthe,tilingii,,,,,,,,,,,,,,,,,,,,,
FB,ERYTH,Erythranthe,,,,,,,,,,,,,,,,,,,,,,
FB,EUPHORBIA,Euphorbia,,,,,,,,,,,,,,,,,,,,,,
GR,FESIDA,Festuca,idahoensis,Elmer,,,,,,,,,,,,,,,,,,,,
GR,FESMIC,Festuca,microstachys,,,,,,,,x,,,,,,,,,,,,,
GR,FESRUB,Festuca,rubra,,,,,,,,,,,,,,,,,,,,,
GR,FESTUCA,Festuca,,,,,,,,,,,,,,,,,,,,,,
FB,FRAVES,Fragaria,vesca,L.,,,,,,,,,,,,,,,,,,,,
FB,FRAGARIA,Fragaria,,,,,,,,,,,,,,,,,,,,,,
FB,FRAVIR,Fragaria ,virginiana ,,,,FRAVIR,,x,,,,x,,x,,,,,,,x,,called ROSP first few plots
FB,FRASPE,Frasera,speciosa,Douglas ex Griseb.,,,,,,,,,,,,,,,,,,,,
SH,FRADIP,Fraxinus,dipetala,,,,,,,,,,,,,x,,,,,,,,
TR,FRALAT,Fraxinus,latifolia,,,,,,,,,,,,,,x,,,,,,,
TR,FRAXVEL,Fraxinus,velutina,,,,,,,,,,,,,,,,,,,,,
TR,Fraxinus,Fraxinus,,,,,,,,,,,,,,,,,,,,,,
FB,FRIATR,Fritillaria,atropurpurea,,,,,,,,,,,,,,,,,,,,,
FB,FRITILLARIA,Fritillaria,species,,,,,,,,,,,,,,,,,,,x,,unknown
moss,FUNHYG,Funaria,hygrometrica,,,,,,,,,,,,,,,x,,,,,,
FB,GALAND,Galium,andrewsii,,,,,,,,,,,,,,,,,,,,,
FB,GALAPA,Galium,aparine,,,,GAAP,,,x,x,x,,x,,x,x,x,,,x,x,,prostrate and fully sticky
FB,GALBIF,Galium,bifolium,,,,,,,,,,,,,,,,,,,,,
FB,GALBOL,Galium,bolanderi,,,,,,x,x,,x,,,,x,,,,,,x,,
FB,GALCAL,Galium,californicum,,,,,,,,,,,,,,x,,,,,,,
FB,GALPORPOR,Galium,porrigens,,var porrigens,,,,,,,,,,,,x,,,,,,,
FB,GALPORTEN,Galium,porrigens,,var tenue,,,,,,,,,,,,x,,,,,,,
FB,GALSPA,Galium,sparsiflorum,,,,,,,,,,,x,,x,,,,,,,,
FB,GALTRI,Galium,trifidum,,,,,,x,,,,,,,,,,,,x,,,
FB,GALTRIFCOL,Galium,trifidum,,ssp. Columbianum,,,,,,,,,,,,,,,,,,,
FB,GALTRISUB,Galium,trifidum,,ssp. Subbiflorum,,,,,,,,,,,,,,,,,,,
FB,GALTRIFL,Galium,triflorum,,,,,,,,,,,,x,,,,,,,,,
FB,GALIUM,Galium,,,,,,,,,,,,,,,,,,,,x,,"like apartine, but not sticky"
FB,GAYDIF,Gayophytum,diffusum,,,,,,,,,,x,,x,,,x,,x,,,x,GAER might be this…..
FB,GAYERI,Gayophytum,eriospermum,,,,GAYERI,,,,,,,,,x,,,,,x,,,Called GASP early on
FB,GAYRAM,Gayophytum,ramosissimum,,,,,,,,,,,,,,,,,,,,,
FB,GAYOPHYTUM,Gayophytum,,,,,,,,,,,,,,,,,,,,,,
SH,GENMON,Genista,monspessulana,,,,,,,,,,,,,,x,,,,,,,
FB,GENNEW,Gentiana,newberryi,,,,,,,,,,,,,,,,,,,,,
FB,GERANIUM,Geranium,,,,,,,,,,,,,,,,,,,,,,
FB,GEUMAC,Geum,macrophyllum,,,,,,,,,,,,x,,,,,,,,,
FB,GEUM,Geum,,,,,,,,,,,,,,,,,,,,,,
FB,GILCAP,Gilia,capitata,,,,GILCAP,,,x,,,,,,,,x,,,,x,,Blue gilia
FB,GILLEP,Gilia,leptantha,,,,,,,,,,,,,,,,,,,,,
FB,GILTRI,Gilia,tricolor,,,,,,,,,,,,,,,,,,,,,
FB,GILIA,Gilia,,,,,,,,,,,,,,,,,,,,,,
GR,GLYELA,Glyceria,elata,,,,,,,,,,,,x,,,,,,,,,
GR,GLYCERIA,Glyceria,,,,,,,,,,,,,,,,,,,,,,
FB,GNAPAL,Gnaphalium,palustre,,,,,,,,,,,,,,,,,,,,,
FB,GNAPHALIUM,Gnaphalium,,,,,,,,,,,,,,,,,,,,,,
FB,GOOB,Goodyera,oblongifolia ,,,,GOOOBL,,x,x,,x,,,x,x,,,,,x,x,,
MOSS,GRINEV,Grimmia,nevadensis,,,,,,,,,,,,,,,,,,,,,
FB,HACBRE,Hackelia,brevicula,,,,,,,,,,,,,,,,,,,,,
FB,HACMIC,Hackelia,micrantha,,,,,,,,,,,,,,,,,,,,,
FB,HACVEL,Hackelia,velutina,,,,,,,,,,,,,,,,,,x,,,
FB,HACKELIA,Hackelia,,,,,,,,,,,,,,,,,,,,,,
FB,HEDHEL,Hedera,helix,,,,,,,,,,,x,,,x,,,,,,,
FB,HELCAL,Helianthella,californica,,,,,,,,,,,,,,,,,,x,,,
FB,HERLAN,Heracleum,lanatum,,,,,,,,,,,,x,,,,,,,,,
FB,HERACLEUM,Heracleum,,,,,,,,,,,,,,,,,,,,,,
TR,HETARB,Heteromeles,arbutifolia,,,,,,x,,x,,,x,,,x,,,,,,,
FB,HEUMIC,Heuchera,micrantha,,,,,,,,,,,,,,,,,,,,,
FB,HEURUB,Heuchera,rubescens,,,,,,,,,,,,x,,,,,,,,,
FB,HIEALB,Hieracium,albiflorum,,,,HIEALB,,,,,,x,,x,x,,x,,,x,x,,
FB,HIEHOR,Hieracium,hordium,,,,HIEHOR,,,,,,x,,,,,,,,,x,,
FB,HIESCO,Hieracium,scouleri,,,,,,,,,,,,,,,,,,,,,
FB,HIERACIUM,Hieracium,,,,,,,,,,,,,,,,,,,,,,
FB,HOITA,Hoita,,,,,,,,,,,,,,,,,,,,,,
FB,HOLHEE,Holocarpa ,heermannii,,,,,Asteraceae,,,,,x,,,,,,,,,,,
FB,HOLDIS,Holodiscus,discolor,,,,,,,,,,,,,,x,,,,,,,
GR,HORBRA,Hordeum,brachyantherum,,,,,,,,,,,,,,,,,,,,,
FB,HORCALELA,Horkelia,californica,,var elata,,,,,,,,,,,,x,,,,,,,
FB,HORFUS,Horkelia,fusca,,,,,,,,,,,,,x,,,,,,,,
FB,HORFUSPAR,Horkelia,fusca,,ssp. Parviflora,,,,,,,,,,,,,,,,,,,
FB,HORTRI,Horkelia,tritentata,,,,,,,,,,,,,,,,,,x,,,
FB,HORKELIA,Horkelia,,,,,,,,,,,,,,,,,,,,,,
FB,HOSCRACRA,Hosackia,crassifolia,,var. crassifolia,,,,,,,,,,,,,,,,,,,
FB,HYDCAP-ALP,Hydrophyllum,capitatum,,var. alpinum,,,,,,,,,,,,,,,,,,,
FB,HYPANA,Hypericum,anagalloides,,,,,,,,,,,,,,,,,,,,,
FB,HYPPER,Hypericum,perforatum,,,,,,x,x,,,,,,,x,,,,,,,
FB,HYPPERPER,Hypericum,perforatum,,ssp perforatum,,,,,x,,,,,,,,,,,,,,
SH,ILEAQU,Ilex,aquifolium,,,,,,,,,,,x,,,,,,,,,,
FB,IPOAGG,Ipomopsis,aggregata,,ssp formosissima,,,,,,,,,,x,,,,,,,,,
FB,IPOAGGFOR,Ipomopsis,aggregata,,ssp. Aggregata,,,,,,,,,,,,,,,,,,,
FB,IPOCON,Ipomopsis,congesta,,,,,,,,,,,,,,,,,,,,,
FB,IRIDOU,Iris,douglasiana,,,,,,,,,,,x,,,,,,,,,,
FB,IRIS,Iris,,,,,,,,,,,,,,,,,,,,,,
FB,IRIHAR,Iris ,hartwegii,,,,IRIHAR,,,x,,x,,,,,,x,,,x,x,,IRSP early on
GR,JUNARL,Juncus,arcticus,,,,,,,,,,,,,,,,,,,,,
GR,JUNEFF,Juncus,effusus,,,,,,,,,,,,,,,x,,,,,,
GR,JUNEFFPAC,Juncus,effusus,,subsp. Pacificus,,,,,,,,,,,,,,,,,,,
GR,JUNMAC,Juncus,macrandrus,,,,,,,,,,,,x,,,,,,,,,
GR,JUNNEV,Juncus,nevadensis,,,,,,,,,,,,,,,,,,,,,
GR,JUNOXY,Juncus,oxymeris,,,,,,,,,,,,,,,,,,,,,
GR,JUNPAR,Juncus,parryi,Engelm.,,,,,,,,,,,,,,,,,,,,
GR,JUNSAX,Juncus,saximontanus,,,,,,,,,,,,,,,,,,,,,
GR,JUNXIP,Juncus,xiphioides,,,,,,,,,,,,,,,,,,,,,
GR,JUNCUS,Juncus,,,,,,,,,,,,,,,,,,,,,,
TR,JUOC,Juniperus,occidentalis,Hook.,,,,,,,,,,,,,,,,,,,,
FB,KECBRE,Keckiella,breviflora,(Lindl.) Straw,,,,,,,,,,,,,,,,,,,,
FB,KECLEM,Keckiella,lemmonii,,,,,,,,,,,,,,,,,,,,,
FB,KELGAL,Kelloggia,galioides,,,,KELGAL,,,,,x,x,,x,x,,x,,,x,x,,
FB,LACSER,Lactuca,serriola,,,,,,,x,,x,,,,,x,x,,,,,,
FB,LACVIR,Lactuca,virosa,,,,,,,,,,,x,,,,,,,,,,
FB,LACTUCA,Lactuca,,,,,,,,,,,,,,,,,,,,,,
FB,LATNEV,Lathyrus,nevadensis,,,,LANE,,,x,,x,,,,,,x,x,,,x,,"notched leaves, called LAJE early on"
FB,LATNEVNEV,Lathyrus,nevadensis,,subsp. nevadensis,,,,,,,,,,,,,,,,,,,
FB,LATSUL,Lathyrus,sulphureus,,,,LASU,,,x,,x,,,,,,x,,,,x,,super large leaves with orange flowers. Trailing end.
FB,LATVES,Lathyrus,vestidus,,,,,,,,,,,,,,,,,,,,,
FB,LATHRYUS,Lathyrus,,,,,,,,,,,,,,,,,,,,,,
FB,LEPIDIUM,Lepidium,,,,,,,,,,,,,,,,,,,,,,
FB,LEPCIL,Leptosiphon,ciliatus,(Benth.) Jeps.,,,"LECI, LINCIL",Polemoniaceae,,,,,,,,x,,x,,,x,x,,
FB,LEPNUT,Leptosiphon,nuttallii,,,,,,,,,,,,,,,,,,,,,
FB,LEPTOSIPHON,Leptosiphon,,,,,,,,,,,,,,,,,,,,,,
FB,LESGLA,Lessingia,glandulifera,,,,,,,,,,,,,,,,,,,,,
FB,LESSINGIA,Lessingia,,,,,,,,,,,,,,,,,,,,,,
FB,LEUVUL,Leucanthemum,vulgare,,,,,,x,,,,,,,,,,,,,,,
FB,LIGGRA,Ligusticum,grayi,,,,,,,,,,,,,,,,,,x,,,
FB,LILPAR,Lilium,pardalinum,,,,,,,,,,,,,,,,,,,,,
FB,LILPARV,Lilium,parvum,,,,,,,,,,,,,,,,,,,,,
FB,LILWAS,Lilium,washingtonianum,,,,,,,,,,,,,,,,,,,,,
FB,LILIUM,Lilium,,,,,,,,,,,,,,,,,,,,,,
FB,LINDIC,Linanthus,dichotomus,Benth.,,,,,,,,,,,,,,,,,,,,
SH,LINPUN,Linanthus,pungens,(Torr.) J. M. Porter & L. A. Johnson,,,,,,,,,,,,,,,,x,,,,
FB,LINANTHUS,Linanthus,,,,,,,,,,,,,,,,,,,,,,
FB,LINDERNIA,Lindernia,,,,,,,,,,,,,,,,,,,,,,
FB,LISCON,Listera,convallariodes,,,,,,,,,,,,x,,,,,,,,,
FB,LOMDIS,Lomatium,dissectum,,,,,,,,,,,,,,,x,,,,,,
FB,LOMDISMUL,Lomatium,dissectum,,var multifidum,,,,,,,,,,x,,,,,,,,,
FB,LOMUTR,Lomatium,utriculatum,,,,,,,,,,,,,,,,,,x,,,
FB,LOMATIUM,Lomatium,,,,,,,,,,,,,,,,,,,,,,
FB,LONCON,Lonicera,conjugialis,,,,,,,,,,x,,x,,,,,,,,,
SH,LONHIS,Lonicera,hispidula,,,,,,x,,,,,x,,,x,,,,,,,
SH,LOIN,Lonicera,involucrata,,,,,,,,,,,,,,,,,,x,,,
SH,LONSUBDEN,Lonicera,subspicata,,var denuadata,,,,,,x,,,,,,,,,,,,,
SH,LONIC,Lonicera,,,,,,,,,,,,,,,,,,,,,,
FB,LOTCRA,Lotus,crassifolius,,,,,,,,,,,,,,,,,,,,,
FB,LOTMIC,Lotus,micranthus,,,,,,,,,,,,,,,,,,,,,
FB,LOOB,Lotus,oblongifolia ,,,,,,,,,,,,,,,,,,,,,
FB,LOTUS,Lotus,,,,,,,,,,,,,,,,,,,,,,
FB,LUPALC,Lupinus,albicaulis,,,,,,,,,,,,,,,,,,,x,,ACTUALLY LUALF!!! Spi9
FB,LUPALF,Lupinus,albifrons,,,,LUPALF,,,,,x,x,,,,,x,,,,x,,
FB,LUPAND,Lupinus,andersonii,,,,,,,,,,,,x,,,,,,,,,
FB,LUPARB,Lupinus,arbustus,,,,,,,,,,x,,,,,,,,x,,,
FB,LUPARG,Lupinus,argenteus,,,,,,,,,,,,,,,,,x,,,,ssp Heteranthus; originially called lupinenarrow
FB,LUPBRE,Lupinus,breweri,,,,,,,,,,x,,,,,x,,,,,,
FB,LUPDUR,Lupinus,duranii,Eastw.,,rare 1B.2,,,,,,,,,,,,,,,,,,
FB,LUPLAT,Lupinus,latifolius,,,,LUPLAT,,,,,,,,,x,,x,,,x,,,
FB,LUPLEP,Lupinus,lepidus,,,,,,,,,,,,x,,,,,x,,,,Originally called LUPBRE; ssp Confertus
FB,LUPOBU,Lupinus,obustus,,,,,,,,,,,,,,,,,x,,,,
FB,LUPPOL,Lupinus,polyphyllus,,,,,,,,,,,,,,,,,,,,,
FB,LUPPOLBUR,Lupinus,polyphyllus,,var burkei,,,,,,,,,,x,,,,,,,,,
FB,LUPINE,Lupinus,,,,,,,,,,,,,,,,,,,,,,
GR,LUZCOM,Luzula,comosa,,,,,,,,,x,,,,,,,,,x,x,,originally LUZULA
FB,LUZSUB,Luzula,subcongesta,,,,,,,,,,,,,,,,,,,,,
FB,LUZULA,Luzula,,,,,,,,,,,,,,,,,,,,,,
GR,LUZPAR,Luzula ,parviflora,,,,,,,,,,,x,x,,,,,,,,,
FB,LYSLAT,Lysimachia,latifolia,,,,,,x,x,,x,,,,,,,,,,,,
FB,MADCIT,Madia,citrigracilis,,,,,,,x,,,,,,,,,,,,,,
FB,MADELE,Madia,elegans,,,,,,,,,x,x,,,,,,,,,x,,"var vernalis?? Small and large growth form, this is the code for the small growth form"
FB,MADGLO,Madia,glomerata,,,,,,,,,,,,,,,,,,x,,,
FB,MADGRA,Madia,gracilis,,,,,,,,,x,,,,,,,,,,x,,large growth form
FB,MADIA,Madia,,,,,,,,,,,,,,,,,,,,,,
FB,MAIRAC,Maianthemum,racemosum,,,,MAIRAC,,,x,,x,,x,x,,,,,,x,x,,
FB,MAISTE,Maianthemum,stellatum,,,,,,,x,,,,x,x,x,,,,,,,,
FB,MAIANTHEMUM,Maianthemum,,,,,,,,,,,,,,,,,,,,,,
OTHER,MARCHANTIA,Marchantia,,,,,,,,,,,,,,,,,,,,,,
GR,MELARI,Melica,aristata,Thurb. ex Bol.,,,,,,,,,,,,,,,,,,,,
GR,MELBUL,Melica,bulbosa,,,,,,,,,,,,,,,,,,,,,
GR,MELCAL,Melica,californica,,,,,,,,,,,x,,,x,,,,,,,
GR,MELHAR,Melica,harfordii,Bol.,,,,,,,,,,,,,,,,,,,,
GR,MELIMP,Melica,imperfecta,,,,,,,,,,,,,,,,,,,,,
GR,MELICA,Melica,,,,,,,,,,,,,,,,,,,,,,
FB,MENARV,Mentha,arvensis,,,,,,,,,,,,,,,,,,,,,
FB,MENARV,Mentha,arvensis,,,,,,,,,,,,,,x,,,,,,,
FB,MENDIS,Mentzelia,dispersa,,,,,,,,,,,,,,,,,,,,,
FB,MENMON,Mentzelia,montana,,,,,,,,,,,,,,,,,,,,,
FB,MERCIL,Mertensia,ciliata,(James ex Torr.) G. Don,,,,,,,,,,,,,,,,,,,,
FB,MERTENSIA,Mertensia,,,,,,,,,,,,,,,,,,,,,,
FB,MICNUT,Microseris,nutans,,,,,,,,,,,,,,,,,,,,,
FB,MICROSERIS,Microseris,,,,,,,,,,,,,,,,,,,,,,
FB,MICGRA,Microsteris,gracilis,,,,,,,,,,,,,,,,,,,,,
FB,MIMAURAUR,Mimulus,aurantiacus,,aurantiacus,,,,,,,,,x,,,x,,,,,,,
FB,MIMGUT,Mimulus,guttatus,,,,,,,,,,,,x,,,x,,,,,,
FB,MIMLEW,Mimulus,lewisii,,,,,,,,,,,,x,,,,,,,,,
FB,MIMMOS,Mimulus,moschatus,,,,,,,,,,,,,,,,,,x,,,
FB,MIMNAN,Mimulus,nanus,,,,,,,,,,,,,,,,,x,,,,
FB,MIMTOR,Mimulus,torreyi,,,,,,,,,x,,,,,,,,x,x,x,,
FB,MIMULUS,Mimulus,,,,,,,,,,,,,,,,,,,,,,
FB,MITBRE,Mitella,breweri,A. Gray,,,,,,,,,,,,,,,,,,,,
FB,MITPAN,Mitella,pentandra,,,,,,,,,,,,x,,,,,,,,,
FB,MONGLA,Monardella,glauca,Greene,,,,,,,,,,,,,,,,,,,,
FB,MONLAN,Monardella,lanceolata,,,,,,,,,,,,,,,,,,x,,,
FB,MONODO,Monardella,odoratissima,,,,,,,,,,x,,,x,,,,,x,,,
FB,MONODOPAL,Monardella,odoratissima,,subsp. Pallida,,,,,,,,,,,,,,,,,,,
FB,MONVIL,Monardella,villosa,,,,,,,,,,,,,,x,,,,,,,
FB,MONARDELLA,Monardella,,,,,,,,,,,,,,,,,,,,,,
FB,MONCHA,Montia,chamissoi,,,,,,,,,,,,,,,,,,,,,
GR,MUHFIL,Muhlenbergia,filiformis,,,,,,,,,,,,,,,,,,,,,
GR,MUHJON,Muhlenbergia,jonesii,,,rare 4.3,,,,,,,,,,,,,,,,,,
GR,MUHRIC,Muhlenbergia,richardsonis,,,,,,,,,,,,,,,,,,,,,
GR,MUHLENBERGIA,Muhlenbergia,,,,,,,,,,,,,,,,,,,,,,
FB,MYOSOTIS,Myosotis,,,,,,,,,,,,,,,,,,,,,,
FB,NASOFF,Nasturtium,officinale,,,,,,,,,,,,,,,,,,,,,
FB,NAVINT,Navarretia,intertexta,,,,,,,,,,,,,,,,,,,,,
FB,NAVLEP,Navarretia,leptalea,,,,,,,,,,,,,,,,,,,,,
FB,NAVAR,Navarretia,,,,,,,,,,,,,,,,,,,,,,
FB,NEMPED,Nemophila,pedunculata,,,,,,,,,,,,x,,,,,,,,,
TR,NODE,Notholicarpos,densiflorus,,,,,,x,x,,,,x,,,,,,,,,,
TR,OLEEUR,Olea,europea,,,,,,,,,,,,,,x,,,,,,,
FB,OROFAS,Orobanche,fasciculata,Nutt.,,,,,,,,,,,,,,,,,,,,
FB,ORTSEC,Orthilia,secunda,,,,,,,,,,,,x,,,,,,,,,
FB,OSMBER,Osmorhiza,berteroi,,,,OSBE,,,,,x,,,,,x,x,,,x,x,,
FB,OSMCHI,Osmorhiza,chilensis,,,,,,x,,,,,x,x,,,,,,,,,
FB,OSMOCC,Osmorhiza,occidentalis,,,,OSMOCC,,,,,,,,x,,,,,,x,x,,narrow leaves compared to OSBE
FB,OXAORE,Oxalis,oregana,,,,,,,,,,,x,,,,,,,,,,
FB,PAEONIA,Paeonia,,,,,,,,,,,,,,,,,,,,,,
FB,PEDATT,Pedicularis,attollens,,,,,,,,,,,,,,,,,,,,,
FB,PEDDEN,Pedicularis,densiflora,,,,,,,,,,,,,,x,,,,,,,
FB,PEDSEM,Pedicularis ,semibarbata,,,,PEDSEM,,,,,,,,x,,,,,,x,,,
FB,PELBRI,Pellaea,bridgesii,,,,,,,,,,,,,,,,,,,,,
FB,PELMUC,Pellaea,mucronata,,,,,,,,,,,,,,,,,,,,,
FB,PENAZU,Penstemon,azureus,,,,,,,,,,,,,,,,,,,,,
FB,PENDEUPED,Penstemon,deustus,,var. pedicellatus,,,,,,,,,,,,,,,,,,,
FB,PENLAE,Penstemon,laetus,,,,,,x,,,,,,,,,,,,,,,
FB,PENLAELAE,Penstemon,laetus,,var laetus,,,,,x,,,,,,,,,,,,,,
FB,PENNEO,Penstemon,neotericus ,,,,,,,,,,x,,,,,,,,,,,
FB,PENNEW,Penstemon,newberryi,,,,,,,,,,,,x,,,,,,,,,
FB,PENPAR,Penstemon,parvulus,,,,,,,,,,x,,,,,,,,x,,,maybe azure
FB,PENPAT,Penstemon,patens,,,,,,,,,,,,,,,,,,,,,
FB,PENROS,Penstemon,rostriflorus,,,,,,,,,,x,,,,,,,,,,,CHECK!!!!
FB,PENRYD,Penstemon,rydbergii,,,,,,,,,,,,,,,,,,,,,
FB,PENSPE,Penstemon,speciosus,,,,,Plantaginaceae,,,,,x,,,,,,,x,,,,originially called penst
FB,PENSTAMON,Penstemon,,,,,,,,,,,,,,,,,,,,,,
FERN,PENTRI,Pentagramma,triangularis,,,,,,x,,x,,,x,,,x,,,,,,,
FB,PERBOL,Perideridia,bolanderi,,,,,,,,,,,,,,,,,,,,,
FB,PERLEM,Perideridia,lemmonii,,,,,,,,,,,,,,,,,,,,,
FB,PERPAR,Perideridia,parishii,,,,,,,,,,,,x,,,x,,,,,,
FB,PERIDERIDIA,Perideridia,,,,,,,,,,,,,,,,,,,,,,
FB,PHABOL,Phacelia,bolanderi,,,,,,x,,,,x,,,,,,,,,,,
FB,PHEG,Phacelia,egena,,,,,,,,,,,,,,,,,,,x,,
FB,PHAHAS,Phacelia,hastata,,,,,,,,,,x,,,,,,,x,,,,
FB,PHAHET,Phacelia,heterophylla,,,,,,,x,,,x,,,x,,,,,,,,
FB,PHAHUM,Phacelia,humilis,,,,,,,,,,,,,,,,,,,,,
FB,PHAHYD,Phacelia,hydrophylloides,,,,PHAHYD,,,,,,x,,x,,,,,,x,,,
FB,PHAMAL,Phacelia,malvifolia,,,,,,,,,,,x,,,,,,,,,,
FB,PHAMON,Phacelia,monoensis,Halse,,,,,,,,,,,,,,,,,,,,
FB,PHAMUT,Phacelia,mutabilis,,,,,,,,,x,,,x,x,,,,,,,,
FB,PHARAM,Phacelia,ramosissima,,,,,,,,,,,,x,,,,,,,,,
FB,PHACELIA,Phacelia,,,,,,,,,,,,,,,,,,,,,,
FB,PHABOL,Phalacroseris,bolanderi,,,,,,,,,,,,,,,,,x,x,,,
GR,PHAAQU,Phalaris,aquatica,,,,,,,,,,,,,,x,,,,,,,
SH,PHILEW,Philadelpis,lewisii,,,,,,x,,,,,,,,,,,,,,,
GR,PHLPRA,Phleum,pratens,,,,,,,,,,,,,,,,,,,,,
GR,PHLEUM,Phleum,,,,,,,,,,,,,,,,,,,,,,
FB,PHLDIF,Phlox ,diffusa,,,,,,,,,,,,,,,,,,x,,,
FB,PHLGRA,Phlox ,gracilis,,,,PHLGRA,,,,,,,,,,,x,,,x,,,
TR,PIAL,Pinus,albicaulis,,,,,Pinaceae,,,,,,,,,,,,,,,,
TR,PICO,Pinus,contorta,,,,,Pinaceae,,,,,x,,X,,,,,x,,,,
TR,PIJE,Pinus,jeffreyi,,,,,Pinaceae,,,,x,x,,X,x,,,,x,x,,x,
TR,PILA,Pinus,lambertiana,,,,,Pinaceae,x,x,,x,x,,,x,,x,,,x,x,x,
TR,PIPO,Pinus,ponderosa,,,,,Pinaceae,x,x,x,x,,,,x,,x,,,x,x,x,
TR,PIPOW,Pinus,ponderosa,,var. washoensis,,,,,,,,,,,,,,,,,,,
TR,PIRA,Pinus,radiata,,,,,,,,,,,,,,x,,,,,,,
TR,PISA,Pinus,sabiniana,,,,,,,,x,,,,,,,,,,,,,
TR,PINUS,Pinus,,,,,,,,,,,,,,,,,,,,,,
TR,PIMONO,Pinus ,monophylla,,,,,,,,,,,,,,,,,,,,,
TR,PIMO,Pinus ,monticola,,,,,Pinaceae,,,,,,,x,,,,,,x,,,
FB,PIPTRA,Pipera,transversa,,,,,,,,,,,,,,,,,,x,x,,
FB,PIPELO,Piperia,elongata,,,,,,,,,,,,,,x,,,,,,,
FB,PLAGIO,Plagiobothrys,torreyi,,,,,,,,,,,,,,,,,,x,,,
FB,PLAGIO,Plagiobothrys,,,,,,,,,,,,,,,,,,,,,,
FB,PLAERE,Plantago,erecta,,,,,,,,,,,,,,,,,,,,,
FB,PLALAN,Plantago,lanceolata,,,,,,,,,x,,,,,,x,,,,,,
FB,PLALEU,Platanthera,leucostachys,,,,,,,,,,,,x,,,,,,,,,
GR,POABUL,Poa,bulbosa,,,,,,,,,,,,,,,,,,,,,
GR,POALEP,Poa,leptocoma,,,,,,,,,,,,,,,,,,,,,
GR,POALEPLEP,Poa,leptocoma,,leptocoma,,,,,,,,,,x,,,,,,,,,
GR,POAPRA,Poa,pratensis,L.,,,,,,,,,,,,,,,,,,,,
