site,plotid,tag,status,species,dbh,ht,ht2crown,ht2deadcr,crownclass,crownwidth,bolechar,health,stumpdbh,stumpht,decay,scorch_ht,scorch,torch_ht,torch,resprout,notes
springsfire,springs4,,stump,pije,,,,,,,,,20,0.23,4,,,,,,
springsfire,springs4,,stump,pije,,,,,,,,,97,0.44,3,,,,,,
springsfire,springs5,31,live,pije,65.3,18.6,5.1,,CO,2.5,,,,,,,,,,,hadnt started collecting ladder fuels or live score yet
springsfire,springs5,,stump,pije,,,,,,,,,19.5,0.27,3,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,56,0.49,2,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,38,0.65,2,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,9,0.24,2,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,11,0.31,2,,,,,,
springsfire,springs5,32,live,pije,64.3,18,5.4,,CO,5,,,,,,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,19,0.4,1,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,16,0.41,1,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,11,0.31,1,,,,,,
springsfire,springs5,33,live,pije,45.9,11.9,4,,,2.5,1.05,,,,,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,11,0.28,4,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,10,0.24,3,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,12,0.29,3,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,15,0.3,2,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,14,0.3,3,,,,,,
springsfire,springs5,34,live,pije,68.6,22.2,5.2,,DO,3,4.5,,,,,,,,,,
springsfire,springs5,35,live,pije,50.3,17.3,5.5,,CO,4,2,,,,,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,30,0.46,2,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,12,0.2,3,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,14,0.17,3,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,12,0.25,3,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,10,0.26,3,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,22,0.2,5,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,10,0.27,4,,,,,,
springsfire,springs6,36,live,pico,13.3,8,2,,IN,0.85,,,,,,,,,,,
