site,year,plot_id,species_id,status,lifeform,layercode,percent,
springsfire,2019,springs1,araret,live,FB,,tr,
springsfire,2019,springs1,artr,live,SH,SM,5,
springsfire,2019,springs1,artr,live,SH,SL,10,
springsfire,2019,springs1,elci,live,GR,,tr,
springsfire,2019,springs1,elel,live,GR,,tr,
springsfire,2019,springs1,gaydif,live,FB,,tr,
springsfire,2019,springs1,leppun,live,SH,SL,tr,
springsfire,2019,springs1,luparg,live,FB,,tr,
springsfire,2019,springs1,penspe,live,FB,,tr,
springsfire,2019,springs1,pije,live,TR,TOV,26,
springsfire,2019,springs1,pije,live,TR,TSE,tr,
springsfire,2019,springs1,putr,live,SH,SM,5,
springsfire,2019,springs1,putr,live,SH,SL,8,
springsfire,2019,springs1,putr,dead,SH,SL,tr,
springsfire,2019,springs1,putr,dead,SH,SM,tr,
springsfire,2019,springs1,steten,live,FB,,tr,
springsfire,2019,springs2,araret,live,FB,,tr,
springsfire,2019,springs2,araret,live,FB,,tr,
springsfire,2019,springs2,artr,live,SH,SL,tr,
springsfire,2019,springs2,elci,live,GR,,tr,
springsfire,2019,springs2,elel,live,GR,,tr,
springsfire,2019,springs2,gaydif,live,FB,,tr,
springsfire,2019,springs2,leppun,live,SH,SL,1,
springsfire,2019,springs2,luparg,live,FB,,1,
springsfire,2019,springs2,lupobu,live,FB,,tr,
springsfire,2019,springs2,pije,live,TR,TOV,20,
springsfire,2019,springs2,pije,live,TR,TSA,0.5,
springsfire,2019,springs2,pije,live,TR,TSE,tr,
springsfire,2019,springs2,putr,live,SH,SL,15,
springsfire,2019,springs2,putr,live,SH,SM,10,
springsfire,2019,springs2,putr,dead,SH,SL,1,
springsfire,2019,springs2,steten,live,FB,,tr,
springsfire,2019,springs3,araret,live,FB,,tr,
springsfire,2019,springs3,araret,live,FB,,tr,
springsfire,2019,springs3,artr,live,SH,SL,tr,
springsfire,2019,springs3,artr,live,SH,SM,tr,
springsfire,2019,springs3,elci,live,GR,,tr,
springsfire,2019,springs3,elel,live,GR,,tr,
springsfire,2019,springs3,gaydif,live,FB,,tr,
springsfire,2019,springs3,leppun,live,SH,SL,tr,
springsfire,2019,springs3,luparg,live,FB,,tr,
springsfire,2019,springs3,pije,live,TR,TOV,40,
springsfire,2019,springs3,pije,live,TR,TSE,tr,
springsfire,2019,springs3,putr,live,SH,SL,20,
springsfire,2019,springs3,putr,live,SH,SM,15,
springsfire,2019,springs3,putr,dead,SH,SL,tr,
springsfire,2019,springs3,steten,live,FB,,tr,
springsfire,2019,springs4,elci,live,GR,,tr,
springsfire,2019,springs4,elel,live,GR,,tr,
springsfire,2019,springs4,gaydif,live,FB,,tr,
springsfire,2019,springs4,leppun,live,SH,SL,tr,
springsfire,2019,springs4,phahas,live,FB,,tr,
springsfire,2019,springs4,pije,live,TR,TOV,6,
springsfire,2019,springs4,pije,live,TR,TSE,tr,
springsfire,2019,springs4,putr,live,SH,SL,10,
springsfire,2019,springs4,putr,live,SH,SM,9,
springsfire,2019,springs4,putr,dead,SH,SL,tr,
springsfire,2019,springs4,rice,live,SH,SL,tr,
springsfire,2019,springs4,rice,live,SH,SM,tr,
springsfire,2019,springs5,araret,live,FB,,tr,
springsfire,2019,springs5,boragespp,live,FB,,tr,
springsfire,2019,springs5,elci,live,GR,,tr,
springsfire,2019,springs5,elel,live,GR,,tr,
springsfire,2019,springs5,eridav,live,FB,,tr,
springsfire,2019,springs5,gaydif,live,FB,,tr,
springsfire,2019,springs5,pije,live,TR,TOV,30,
springsfire,2019,springs5,pije,live,TR,TSE,tr,
springsfire,2019,springs5,putr,live,SH,SL,15,
springsfire,2019,springs5,putr,live,SH,SM,14,
springsfire,2019,springs5,putr,dead,SH,SL,tr,
springsfire,2019,springs6,calumb,live,FB,,tr,
springsfire,2019,springs6,elci,live,GR,,tr,
springsfire,2019,springs6,elel,live,GR,,tr,
springsfire,2019,springs6,eridis,live,SH,SL,tr,
springsfire,2019,springs6,gaydif,live,FB,,tr,
springsfire,2019,springs6,gayophytum,live,FB,,tr,
springsfire,2019,springs6,leppun,live,SH,SL,tr,
springsfire,2019,springs6,mimnan,live,FB,,tr,
springsfire,2019,springs6,phahas,live,FB,,tr,
springsfire,2019,springs6,pico,live,TR,TOV,41,
springsfire,2019,springs6,pico,live,TR,TSE,tr,
springsfire,2019,springs6,pico,dead,TR,TOV,tr,
springsfire,2019,springs6,pico,live,TR,TSA,1,
springsfire,2019,springs6,pije,live,TR,TSE,tr,
springsfire,2019,springs6,putr,live,SH,SL,12,
springsfire,2019,springs6,putr,live,SH,SM,tr,
springsfire,2019,springs6,putr,dead,SH,SL,tr,
springsfire,2019,springs7,araret,live,FB,,tr,
springsfire,2019,springs7,elci,live,GR,,tr,
springsfire,2019,springs7,elel,live,GR,,2,
springsfire,2019,springs7,gaydif,live,FB,,tr,
springsfire,2019,springs7,leppun,live,SH,SL,tr,
springsfire,2019,springs7,phahas,live,FB,,tr,
springsfire,2019,springs7,pico,live,TR,TSE,1,
springsfire,2019,springs7,pico,live,TR,TSA,tr,
springsfire,2019,springs7,pico,live,TR,TOV,30,
springsfire,2019,springs7,pico,dead,tr,TOV,,
springsfire,2019,springs7,putr,live,SH,SL,tr,
springsfire,2019,springs8,araret,live,FB,,tr,
springsfire,2019,springs8,artr,live,SH,SL,tr,
springsfire,2019,springs8,artr,live,SH,SM,tr,
springsfire,2019,springs8,elci,live,GR,,tr,
springsfire,2019,springs8,elel,live,GR,,1,
springsfire,2019,springs8,eridis,live,SH,SL,tr,
