site,year,plot_id,species_id,status,lifeform,layercode,percent,
springsfire,2019,springs8,eriumb,live,FB,,tr,
springsfire,2019,springs8,gaydif,live,FB,,tr,
springsfire,2019,springs8,leppun,live,SH,SL,tr,
springsfire,2019,springs8,phahas,live,FB,,tr,
springsfire,2019,springs8,pico,live,TR,TSE,tr,
springsfire,2019,springs8,pico,live,TR,TSA,1,
springsfire,2019,springs8,pico,live,TR,TOV,35,
springsfire,2019,springs8,pije,live,TR,TOV,tr,
springsfire,2019,springs8,pije,live,TR,TSA,tr,
springsfire,2019,springs8,putr,live,SH,SL,7,
springsfire,2019,springs8,putr,live,SH,SM,5,
springsfire,2019,springs8,steten,live,FB,,tr,
springsfire,2019,springs9,araret,live,FB,,tr,
springsfire,2019,springs9,calumb,live,FB,,tr,
springsfire,2019,springs9,elci,live,GR,,tr,
springsfire,2019,springs9,elel,live,GR,,tr,
springsfire,2019,springs9,eridis,live,SH,SL,tr,
springsfire,2019,springs9,eriumb,live,FB,,tr,
springsfire,2019,springs9,gaydif,live,FB,,tr,
springsfire,2019,springs9,leppun,live,SH,SL,tr,
springsfire,2019,springs9,luparg,live,FB,,tr,
springsfire,2019,springs9,luplep,live,FB,,tr,
springsfire,2019,springs9,phahas,live,FB,,tr,
springsfire,2019,springs9,pico,live,TR,TOV,24,
springsfire,2019,springs9,pico,live,TR,TSA,tr,
springsfire,2019,springs9,pico,dead,TR,TOV,tr,
springsfire,2019,springs9,pico,live,TR,TSE,tr,
springsfire,2019,springs9,putr,live,SH,SL,7,
springsfire,2019,springs9,putr,live,SH,SM,6,
springsfire,2019,springs9,putr,dead,SH,SL,1,
springsfire,2019,springs9,putr,dead,SH,SM,tr,
springsfire,2019,springs10,calumb ,live,FB,,tr,
springsfire,2019,springs10,elci,live,GR,,tr,
springsfire,2019,springs10,elel,live,GR,,tr,
springsfire,2019,springs10,gaydif,live,FB,,tr,
springsfire,2019,springs10,leppun,live,SH,SL,tr,
springsfire,2019,springs10,pico,live,TR,TSE,tr,
springsfire,2019,springs10,pico,live,TR,TOV,48,
springsfire,2019,springs10,pico,live,TR,TSA,tr,
springsfire,2019,springs10,pije,live,TR,TOV,2,
springsfire,2019,springs10,putr,live,SH,SL,4.5,
springsfire,2019,springs10,putr,live,SH,SM,4.5,
springsfire,2019,springs10,putr,dead,SH,SL,tr,
springsfire,2019,springs10,rice,live,SH,SL,0.5,
springsfire,2019,springs10,rice,live,SH,SM,0.5,
springsfire,2019,springs11,arapla,live,FB,,tr,
springsfire,2019,springs11,araret,live,FB,,tr,
springsfire,2019,springs11,elmu,live,GR,,tr,
springsfire,2019,springs11,elci,live,GR,,1.5,
springsfire,2019,springs11,elel,live,GR,,2,
springsfire,2019,springs11,erinud,live,FB,,tr,
springsfire,2019,springs11,erisuf,live,SH,SL,tr,
springsfire,2019,springs11,gaydif,live,FB,,tr,
springsfire,2019,springs11,gayophytum,live,FB,,tr,
springsfire,2019,springs11,leppun,live,SH,SL,0.5,
springsfire,2019,springs11,luparg,live,FB,,11,
springsfire,2019,springs11,luplep,live,FB,,tr,
springsfire,2019,springs11,lupobu,live,FB,,tr,
springsfire,2019,springs11,phahas,live,FB,,tr,
springsfire,2019,springs11,pije,live,TR,TOV,32,
springsfire,2019,springs11,pije,live,TR,TSE,tr,
springsfire,2019,springs11,putr,live,SH,SL,2,
springsfire,2019,springs11,putr,live,SH,SM,2,
springsfire,2019,springs11,steten,live,FB,,tr,
springsfire,2019,springs12,antros,live,FB,,tr,
springsfire,2019,springs12,arapla,live,FB,,tr,
springsfire,2019,springs12,araret,live,FB,,tr,
springsfire,2019,springs12,casapp,live,FB,,tr,
springsfire,2019,springs12,elci,live,GR,,2,
springsfire,2019,springs12,elel,live,GR,,1,
springsfire,2019,springs12,erinud,live,FB,,tr,
springsfire,2019,springs12,erisuf,live,SH,SL,tr,
springsfire,2019,springs12,erla,live,FB,,tr,
springsfire,2019,springs12,gaydif,live,FB,,tr,
springsfire,2019,springs12,leppun,live,SH,SL,0.5,
springsfire,2019,springs12,luparg,live,FB,,12,
springsfire,2019,springs12,luplep,live,FB,,tr,
springsfire,2019,springs12,penspe,live,FB,,tr,
springsfire,2019,springs12,phahas,live,FB,,tr,
springsfire,2019,springs12,pije,live,TR,TOV,20,
springsfire,2019,springs12,pije,live,TR,TSE,tr,
springsfire,2019,springs12,putr,live,SH,SL,2.5,
springsfire,2019,springs12,putr,live,SH,SM,1,
springsfire,2019,springs12,rice,live,SH,SL,tr,
springsfire,2019,springs12,rice,live,SH,SM,tr,
springsfire,2019,springs12,steten,live,FB,,tr,
springsfire,2019,springs13,artr,live,SH,SL,,
springsfire,2019,springs13,artr,live,SH,SM,,
springsfire,2019,springs13,elci,live,GR,,1,
springsfire,2019,springs13,elel,live,GR,,0.5,
springsfire,2019,springs13,gaydif,live,FB,,tr,
springsfire,2019,springs13,leppun,live,SH,SL,tr,
springsfire,2019,springs13,luparg,live,FB,,15,
springsfire,2019,springs13,luplep,live,FB,,tr,
springsfire,2019,springs13,lupobu,live,FB,,tr,
springsfire,2019,springs13,phahas,live,FB,,tr,
springsfire,2019,springs13,pije,live,TR,TOV,12,
springsfire,2019,springs13,pije,live,TR,TSA,tr,
springsfire,2019,springs13,pije,live,TR,TSE,tr,
springsfire,2019,springs13,putr,live,SH,SL,1.5,
springsfire,2019,springs13,putr,live,SH,SM,1,
springsfire,2019,springs13,rice,live,SH,SL,1,
springsfire,2019,springs13,rice,live,SH,SM,1,
springsfire,2019,springs13,steten,live,FB,,tr,
springsfire,2019,springs13,gayophytum,live,FB,,tr,
springsfire,2019,springs14,araret,live,FB,,tr,
springsfire,2019,springs14,artr,live,SH,SL,tr,
springsfire,2019,springs14,artr,live,SH,SM,tr,
springsfire,2019,springs14,elci,live,GR,,1,
springsfire,2019,springs14,elel,live,GR,,tr,
springsfire,2019,springs14,erinud,live,FB,,tr,
springsfire,2019,springs14,erisuf,live,SH,SL,tr,
springsfire,2019,springs14,eryper,live,FB,,tr,
springsfire,2019,springs14,gaydif,live,FB,,tr,
springsfire,2019,springs14,leppun,live,SH,SL,tr,
springsfire,2019,springs14,leppun,dead,SH,SL,tr,
springsfire,2019,springs14,luparg ,live,FB,,1,
springsfire,2019,springs14,luplep,live,FB,,tr,
springsfire,2019,springs14,lupobu,live,FB,,tr,
springsfire,2019,springs14,penspe,live,FB,,tr,
springsfire,2019,springs14,phahas,live,FB,,tr,
springsfire,2019,springs14,pije,live,TR,TOV,32,
springsfire,2019,springs14,pije,live,TR,TSE,tr,
springsfire,2019,springs14,putr,live,SH,SL,1.5,
springsfire,2019,springs14,putr,live,SH,SM,0.5,
springsfire,2019,springs14,steten,live,FB,,tr,
springsfire,2019,springs15,araret,live,FB,,tr,
springsfire,2019,springs15,elci,live,GR,,tr,"START WITH ALL TREE SPP,"
springsfire,2019,springs15,elel,live,GR,,,
springsfire,2019,springs15,gaydif,live,FB,,tr,THEN SHRUBS
springsfire,2019,springs15,leppun,live,SH,SL,tr,
springsfire,2019,springs15,phahas,live,FB,,tr,
springsfire,2019,springs15,pico,live,TR,TSE,tr,
springsfire,2019,springs15,pije,live,TR,TOV,15,
springsfire,2019,springs15,pije,live,TR,TSE,tr,
springsfire,2019,springs15,putr,live,SH,SL,23,THEN FORBS
springsfire,2019,springs15,putr,live,SH,SM,15,THEN GAMINOIDS.
springsfire,2019,springs15,putr,dead,SH,SL,tr,
springsfire,2019,springs16,artr,live,SH,SL,4,
springsfire,2019,springs16,artr,live,SH,SM,2,
springsfire,2019,springs16,elci,live,GR,,tr,
springsfire,2019,springs16,elel,live,GR,,tr,
springsfire,2019,springs16,gaydif,live,FB,,tr,
springsfire,2019,springs16,gaydif,dead,FB,,tr,
springsfire,2019,springs16,leppun,live,SH,SL,1,
springsfire,2019,springs16,luplep,live,FB,,tr,
springsfire,2019,springs16,pije,live,TR,TSE,tr,
springsfire,2019,springs16,pije,live,TR,TOV,25,
springsfire,2019,springs16,putr,live,SH,SL,4,
springsfire,2019,springs16,putr,live,SH,SM,2,
springsfire,2019,springs17,araret,live,FB,,tr,
springsfire,2019,springs17,artr,live,SH,SL,0.5,
springsfire,2019,springs17,artr,live,SH,SM,0.2,
springsfire,2019,springs17,elci,live,GR,,tr,
springsfire,2019,springs17,elel,live,GR,,tr,
springsfire,2019,springs17,gaydif,live,FB,,tr,
springsfire,2019,springs17,luparg ,live,FB,,tr,
springsfire,2019,springs17,luplep,live,FB,,tr,
springsfire,2019,springs17,leppun,live,SH,SL,tr,
springsfire,2019,springs17,phahas,live,FB,,tr,
springsfire,2019,springs17,pico,live,TR,TSE,tr,
springsfire,2019,springs17,pije,live,TR,TOV,20,
springsfire,2019,springs17,pije,live,TR,TSE,tr,
springsfire,2019,springs17,putr,live,SH,SL,1.5,
springsfire,2019,springs17,putr,live,SH,SM,0.5,
springsfire,2019,springs17,steten,live,FB,,tr,
springsfire,2019,springs18,araret,live,FB,,tr,
springsfire,2019,springs18,elci,live,GR,,tr,
springsfire,2019,springs18,elel,live,GR,,tr,
springsfire,2019,springs18,erisuf,live,SH,SL,0.5,
springsfire,2019,springs18,erisuf,live,SH,SM,tr,
springsfire,2019,springs18,gaydif,live,FB,,tr,
springsfire,2019,springs18,leppun,live,SH,SL,0.5,
springsfire,2019,springs18,leppun,dead,SH,SL,tr,
springsfire,2019,springs18,luparg ,live,FB,,0.5,
springsfire,2019,springs18,penspe,live,FB,,tr,
springsfire,2019,springs18,pije,live,TR,TSE,tr,
springsfire,2019,springs18,pije,live,TR,TOV,35,
springsfire,2019,springs18,putr,live,SH,SL,20,
springsfire,2019,springs18,putr,live,SH,SM,5,
springsfire,2019,springs18,putr,dead,SH,SL,tr,
springsfire,2019,springs18,steten,live,FB,,tr,
springsfire,2019,springs19,coltor,dead,FB,,tr,
springsfire,2019,springs19,elci,live,GR,,tr,
springsfire,2019,springs19,elel,live,GR,,tr,
springsfire,2019,springs19,gaydif,live,FB,,tr,
springsfire,2019,springs19,gaydif,dead,FB,,tr,
springsfire,2019,springs19,grass19,live,GR,,tr,
springsfire,2019,springs19,mimnan,live,FB,,tr,
springsfire,2019,springs19,penspe,live,FB,,tr,
springsfire,2019,springs19,phahas,live,FB,,tr,
springsfire,2019,springs19,pico,live,TR,TSE,tr,
springsfire,2019,springs19,pije,live,TR,TOV,24,
springsfire,2019,springs19,putr,live,SH,SL,11,
springsfire,2019,springs19,putr,live,SH,SM,5,
springsfire,2019,springs19,steten,live,FB,,tr,
springsfire,2019,springs19,stevir,live,FB,,tr,
springsfire,2019,springs20,araret,dead,FB,,tr,
springsfire,2019,springs20,elci,live,GR,,tr,
springsfire,2019,springs20,elel,live,GR,,tr,
springsfire,2019,springs20,gaydif,live,FB,,tr,
springsfire,2019,springs20,leppun,live,SH,SL,tr,
springsfire,2019,springs20,luparg ,live,FB,,tr,
springsfire,2019,springs20,pico,live,TR,TSE,tr,
springsfire,2019,springs20,pije,live,TR,TOV,15,
springsfire,2019,springs20,pije,live,TR,TSE,tr,
springsfire,2019,springs20,putr,live,SH,SL,7,
springsfire,2019,springs20,putr,live,SH,SM,4,
springsfire,2019,springs21,araret,live,FB,,tr,
springsfire,2019,springs21,elci,live,GR,,tr,
springsfire,2019,springs21,elel,live,GR,,tr,
springsfire,2019,springs21,erisuf,live,SH,SL,tr,
springsfire,2019,springs21,gaydif,live,FB,,tr,
springsfire,2019,springs21,pije,live,TR,TOV,30,
springsfire,2019,springs21,pije,live,TR,TSE,tr,
springsfire,2019,springs21,putr,live,SH,SL,7,
springsfire,2019,springs21,putr,live,SH,SM,3,
springsfire,2019,springs22,araret,live,FB,,tr,
springsfire,2019,springs22,artr,live,SH,SL,2.5,
springsfire,2019,springs22,artr,live,SH,SM,2.5,
springsfire,2019,springs22,elci,live,GR,,0.5,
springsfire,2019,springs22,elel,live,GR,,tr,
springsfire,2019,springs22,erisuf,live,SH,SL,tr,
springsfire,2019,springs22,erisuf,live,SH,SM,tr,
springsfire,2019,springs22,gaydif,live,FB,,tr,
springsfire,2019,springs22,leppun,live,SH,SL,tr,
springsfire,2019,springs22,luparg,live,FB,,1,
springsfire,2019,springs22,penspe,live,FB,,tr,
springsfire,2019,springs22,phahas,live,FB,,tr,
springsfire,2019,springs22,pije,live,TR,TOV,20,
springsfire,2019,springs22,pije,live,TR,TSE,tr,
springsfire,2019,springs22,putr,live,SH,SL,1.5,
springsfire,2019,springs22,putr,live,SH,SM,0.5,
springsfire,2019,springs22,putr,dead,SH,SL,tr,
springsfire,2019,springs22,steten,live,FB,,tr,
springsfire,2019,springs23,araret,live,FB,,tr,
springsfire,2019,springs23,arasuf,live,FB,,tr,
springsfire,2019,springs23,artr,live,SH,SL,10,
springsfire,2019,springs23,artr,live,SH,SM,5,
springsfire,2019,springs23,artr,dead,SH,SL,tr,
springsfire,2019,springs23,baglemushroom,live,OTHER,,tr,
springsfire,2019,springs23,elmu,live,GR,,tr,
springsfire,2019,springs23,elci,live,GR,,0.1,
springsfire,2019,springs23,elel,live,GR,,0.4,
springsfire,2019,springs23,eridis,live,SH,SL,tr,
springsfire,2019,springs23,gaydif,live,FB,,tr,
springsfire,2019,springs23,gayophytumspp,live,FB,,tr,
springsfire,2019,springs23,grass19,live,GR,,tr,
springsfire,2019,springs23,leppun,live,SH,SL,tr,
springsfire,2019,springs23,phahas,live,FB,,tr,
springsfire,2019,springs23,pije,live,TR,TOV,30,
springsfire,2019,springs23,pije,live,TR,TSE,tr,
springsfire,2019,springs23,putr,live,SH,SL,2,
springsfire,2019,springs23,putr,live,SH,SM,1,
springsfire,2019,springs23,steten,live,FB,,tr,
springsfire,2019,springs24,araret,live,FB,,tr,
springsfire,2019,springs24,arasuf,live,FB,,tr,
springsfire,2019,springs24,artr,live,SH,SL,1,
springsfire,2019,springs24,artr,live,SH,SM,1,
springsfire,2019,springs24,baglemushroom,live,OTHER,,tr,
springsfire,2019,springs24,elci,live,GR,,0.15,
springsfire,2019,springs24,elel,live,GR,,0.1,
springsfire,2019,springs24,erisuf,live,SH,SL,tr,
springsfire,2019,springs24,gaydif,live,FB,,tr,
springsfire,2019,springs24,grass19,live,GR,,tr,
springsfire,2019,springs24,leppun,live,SH,SL,tr,
springsfire,2019,springs24,luparg ,live,FB,,tr,
springsfire,2019,springs24,lupobu,live,FB,,tr,
springsfire,2019,springs24,penspe,live,FB,,tr,
springsfire,2019,springs24,pije,live,TR,TOV,20,
springsfire,2019,springs24,pije,live,TR,TSE,tr,
springsfire,2019,springs24,pije,live,TR,TSA,tr,
springsfire,2019,springs24,putr,live,SH,SL,11,
springsfire,2019,springs24,putr,live,SH,SM,9,
springsfire,2019,springs24,putr,dead,SH,SL,tr,
springsfire,2019,springs24,steten,live,FB,,tr,
springsfire,2019,springs25,araret,live,FB,,tr,
springsfire,2019,springs25,coltor,dead,FB,,tr,
springsfire,2019,springs25,elci,live,GR,,0.15,
springsfire,2019,springs25,elel,live,GR,,0.25,
springsfire,2019,springs25,gaydif,live,FB,,tr,
springsfire,2019,springs25,gayophytum,live,FB,,tr,
springsfire,2019,springs25,grass19,live,GR,,tr,
springsfire,2019,springs25,leppun,live,SH,SL,0.5,
springsfire,2019,springs25,mito,live,FB,,tr,
springsfire,2019,springs25,pije,live,TR,TOV,15,
springsfire,2019,springs25,pije,live,TR,TSE,0.5,
springsfire,2019,springs25,pije,live,TR,TSA,tr,
springsfire,2019,springs25,putr,live,SH,SL,16.5,
springsfire,2019,springs25,putr,live,SH,SM,16,
springsfire,2019,springs25,putr,dead,SH,SL,1.5,
springsfire,2019,springs26,araret,live,FB,,tr,
springsfire,2019,springs26,arasuf,live,FB,,tr,
springsfire,2019,springs26,elci,live,GR,,tr,
springsfire,2019,springs26,elel,live,GR,,tr,
springsfire,2019,springs26,gaydif,live,FB,,tr,
springsfire,2019,springs26,leppun,live,SH,SL,tr,
springsfire,2019,springs26,phahas,live,FB,,tr,
springsfire,2019,springs26,pico,live,TR,TOV,20,
springsfire,2019,springs26,pico,dead,TR,TOV,5,
springsfire,2019,springs26,pico,live,TR,TSA,tr,
springsfire,2019,springs26,pico,live,TR,TSE,tr,
springsfire,2019,springs26,pije,live,TR,TSA,3,
springsfire,2019,springs26,pije,live,TR,TOV,25,
springsfire,2019,springs26,putr,live,SH,SL,tr,
springsfire,2019,springs26,putr,live,SH,SM,tr,
springsfire,2019,springs27,araret,live,FB,,tr,
springsfire,2019,springs27,arasuf,live,FB,,tr,
springsfire,2019,springs27,elci,live,GR,,tr,
springsfire,2019,springs27,elel,live,GR,,1,
springsfire,2019,springs27,gaydif,live,FB,,tr,
springsfire,2019,springs27,luparg,live,FB,,tr,
springsfire,2019,springs27,leppun,live,SH,SL,2,
springsfire,2019,springs27,pico,live,TR,TOV,13,
springsfire,2019,springs27,pico,live,TR,TSA,tr,
springsfire,2019,springs27,pico,dead,TR,TOV,2,
springsfire,2019,springs27,pico,live,TR,TRE,tr,
springsfire,2019,springs27,pije,live,TR,TOV,21,
springsfire,2019,springs27,pije,live,TR,TSE,tr,
springsfire,2019,springs27,putr,live,SH,SL,1,
springsfire,2019,springs27,putr,live,SH,SM,tr,
springsfire,2019,springs27,putr,dead,SH,SL,1,
springsfire,2019,springs27,rice,live,SH,SL,1,
springsfire,2019,springs27,rice,live,SH,SM,1,
springsfire,2019,springs27,steten,live,FB,,tr,
springsfire,2019,springs27,stevir,live,FB,,tr,
springsfire,2019,springs28,arapla,live,FB,,tr,
springsfire,2019,springs28,araret,live,FB,,tr,
springsfire,2019,springs28,artr,live,SH,SL,tr,
springsfire,2019,springs28,artr,live,SH,SM,tr,
springsfire,2019,springs28,elci,live,GR,,tr,
springsfire,2019,springs28,elel ,live,GR,,2,
springsfire,2019,springs28,erinud,live,FB,,tr,
springsfire,2019,springs28,eriumb,live,FB,,tr,
springsfire,2019,springs28,gaydif,live,FB,,tr,
springsfire,2019,springs28,gayophytum,live,FB,,tr,
springsfire,2019,springs28,leppun,live,SH,SL,tr,
springsfire,2019,springs28,luparg,live,FB,,tr,
springsfire,2019,springs28,luplep,live,FB,,tr,
springsfire,2019,springs28,phabol,live,FB,,tr,
springsfire,2019,springs28,phahas,live,FB,,tr,
springsfire,2019,springs28,pije,live,TR,TOV,35,
springsfire,2019,springs28,pije,live,TR,TSA,3,
springsfire,2019,springs28,pije,live,TR,TSE,tr,
springsfire,2019,springs28,pije,dead,TR,TSE,tr,
springsfire,2019,springs28,putr,live,SH,SL,1,
springsfire,2019,springs28,putr,live,SH,SM,tr,
springsfire,2019,springs28,steten,live,FB,,tr,
springsfire,2019,springs28,stevir,live,FB,,tr,
springsfire,2019,springs28,symrot,live,SH,,tr,
springsfire,2019,springs29,arapla,live,FB,,,
springsfire,2019,springs29,araret,live,FB,,,
springsfire,2019,springs29,calumb,live,FB,,tr,
springsfire,2019,springs29,elci,live,GR,,tr,
springsfire,2019,springs29,elel,live,GR,,tr,
springsfire,2019,springs29,gaydif,live,FB,,tr,
springsfire,2019,springs29,leppun,live,SH,SL,1,
springsfire,2019,springs29,phahas,live,FB,,tr,
springsfire,2019,springs29,pije,live,TR,TOV,15,
springsfire,2019,springs29,pije,live,TR,TSE,tr,
springsfire,2019,springs29,putr,live,SH,SL,3,
springsfire,2019,springs29,putr,live,SH,SM,2,
springsfire,2019,springs29,rice,live,SH,SL,tr,
springsfire,2019,springs29,rice,live,SH,SM,tr,
springsfire,2019,springs29,steten,live,FB,,tr,
springsfire,2019,springs30,casapp,live,FB,,tr,
springsfire,2019,springs30,elci,live,GR,,0.5,
springsfire,2019,springs30,elel,live,GR,,0.5,
springsfire,2019,springs30,erinud,live,FB,,tr,
springsfire,2019,springs30,gaydif ,live,FB,,tr,
springsfire,2019,springs30,leppun,live,SH,SL,tr,
springsfire,2019,springs30,luparg,live,FB,,0.5,
springsfire,2019,springs30,luplep,live,FB,,tr,
springsfire,2019,springs30,penspe,live,FB,,tr,
springsfire,2019,springs30,pico,live,TR,TOV,4,
springsfire,2019,springs30,pije,live,TR,TOV,31,
springsfire,2019,springs30,pije,live,TR,TSA,1,
springsfire,2019,springs30,pije,live,TR,TSE,tr,
springsfire,2019,springs30,putr,live,SH,SL,1,
springsfire,2019,springs30,putr,live,SH,SM,tr,
springsfire,2019,springs30,rice,live,SH,SL,1,
springsfire,2019,springs30,rice,live,SH,SM,tr,
springsfire,2019,springs30,steten,live,FB,,tr,
springsfire,2019,springs30,stevir,live,FB,,tr,
springsfire,2019,springs30,symrot,live,SH,SL,1,
springsfire,2019,springs30,symrot,live,SH,SM,tr,
springsfire,2019,springs37,elci,live,GR,,tr,THEN SHRUBS
springsfire,2019,springs37,elel,live,GR,,tr,"START WITH ALL TREE SPP,"
springsfire,2019,springs37,gaydif,live,FB,,tr,THEN FORBS
springsfire,2019,springs37,gaydif,dead,FB,,,
springsfire,2019,springs37,pico,live,TR,TOV,8,
springsfire,2019,springs37,pije,live,TR,TSE,tr,
springsfire,2019,springs37,pije,live,TR,TSA,tr,
springsfire,2019,springs37,pije,live,TR,TOV,15,
springsfire,2019,springs37,putr,live,SH,SL,1,THEN GAMINOIDS.
springsfire,2019,springs37,putr,live,SH,SM,tr,
springsfire,2019,springs38,araret,live,FB,,tr,
springsfire,2019,springs38,elci,live,GR,,tr,
springsfire,2019,springs38,elel,live,GR,,tr,
springsfire,2019,springs38,gaydif,live,FB,,tr,
springsfire,2019,springs38,gaydif,dead,FB,,tr,
springsfire,2019,springs38,pico,live,TR,TSE,tr,
springsfire,2019,springs38,pico,dead,TR,TOV,2,
springsfire,2019,springs38,pije,live,TR,TOV,18,
springsfire,2019,springs38,pije,live,TR,TSE,tr,
springsfire,2019,springs38,putr,live,SH,SL,tr,
springsfire,2019,springs38,putr,live,SH,SM,tt,
springsfire,2019,springs38,putr,dead,SH,SL,tr,
springsfire,2019,springs38,putr,dead,SH,SM,tt,
springsfire,2019,springs39,artr,live,SH,SL,tr,
springsfire,2019,springs39,artr,live,SH,SM,tr,
springsfire,2019,springs39,elci,live,GR,,0.25,
springsfire,2019,springs39,elel ,live,GR,,0.75,
springsfire,2019,springs39,eridis,live,SH,SL,tr,
springsfire,2019,springs39,gaydif,live,FB,,tr,
springsfire,2019,springs39,gaydif,dead,FB,,tr,
