site,year,plot_id,species_id,status,recruitment,lifeform,tse_count,tse_ht,tse_age,growth_lastyr,tsa_dbh,tsa_age,tsa_ht,tre_count,tre_ht,tre_dbh,tre_age,NOTES
,,,,,,,count,cm_of_tallest,year_of_tallest,cm,cm,year,m,count,m_of_tallest,cm_of_tallest,year_of_tallest,
springsfire,2019,springs7,pico,live,natural ,TSE,1,160,15,12,,,,,,,,
springsfire,2019,springs7,pico,live,natural ,TSA,1,,,,6.6,23,2.5,,,,,
springsfire,2019,springs9,pico,live,natural ,TSE,1,5,1,2,,,,,,,,
springsfire,2019,springs9,pico,live,natural ,TSA,,,,,2,29,2,,,,,
springsfire,2019,springs4,pije,live,natural ,TSE,1,20,3,4,,,,,,,,
springsfire,2019,springs5,pije,live,natural ,TSE,1,0.9,3,0.5,,,,,,,,
springsfire,2019,springs5,pije,live,natural ,TSE,1,0.21,5,2,,,,,,,,
springsfire,2019,springs27,pico,live,natural ,TSE,8,4,0,,,,,,,,,
springsfire,2019,springs28,pije,dead,natural ,TSE,1,50,,,,,,,,,,
springsfire,2019,springs28,pije,live,natural ,TSA,,,,,4.1,33,2.3,,,,,
springsfire,2019,springs28,pije,live,natural ,TSA,,,,,3.2,25,2.3,,,,,
springsfire,2019,springs28,pije,live,natural ,TSA,,,,,1.4,11,1.8,,,,,
springsfire,2019,springs28,pije,live,natural ,TSA,,,,,1.8,24,2,,,,,
springsfire,2019,springs28,pije,live,natural ,TSA,,,,,2.9,22,2.2,,,,,
springsfire,2019,springs28,pije,live,natural ,TSA,,,,,5.7,36,3.5,,,,,
springsfire,2019,springs28,pije,live,natural ,TSA,,,,,6.4,34,3.4,,,,,
springsfire,2019,springs29,pije,live,natural ,TSE,8,5,0,0,,,,,,,,
springsfire,2019,springs29,pije,live,natural ,TSE,2,6,0,0,,,,,,,,
springsfire,2019,springs29,pije,live,natural ,TSE,2,8,2,1,,,,,,,,
springsfire,2019,springs29,pije,live,natural ,TSE,2,13,3,3,,,,,,,,
springsfire,2019,springs29,pije,live,natural ,TSE,1,18,4,4,,,,,,,,
springsfire,2019,springs30,pije,live,natural ,TSA,,,,,6.7,20,3,,,,,
springsfire,2019,springs30,pije,live,natural ,TSE,1,130,12,3,,,,,,,,
springsfire,2019,springs30,pije,live,natural ,TSE,1,55,6,0,,,,,,,,
springsfire,2019,springs38,pico,live,natural ,TSE,1,5,2,1,,,,,,,,
springsfire,2019,springs38,pije,live,natural ,TSE,2,4.5,2,1,,,,,,,,
springsfire,2019,springs38,pije,live,natural ,TSE,3,9,3,2.5,,,,,,,,
springsfire,2019,springs37,,,,,,,,,,,,,,,,no regen
springsfire,2019,springs39,pico,live,natural ,TSE,2,5,1,2,,,,,,,,
springsfire,2019,springs39,pico,live,natural ,TSE,2,8,2,3,,,,,,,,
springsfire,2019,springs40,pije,live,natural ,TSE,1,0.48,3,11,,,,,,,,
springsfire,2019,springs40,pije,live,natural ,TSA,,,,,2.1,9,1.5,,,,,
springsfire,2019,springs40,pije,live,natural ,TSA,,,,,2.8,12,1.95,,,,,
springsfire,2019,springs33,pico,live,natural ,TSE,1,4.5,1,2,,,,,,,,
